118 minutes ; not rated ( though i suspect it would be rated pg for adult themes and language ) 	Translation	Positive	Negative	EmotionRationale
those who are unfamiliar with the patlabor story and characters may find themselves slightly confused coming into the movie , although there is ample background exposition provided for new viewers . 	those who are unfamiliar with the patlabor story and characters may find themselves slightly confused coming into the movie , although there is ample background exposition provided for new viewers .	1	-2	 those[0] who[0] are[0] unfamiliar[-1] with[0] the[0] patlabor[0] story[0] and[0] characters[0] may[0] find[0] themselves[0] slightly[0] confused[-1][--1 LastWordBoosterStrength] coming[0] into[0] the[0] movie[0] although[0] there[0] is[0] ample[0] background[0] exposition[0] provided[0] for[0] new[0] viewers[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the story , as has much of patlabor before , centers around the controversial babylon project , a gigantic seawall that will , on its completion , allow the reclamation of thousands of square miles of land from tokyo bay . 	the story , as has much of patlabor before , centers around the controversial babylon project , a gigantic seawall that will , on its completion , allow the reclamation of thousands of square miles of land from tokyo bay .	1	-2	 the[0] story[0] as[0] has[0] much[0] of[0] patlabor[0] before[0] centers[0] around[0] the[0] controversial[-1] babylon[0] project[0] a[0] gigantic[0] seawall[0] that[0] will[0] on[0] its[0] completion[0] allow[0] the[0] reclamation[0] of[0] thousands[0] of[0] square[0] miles[0] of[0] land[0] from[0] tokyo[0] bay[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this project has been an almost constant target of environmentalist terrorists , most notably the house of sea organization . 	this project has been an almost constant target of environmentalist terrorists , most notably the house of sea organization .	1	-3	 this[0] project[0] has[0] been[0] an[0] almost[0] constant[0] target[0] of[0] environmentalist[0] terrorists[-2] most[0] notably[0] the[0] house[0] of[0] sea[0] organization[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
however , the threat in this case comes not from any terrorist , but from someone who is already dead . . . 	however , the threat in this case comes not from any terrorist , but from someone who is already dead .<br> .<br> .	1	-3	 however[0] the[0] threat[-2] in[0] this[0] case[0] comes[0] not[0] from[0] any[0] terrorist[-2] but[0] from[0] someone[0] who[0] is[0] already[0] dead[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
shinohara heavy industries , the premier labor manufacturer in japan ( if not the whole world ) , has just come out with a new operating system that increases labors' movement speed and efficiency by 30% . 	shinohara heavy industries , the premier labor manufacturer in japan ( if not the whole world ) , has just come out with a new operating system that increases labors' movement speed and efficiency by 30% .	1	-1	 shinohara[0] heavy[0] industries[0] the[0] premier[0] labor[0] manufacturer[0] in[0] japan[0] if[0] not[0] the[0] whole[0] world[0] has[0] just[0] come[0] out[0] with[0] a[0] new[0] operating[0] system[0] that[0] increases[0] labors'[0] movement[0] speed[0] and[0] efficiency[0] by[0] 30%[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this hyper operating system , hos for short , has very quickly been installed into well over 90% of the nation's labors . . . including the patrol labors of sv2 . 	this hyper operating system , hos for short , has very quickly been installed into well over 90% of the nation's labors .<br> .<br> .<br> including the patrol labors of sv2 .	1	-1	 this[0] hyper[0] operating[0] system[0] hos[0] for[0] short[0] has[0] very[0] quickly[0] been[0] installed[0] into[0] well[0] over[0] 90%[0] of[0] the[0] nation's[0] labors[0] [[Sentence=-1,1=word max, 1-5]] including[0] the[0] patrol[0] labors[0] of[0] sv2[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
since that installation , dozens of labors , including a heavily-armed military model , have begun to go on berzerk rampages for no apparent reason . . . and the only factor they all had in common was that they were all running under the new hos . 	since that installation , dozens of labors , including a heavily-armed military model , have begun to go on berzerk rampages for no apparent reason .<br> .<br> .<br> and the only factor they all had in common was that they were all running under the new hos .	1	-1	 since[0] that[0] installation[0] dozens[0] of[0] labors[0] including[0] a[0] heavily[0] armed[0] military[0] model[0] have[0] begun[0] to[0] go[0] on[0] berzerk[0] rampages[0] for[0] no[0] apparent[0] reason[0] [[Sentence=-1,1=word max, 1-5]] and[0] the[0] only[0] factor[0] they[0] all[0] had[0] in[0] common[0] was[0] that[0] they[0] were[0] all[0] running[0] under[0] the[0] new[0] hos[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 ( some wags have compared this to windows 95 . ) 	 ( some wags have compared this to windows 95 .<br> )	1	-1	 some[0] wags[0] have[0] compared[0] this[0] to[0] windows[0] 95[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's up to asuma shinohara , labor command officer with sv2 and the son of the president of shinohara heavy industries , to find the source of these problems before more labors--including sv2's own--fall victim to them , and before hos drags his father's company down with it . 	it's up to asuma shinohara , labor command officer with sv2 and the son of the president of shinohara heavy industries , to find the source of these problems before more labors-including sv2's own-fall victim to them , and before hos drags his father's company down with it .	1	-3	 it's[0] up[0] to[0] asuma[0] shinohara[0] labor[0] command[0] officer[0] with[0] sv2[0] and[0] the[0] son[0] of[0] the[0] president[0] of[0] shinohara[0] heavy[0] industries[0] to[0] find[0] the[0] source[-1] of[0] these[0] problems[-1] before[0] more[0] labors[0] including[0] sv2's[0] own[0] fall[0] victim[-2] to[0] them[0] and[0] before[0] hos[0] drags[0] his[0] father's[0] company[0] down[0] with[0] it[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
as was the case with _ghost in the shell_ , if you just want a no-brainer actionfest , this might not be the movie for you . 	as was the case with _ghost in the shell_ , if you just want a no-brainer actionfest , this might not be the movie for you .	1	-1	 as[0] was[0] the[0] case[0] with[0] _ghost[0] in[0] the[0] shell_[0] if[0] you[0] just[0] want[0] a[0] no[0] brainer[0] actionfest[0] this[0] might[0] not[0] be[0] the[0] movie[0] for[0] you[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
_patlabor : the movie_ is more of a psychological thriller , a technological suspense drama . 	_patlabor : the movie_ is more of a psychological thriller , a technological suspense drama .	2	-1	 _patlabor[0] the[0] movie_[0] is[0] more[0] of[0] a[0] psychological[0] thriller[1] a[0] technological[0] suspense[0] drama[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it is closer , perhaps , to a chrichton novel than to an action movie ( crichton novels that have been made _into_ action movies notwithstanding ) . 	it is closer , perhaps , to a chrichton novel than to an action movie ( crichton novels that have been made _into_ action movies notwithstanding ) .	1	-1	 it[0] is[0] closer[0] perhaps[0] to[0] a[0] chrichton[0] novel[0] than[0] to[0] an[0] action[0] movie[0] crichton[0] novels[0] that[0] have[0] been[0] made[0] _into_[0] action[0] movies[0] notwithstanding[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there are long , thoughtful montages of dialogueless footage as two investigators make their way through slums and derelict housing in old quarters of tokyo , similar to sequences from _ghost in the shell_ . 	there are long , thoughtful montages of dialogueless footage as two investigators make their way through slums and derelict housing in old quarters of tokyo , similar to sequences from _ghost in the shell_ .	2	-1	 there[0] are[0] long[0] thoughtful[1] montages[0] of[0] dialogueless[0] footage[0] as[0] two[0] investigators[0] make[0] their[0] way[0] through[0] slums[0] and[0] derelict[0] housing[0] in[0] old[0] quarters[0] of[0] tokyo[0] similar[0] to[0] sequences[0] from[0] _ghost[0] in[0] the[0] shell_[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
this movie is fraught with symbolism--in fact a large part of it is based on christian symbolism . 	this movie is fraught with symbolism-in fact a large part of it is based on christian symbolism .	1	-2	 this[0] movie[0] is[0] fraught[-1] with[0] symbolism[0] in[0] fact[0] a[0] large[0] part[0] of[0] it[0] is[0] based[0] on[0] christian[0] symbolism[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
patlabor's near-future setting is , aside from the giant robots tromping around , very similar to our own present day . 	patlabor's near-future setting is , aside from the giant robots tromping around , very similar to our own present day .	1	-1	 patlabor's[0] near[0] future[0] setting[0] is[0] aside[0] from[0] the[0] giant[0] robots[0] tromping[0] around[0] very[0] similar[0] to[0] our[0] own[0] present[0] day[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the film uses this setting to make its central point : is progress moving too fast for humans to keep up ? 	the film uses this setting to make its central point : is progress moving too fast for humans to keep up ?	1	-1	 the[0] film[0] uses[0] this[0] setting[0] to[0] make[0] its[0] central[0] point[0] is[0] progress[0] moving[0] too[0] fast[0] for[0] humans[0] to[0] keep[0] up[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
are history and culture falling by the wayside like the old buildings that are being torn down and replaced with new ? 	are history and culture falling by the wayside like the old buildings that are being torn down and replaced with new ?	2	-1	 are[0] history[0] and[0] culture[0] falling[0] by[0] the[0] wayside[0] like[1] the[0] old[0] buildings[0] that[0] are[0] being[0] torn[0] down[0] and[0] replaced[0] with[0] new[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
this is a question just as applicable to today as it is to patlabor's alternate-1999 setting . 	this is a question just as applicable to today as it is to patlabor's alternate-199 setting .	1	-1	 this[0] is[0] a[0] question[0] just[0] as[0] applicable[0] to[0] today[0] as[0] it[0] is[0] to[0] patlabor's[0] alternate[0] -1999/-199[0] setting[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as far as the technical aspects of the film go ( referring to the subtitled version , as that's the only one i've seen ) , the film transfer is clear , almost phenomenally so . 	as far as the technical aspects of the film go ( referring to the subtitled version , as that's the only one i've seen ) , the film transfer is clear , almost phenomenally so .	1	-1	 as[0] far[0] as[0] the[0] technical[0] aspects[0] of[0] the[0] film[0] go[0] referring[0] to[0] the[0] subtitled[0] version[0] as[0] that's[0] the[0] only[0] one[0] i've[0] seen[0] the[0] film[0] transfer[0] is[0] clear[0] almost[0] phenomenally[0] so[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the animation quality is incredible , though the character design is different from what most patlabor fans will be used to . 	the animation quality is incredible , though the character design is different from what most patlabor fans will be used to .	1	-1	 the[0] animation[0] quality[0] is[0] incredible[0] though[0] the[0] character[0] design[0] is[0] different[0] from[0] what[0] most[0] patlabor[0] fans[0] will[0] be[0] used[0] to[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the oavs and tv series were more cheerful , better-suited to humor ; the movie , however , makes everyone look a great deal less cute , and emphasizes that this is going to be , for the most part , a deadly serious storyline . 	the oavs and tv series were more cheerful , better-suited to humor ; the movie , however , makes everyone look a great deal less cute , and emphasizes that this is going to be , for the most part , a deadly serious storyline .	3	-2	 the[0] oavs[0] and[0] tv[0] series[0] were[0] more[0] cheerful[2] better[0] suited[0] to[0] humor[2] the[0] movie[0] however[0] makes[0] everyone[0] look[0] a[0] great[2] deal[0] less[0] cute[1] and[0] emphasizes[0] that[0] this[0] is[0] going[0] to[0] be[0] for[0] the[0] most[0] part[0] a[0] deadly[-1] serious[-1] storyline[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
as far as cinematography goes , there are many interesting moments in _patlabor : the movie_ . 	as far as cinematography goes , there are many interesting moments in _patlabor : the movie_ .	2	-1	 as[0] far[0] as[0] cinematography[0] goes[0] there[0] are[0] many[0] interesting[1] moments[0] in[0] _patlabor[0] the[0] movie_[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i don't think i can recall ever seeing a fish-eye perspective used in any other animated film ( save for _ghost in the shell_ , another oshii film ) , or indeed , in many other movies at all . 	i don't think i can recall ever seeing a fish-eye perspective used in any other animated film ( save for _ghost in the shell_ , another oshi film ) , or indeed , in many other movies at all .	2	-1	 i[0] don't[0] think[0] i[0] can[0] recall[0] ever[0] seeing[0] a[0] fish[0] eye[0] perspective[0] used[0] in[0] any[0] other[0] animated[0] film[0] save[1] for[0] _ghost[0] in[0] the[0] shell_[0] another[0] oshii/oshi[0] film[0] or[0] indeed[0] in[0] many[0] other[0] movies[0] at[0] all[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the cinematography is well-suited to the storyline , emphasizing what it needs to , though a couple of scenes ( where characters' features are exaggerated in anger ) may seem slightly strange to western audiences . 	the cinematography is well-suited to the storyline , emphasizing what it needs to , though a couple of scenes ( where characters' features are exaggerated in anger ) may seem slightly strange to western audiences .	1	-4	 the[0] cinematography[0] is[0] well[0] suited[0] to[0] the[0] storyline[0] emphasizing[0] what[0] it[0] needs[0] to[0] though[0] a[0] couple[0] of[0] scenes[0] where[0] characters'[0] features[0] are[0] exaggerated[-1] in[0] anger[-3] may[0] seem[0] slightly[0] strange[0] to[0] western[0] audiences[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the audio track of _patlabor : the movie_ is in glorious hi-fi stereo , and should be used to demonstrate home theater systems--it _is_ that good . 	the audio track of _patlabor : the movie_ is in glorious hi-fi stereo , and should be used to demonstrate home theater systems-it _is_ that good .	2	-1	 the[0] audio[0] track[0] of[0] _patlabor[0] the[0] movie_[0] is[0] in[0] glorious[1] hi[0] fi[0] stereo[0] and[0] should[0] be[0] used[0] to[0] demonstrate[0] home[0] theater[0] systems[0] it[0] _is_[0] that[0] good[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
even without headphones , sounds from either side of the screen can be clearly heard to _come_ from that side . 	even without headphones , sounds from either side of the screen can be clearly heard to _come_ from that side .	1	-1	 even[0] without[0] headphones[0] sounds[0] from[0] either[0] side[0] of[0] the[0] screen[0] can[0] be[0] clearly[0] heard[0] to[0] _come_[0] from[0] that[0] side[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
giant robot footsteps are deep and booming . 	giant robot footsteps are deep and booming .	1	-1	 giant[0] robot[0] footsteps[0] are[0] deep[0] and[0] booming[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the sometimes-understated , sometimes-blaring score is crisp and clear , and always right on the mark , enhancing the moods created by the animated scenery . 	the sometimes-understated , sometimes-blaring score is crisp and clear , and always right on the mark , enhancing the moods created by the animated scenery .	1	-1	 the[0] sometimes[0] understated[0] sometimes[0] blaring[0] score[0] is[0] crisp[0] and[0] clear[0] and[0] always[0] right[0] on[0] the[0] mark[0] enhancing[0] the[0] moods[0] created[0] by[0] the[0] animated[0] scenery[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as far as the subtitles go , i have to say that they're among the most easily-readable subtitles i've ever seen for _anything_ . 	as far as the subtitles go , i have to say that they're among the most easily-readable subtitles i've ever seen for _anything_ .	1	-1	 as[0] far[0] as[0] the[0] subtitles[0] go[0] i[0] have[0] to[0] say[0] that[0] they're[0] among[0] the[0] most[0] easily[0] readable[0] subtitles[0] i've[0] ever[0] seen[0] for[0] _anything_[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
large enough that they don't strain the eyes , but small enough not to conceal too much of the screen . 	large enough that they don't strain the eyes , but small enough not to conceal too much of the screen .	2	-1	 large[0] enough[0] that[0] they[0] don't[0] strain[-1][NegatedDueToPreviousWord] the[0] eyes[0] but[0] small[0] enough[0] not[0] to[0] conceal[-1][NegatedDueToPreviousWord] too[0] much[0] of[0] the[0] screen[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
although it does have several action sequences in it , most notably the climactic conclusion , _patlabor_ is foremost not an action movie . 	although it does have several action sequences in it , most notably the climactic conclusion , _patlabor_ is foremost not an action movie .	1	-1	 although[0] it[0] does[0] have[0] several[0] action[0] sequences[0] in[0] it[0] most[0] notably[0] the[0] climactic[0] conclusion[0] _patlabor_[0] is[0] foremost[0] not[0] an[0] action[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
although it is a superbly-realized film , it relies in large part upon prior familiarity with some of the characters to carry the story , and that could detract from some people's enjoyment . 	although it is a superbly-realized film , it relies in large part upon prior familiarity with some of the characters to carry the story , and that could detract from some people's enjoyment .	3	-1	 although[0] it[0] is[0] a[0] superbly[0] realized[0] film[0] it[0] relies[0] in[0] large[0] part[0] upon[0] prior[0] familiarity[0] with[0] some[0] of[0] the[0] characters[0] to[0] carry[0] the[0] story[0] and[0] that[0] could[0] detract[-1][--1 LastWordBoosterStrength] from[0] some[0] people's[0] enjoyment[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
my . 	my .	1	-1	 my[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
