plot : jet li is a chinese cop asked to help some french policemen nab a bad guy . 	Translation	Positive	Negative	EmotionRationale
and yes . . . they have no wire-fu in this movie . . . i 	and yes .<br> .<br> .<br> they have no wire-fu in this movie .<br> .<br> .<br> i	1	-1	 and[0] yes[0] [[Sentence=-1,1=word max, 1-5]] they[0] have[0] no[0] wire[0] fu[0] in[0] this[0] movie[0] [[Sentence=-1,1=word max, 1-5]] i[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
say again . . . no 	say again .<br> .<br> .<br> no	1	-1	 say[0] again[0] [[Sentence=-1,1=word max, 1-5]] no[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
wire-work , no bullshit stunts with li floating around in mid-air for over a minute . 	wire-work , no bullshit stunts with li floating around in mid-air for over a minute .	1	-3	 wire[0] work[0] no[0] bullshit[-2] stunts[0] with[0] li[0] floating[0] around[0] in[0] mid[0] air[0] for[0] over[0] a[0] minute[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it's all straight action , fist to fist , boot to face and all around cool stunts . 	it's all straight action , fist to fist , boot to face and all around cool stunts .	2	-2	 it's[0] all[0] straight[0] action[0] fist[-1] to[0] fist[-1] boot[0] to[0] face[0] and[0] all[0] around[0] cool[1] stunts[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
if that's what you're looking for , i don't see how you will be disappointed with this film . 	if that's what you're looking for , i don't see how you will be disappointed with this film .	1	-2	 if[0] that's[0] what[0] you're[0] looking[0] for[0] i[0] don't[0] see[0] how[0] you[0] will[0] be[0] disappointed[-1] with[0] this[0] film[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
yes , it's not very original in plot ( just take luc besson's own la femme nikita and mix in plenty of his own the professional et voila ! ) , does have an annoying hip-hoppy soundtrack that just got on my nerves after a while ( i also would have gotten rid of the whole acupuncture thang . . . ) and will have anyone not willing to restrain their disbelief , rolling their eyes all over the place . 	yes , it's not very original in plot ( just take luc besson's own la femme nikita and mix in plenty of his own the professional et voila !<br> ) , does have an annoying hip-hoppy soundtrack that just got on my nerves after a while ( i also would have gotten rid of the whole acupuncture thang .<br> .<br> .<br> ) and will have anyone not willing to restrain their disbelief , rolling their eyes all over the place .	1	-3	 yes[0] it's[0] not[0] very[0] original[0] in[0] plot[0] just[0] take[0] luc[0] besson's[0] own[0] la[0] femme[0] nikita[0] and[0] mix[0] in[0] plenty[0] of[0] his[0] own[0] the[0] professional[0] et[0] voila[0] [[Sentence=-1,1=word max, 1-5]] does[0] have[0] an[0] annoying[-2] hip[0] hoppy[0] soundtrack[0] that[0] just[0] got[0] on[0] my[0] nerves[0] after[0] a[0] while[0] i[0] also[0] would[0] have[0] gotten[0] rid[-1] of[0] the[0] whole[0] acupuncture[0] thang[0] [[Sentence=-3,1=word max, 1-5]] and[0] will[0] have[0] anyone[0] not[0] willing[0] to[0] restrain[0] their[0] disbelief[-1] rolling[0] their[0] eyes[0] all[0] over[0] the[0] place[0] [[Sentence=-2,1=word max, 1-5]][[[1,-3 max of sentences]]]
but was i entertained ? 	but was i entertained ?	1	-1	 but[0] was[0] i[0] entertained[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
thoroughly . 	thoroughly .	1	-1	 thoroughly[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
does the film feature more gunplay , martial arts and over-the-top kills that most recent action flicks ? 	does the film feature more gunplay , martial arts and over-the-top kills that most recent action flicks ?	1	-2	 does[0] the[0] film[0] feature[0] more[0] gunplay[-1] martial[0] arts[0] and[0] over[0] the[0] top[0] kills[0] that[0] most[0] recent[0] action[0] flicks[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
yes , again . 	yes , again .	1	-1	 yes[0] again[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
does this sound interesting to you ? 	does this sound interesting to you ?	2	-1	 does[0] this[0] sound[0] interesting[1] to[0] you[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
well , the answer to that question is entirely up to you . 	well , the answer to that question is entirely up to you .	1	-1	 well[0] the[0] answer[0] to[0] that[0] question[0] is[0] entirely[0] up[0] to[0] you[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
one thing that i would definitely recommend is , as jet li pointed out himself on his website , that you leave the kids at home for this one . 	one thing that i would definitely recommend is , as jet li pointed out himself on his website , that you leave the kids at home for this one .	1	-1	 one[0] thing[0] that[0] i[0] would[0] definitely[0] recommend[0] is[0] as[0] jet[0] li[0] pointed[0] out[0] himself[0] on[0] his[0] website[0] that[0] you[0] leave[0] the[0] kids[0] at[0] home[0] for[0] this[0] one[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in fact , you might even wanna leave yourself if you can't handle the more violent of sequences . 	in fact , you might even wanna leave yourself if you can't handle the more violent of sequences .	1	-3	 in[0] fact[0] you[0] might[0] even[0] wanna[0] leave[0] yourself[0] if[0] you[0] can't[0] handle[0] the[0] more[0] violent[-2] of[0] sequences[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
all in all , a rippin' , roarin' fun time ! 	all in all , a rippin' , roarin' fun time !	2	-1	 all[0] in[0] all[0] a[0] rippin'[0] roarin'[0] fun[1] time[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
where's joblo coming from ? 	where's joblo coming from ?	1	-1	 where's[0] joblo[0] coming[0] from[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
black mask ( 5/10 ) - blade ( 7/10 ) - la femme nikita ( 8/10 ) - lethal weapon 4 ( 7/10 ) - the matrix ( 8/10 ) - the professional ( 9/10 ) - romeo must die ( 3/10 ) - rush hour ( 7/10 ) - shanghai noon ( 6/10 ) 	black mask ( 5/10 ) - blade ( 7/10 ) - la femme nikita ( 8/10 ) - lethal weapon 4 ( 7/10 ) - the matrix ( 8/10 ) - the professional ( 9/10 ) - romeo must die ( 3/10 ) - rush hour ( 7/10 ) - shanghai noon ( 6/10 )	1	-2	 black[0] mask[0] 5/10[0] blade[0] 7/10[0] la[0] femme[0] nikita[0] 8/10[0] lethal[0] weapon[-1] 4[0] 7/10[0] the[0] matrix[0] 8/10[0] the[0] professional[0] 9/10[0] romeo[0] must[0] die[0] 3/10[0] rush[0] hour[0] 7/10[0] shanghai[0] noon[0] 6/10[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
