i know that " funnest " isn't a word . 	Translation	Positive	Negative	EmotionRationale
what sort of pies ? 	what sort of pies ?	1	-1	 what[0] sort[0] of[0] pies[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
chicken pies , of course . 	chicken pies , of course .	1	-1	 chicken[0] pies[0] of[0] course[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
co-director nick park and his studio , aardman animation , produced three oscar-winning short films : " creature comforts , " " the wrong trousers , " and " a close shave . " 	co-director nick park and his studio , ardman animation , produced three oscar-winning short films : " creature comforts , " " the wrong trousers , " and " a close shave .<br> "	2	-2	 co[0] director[0] nick[0] park[0] and[0] his[0] studio[0] aardman/ardman[0] animation[0] produced[0] three[0] oscar[0] winning[1] short[0] films[0] creature[0] comforts[1] the[0] wrong[-1] trousers[0] and[0] a[0] close[0] shave[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the latter two were the second and third installments of a trilogy starring the delightful team wallace & gromit , a man and his dog famous for getting themselves into increasingly peculiar adventures . 	the latter two were the second and third instalments of a trilogy starring the delightful team wallace & gromit , a man and his dog famous for getting themselves into increasingly peculiar adventures .	3	-1	 the[0] latter[0] two[0] were[0] the[0] second[0] and[0] third[0] installments/instalments[0] of[0] a[0] trilogy[0] starring[0] the[0] delightful[2] team[0] wallace[0] &[0] gromit[0] a[0] man[0] and[0] his[0] dog[0] famous[0] for[0] getting[0] themselves[0] into[0] increasingly[0] peculiar[0] adventures[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
part of what made the " wallace " films brilliantly entertaining was park's uncanny ability to make an old story seem new . 	part of what made the " wallace " films brilliantly entertaining was park's uncanny ability to make an old story seem new .	2	-1	 part[0] of[0] what[0] made[0] the[0] wallace[0] films[0] brilliantly[1] entertaining[0] was[0] park's[0] uncanny[0] ability[0] to[0] make[0] an[0] old[0] story[0] seem[0] new[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
 " the wrong trousers , " for example , pulled out a lot of old hitchcockian suspense tricks , and " a close shave " owed a great deal of inspiration to classic detective stories . 	 " the wrong trousers , " for example , pulled out a lot of old hitchcockian suspense tricks , and " a close shave " owed a great deal of inspiration to classic detective stories .	3	-2	 the[0] wrong[-1] trousers[0] for[0] example[0] pulled[0] out[0] a[0] lot[0] of[0] old[0] hitchcockian[0] suspense[0] tricks[-1] and[0] a[0] close[0] shave[0] owed[0] a[0] great[2] deal[0] of[0] inspiration[2] to[0] classic[0] detective[0] stories[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
but in the hands of park and his team , the stories felt fresh and inspired , and not the least bit contrived . 	but in the hands of park and his team , the stories felt fresh and inspired , and not the least bit contrived .	3	-1	 but[0] in[0] the[0] hands[0] of[0] park[0] and[0] his[0] team[0] the[0] stories[0] felt[0] fresh[0] and[0] inspired[2] and[0] not[0] the[0] least[0] bit[0] contrived[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
now teaming with co-director peter lord , park has created a similar creature in " chicken run . " 	now teaming with co-director peter lord , park has created a similar creature in " chicken run .<br> "	1	-1	 now[0] teaming[0] with[0] co[0] director[0] peter[0] lord[0] park[0] has[0] created[0] a[0] similar[0] creature[0] in[0] chicken[0] run[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the plot is largely lifted from " the great escape " ( watch for a quick reference to the ball-bouncing scene ) , with some spielberg-inspired action sequences providing the excitement . 	the plot is largely lifted from " the great escape " ( watch for a quick reference to the ball-bouncing scene ) , with some spielberg-inspired action sequences providing the excitement .	3	-1	 the[0] plot[0] is[0] largely[0] lifted[0] from[0] the[0] great[2] escape[0] watch[0] for[0] a[0] quick[0] reference[0] to[0] the[0] ball[0] bouncing[0] scene[0] with[0] some[0] spielberg[0] inspired[2] action[0] sequences[0] providing[0] the[0] excitement[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
thing is , the film doesn't feel like it's been lifted from somewhere else ; " chicken run " feels fresh , alive , like nothing else ever done . 	thing is , the film doesn't feel like it's been lifted from somewhere else ; " chicken run " feels fresh , alive , like nothing else ever done .	2	-1	 thing[0] is[0] the[0] film[0] doesn't[0] feel[0] like[1] it's[0] been[0] lifted[0] from[0] somewhere[0] else[0] chicken[0] run[0] feels[0] fresh[0] alive[0] like[1] nothing[0] else[0] ever[0] done[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
part of it is the original idea : who in the world came up with the idea to make a prisoners-of-war movie starring chickens ? 	part of it is the original idea : who in the world came up with the idea to make a prisoners-of-war movie starring chickens ?	1	-3	 part[0] of[0] it[0] is[0] the[0] original[0] idea[0] who[0] in[0] the[0] world[0] came[0] up[0] with[0] the[0] idea[0] to[0] make[0] a[0] prisoners[-1] of[0] war[-2] movie[0] starring[0] chickens[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
park and lord milk the incongruity for all it's worth : the characters treat their situation as if it were dead serious , and to them , it is . 	park and lord milk the incongruity for all it's worth : the characters treat their situation as if it were dead serious , and to them , it is .	2	-3	 park[0] and[0] lord[0] milk[0] the[0] incongruity[0] for[0] all[0] it's[0] worth[0] the[0] characters[0] treat[1] their[0] situation[0] as[0] if[0] it[0] were[0] dead[-2] serious[-1] and[0] to[0] them[0] it[0] is[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
but they're * chickens * , so it's funny to us . 	but they're * chickens * , so it's funny to us .	2	-1	 but[0] they're[0] chickens[0] so[0] it's[0] funny[1] to[0] us[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
another thing that helps " chicken run " ( and most of park's films ) succeed is the animators' subtle way of giving nods to the very films they're cribbing . 	another thing that helps " chicken run " ( and most of park's films ) succeed is the animators' subtle way of giving nods to the very films they're cribbing .	3	-1	 another[0] thing[0] that[0] helps[0] chicken[0] run[0] and[0] most[0] of[0] park's[0] films[0] succeed[2] is[0] the[0] animators'[0] subtle[0] way[0] of[0] giving[0] nods[0] to[0] the[0] very[0] films[0] they're[0] cribbing[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
there are references to " the great escape , " obviously , and " stalag 17 . " 	there are references to " the great escape , " obviously , and " stalag 17 .<br> "	3	-1	 there[0] are[0] references[0] to[0] the[0] great[2] escape[0] obviously[0] and[0] stalag[0] 17[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the chase sequence inside the chicken grinder parodies both " raiders of the lost ark " and " indiana jones and the temple of doom . " 	the chase sequence inside the chicken grinder parodies both " raiders of the lost ark " and " indiana jones and the temple of doom .<br> "	1	-2	 the[0] chase[-1] sequence[0] inside[0] the[0] chicken[0] grinder[0] parodies[0] both[0] raiders[0] of[0] the[0] lost[0] ark[0] and[0] indiana[0] jones[0] and[0] the[0] temple[0] of[0] doom[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
there's even a nod to " the blues brothers , " if you can believe it , and the filmmakers even get in a little light-hearted ribbing at the expense of their star voice actor , taking a couple of very subtle jabs at mel gibson's nationality and film history . 	there's even a nod to " the blues brothers , " if you can believe it , and the filmmakers even get in a little light-hearted ribbing at the expense of their star voice actor , taking a couple of very subtle jabs at mel gibson's nationality and film history .	1	-2	 there's[0] even[0] a[0] nod[0] to[0] the[0] blues[0] brothers[0] if[0] you[0] can[0] believe[0] it[0] and[0] the[0] filmmakers[0] even[0] get[0] in[0] a[0] little[0] light[0] hearted[0] ribbing[0] at[0] the[0] expense[-1] of[0] their[0] star[0] voice[0] actor[0] taking[0] a[0] couple[0] of[0] very[0] subtle[0] jabs[0] at[0] mel[0] gibson's[0] nationality[0] and[0] film[0] history[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the " braveheart " reference is a hoot if you catch it . 	the " braveheart " reference is a hoot if you catch it .	3	-1	 the[0] braveheart[2] reference[0] is[0] a[0] hoot[0] if[0] you[0] catch[0] it[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
when you consider just how fine a line resides between a funny parody and a redundant one , " chicken run " is downright brilliant in its execution . 	when you consider just how fine a line resides between a funny parody and a redundant one , " chicken run " is downright brilliant in its execution .	3	-2	 when[0] you[0] consider[0] just[0] how[0] fine[2] a[0] line[0] resides[0] between[0] a[0] funny[1] parody[0] and[0] a[0] redundant[-1] one[0] chicken[0] run[0] is[0] downright[0] brilliant[1] in[0] its[0] execution[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
consider this : since july of last year , i've seen dozens upon dozens of " blair witch project " parodies , on television , on the radio , and online . 	consider this : since july of last year , i've seen dozens upon dozens of " blair witch project " parodies , on television , on the radio , and online .	1	-1	 consider[0] this[0] since[0] july[0] of[0] last[0] year[0] i've[0] seen[0] dozens[0] upon[0] dozens[0] of[0] blair[0] witch[0] project[0] parodies[0] on[0] television[0] on[0] the[0] radio[0] and[0] online[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
out of all those , maybe one or two were amusing , the rest tiresome . 	out of all those , maybe one or two were amusing , the rest tiresome .	2	-2	 out[0] of[0] all[0] those[0] maybe[0] one[0] or[0] two[0] were[0] amusing[1] the[0] rest[0] tiresome[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
why ? 	why ?	1	-1	 why[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
because once you got past the thought that " they're parodying that 'blair witch' movie , " most of the parodies had nothing to offer -- no insight , no original idea , no greater purpose . 	because once you got past the thought that " they're parodying that 'blair witch' movie , " most of the parodies had nothing to offer - no insight , no original idea , no greater purpose .	3	-1	 because[0] once[0] you[0] got[0] past[0] the[0] thought[0] that[0] they're[0] parodying[0] that[0] 'blair[0] witch'[0] movie[0] most[0] of[0] the[0] parodies[0] had[0] nothing[0] to[0] offer[0] no[0] insight[0] no[0] original[0] idea[0] no[0] greater[2] purpose[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
they were only funny if you had seen the movie ; otherwise , you got nothing . 	they were only funny if you had seen the movie ; otherwise , you got nothing .	2	-1	 they[0] were[0] only[0] funny[1] if[0] you[0] had[0] seen[0] the[0] movie[0] otherwise[0] you[0] got[0] nothing[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
conversely , " chicken run " doesn't lean on its parodies -- the film references are never the sole focus of any scene . 	conversely , " chicken run " doesn't lean on its parodies - the film references are never the sole focus of any scene .	1	-1	 conversely[0] chicken[0] run[0] doesn't[0] lean[0] on[0] its[0] parodies[0] the[0] film[0] references[0] are[0] never[0] the[0] sole[0] focus[0] of[0] any[0] scene[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
if you've never seen " indiana jones , " the chase sequence is still fun . 	if you've never seen " indiana jones , " the chase sequence is still fun .	2	-2	 if[0] you've[0] never[0] seen[0] indiana[0] jones[0] the[0] chase[-1] sequence[0] is[0] still[0] fun[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
even if you have no idea who mel gibson is , rocky remains an interesting character . 	even if you have no idea who mel gibson is , rocky remains an interesting character .	2	-1	 even[0] if[0] you[0] have[0] no[0] idea[0] who[0] mel[0] gibson[0] is[0] rocky[0] remains[0] an[0] interesting[1] character[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
park , lord , and screenwriter karey kirkpatrick realize that an audience does not need a parody shoved in their faces before it's understood , and as a result , " chicken run " is filled with visual and verbal jabs that are never too obvious , but not quite vague either . 	park , lord , and screenwriter karey kirkpatrick realize that an audience does not need a parody shoved in their faces before it's understood , and as a result , " chicken run " is filled with visual and verbal jabs that are never too obvious , but not quite vague either .	2	-1	 park[0] lord[0] and[0] screenwriter[0] karey[0] kirkpatrick[0] realize[0] that[0] an[0] audience[0] does[0] not[0] need[0] a[0] parody[0] shoved[0] in[0] their[0] faces[0] before[0] it's[0] understood[0] and[0] as[0] a[0] result[0] chicken[0] run[0] is[0] filled[0] with[0] visual[0] and[0] verbal[0] jabs[0] that[0] are[0] never[0] too[0] obvious[0] but[0] not[0] quite[0] vague[-1][NegatedDueToPreviousWord] either[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
enjoyment of this movie doesn't require knowledge of film history , but if you've got it , " chicken run " is that much richer . 	enjoyment of this movie doesn't require knowledge of film history , but if you've got it , " chicken run " is that much richer .	3	-1	 enjoyment[2] of[0] this[0] movie[0] doesn't[0] require[0] knowledge[0] of[0] film[0] history[0] but[0] if[0] you've[0] got[0] it[0] chicken[0] run[0] is[0] that[0] much[0] richer[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the voice cast turns in uniformly lively performances , and the characters they play are given so many subtle nuances that it's hard not to fall in love with every one of them . 	the voice cast turns in uniformly lively performances , and the characters they play are given so many subtle nuances that it's hard not to fall in love with every one of them .	3	-1	 the[0] voice[0] cast[0] turns[0] in[0] uniformly[0] lively[1] performances[0] and[0] the[0] characters[0] they[0] play[0] are[0] given[0] so[0] many[0] subtle[0] nuances[0] that[0] it's[0] hard[0] not[0] to[0] fall[0] in[0] love[2] with[0] every[0] one[0] of[0] them[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
ginger is perfect , spunky and opinionated , but with a soft heart that forbids her to leave her companions behind , and julia sawalha ( known as the cute mousy girl on " absolutely fabulous " ) nails it . 	ginger is perfect , spunky and opinionated , but with a soft heart that forbids her to leave her companions behind , and julia sawalha ( known as the cute mousy girl on " absolutely fabulous " ) nails it .	4	-2	 ginger[0] is[0] perfect[1] spunky[0] and[0] opinionated[-1] but[0] with[0] a[0] soft[0] heart[0] that[0] forbids[-1] her[0] to[0] leave[0] her[0] companions[0] behind[0] and[0] julia[0] sawalha[0] known[0] as[0] the[0] cute[1] mousy[0] girl[0] on[0] absolutely[0] fabulous[2][1 LastWordBoosterStrength] nails[0] it[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
she has warm , human chemistry with gibson , whose rocky hides his personal doubt under a brash gung-ho veneer . 	she has warm , human chemistry with gibson , whose rocky hides his personal doubt under a brash gung-ho veneer .	1	-2	 she[0] has[0] warm[0] human[0] chemistry[0] with[0] gibson[0] whose[0] rocky[0] hides[0] his[0] personal[0] doubt[-1] under[0] a[0] brash[0] gung[-1] ho[0] veneer[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the characters' inevitable romance doesn't feel contrived , but sweet . 	the characters' inevitable romance doesn't feel contrived , but sweet .	4	-1	 the[0] characters'[0] inevitable[0] romance[3] doesn't[0] feel[0] contrived[0] but[0] sweet[1] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
poor mr . tweedy ( tony haygarth ) suspects the chickens are organizing in some way , but his limited intellect prevents him from figuring things out , and his overbearing wife certainly isn't any help . 	poor mr .<br> tweedy ( tony haygarth ) suspects the chickens are organizing in some way , but his limited intellect prevents him from figuring things out , and his overbearing wife certainly isn't any help .	1	-2	 poor[-1] mr[0] [[Sentence=-2,1=word max, 1-5]] tweedy[0] tony[0] haygarth[0] suspects[0] the[0] chickens[0] are[0] organizing[0] in[0] some[0] way[0] but[0] his[0] limited[0] intellect[0] prevents[0] him[0] from[0] figuring[0] things[0] out[0] and[0] his[0] overbearing[-1] wife[0] certainly[0] isn't[0] any[0] help[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
jane horrocks delivers a lovely voice characterization as tragically optimistic babs ( a hen that runs away with most of the best one-liners , all while perpetually crocheting a sweater ) , and two supply-trading rats that seem to have walked straight out of a monty python sketch nearly steal the show during the lively central swing-dancing sequence . 	jane horrocks delivers a lovely voice characterization as tragically optimistic babs ( a hen that runs away with most of the best one-liners , all while perpetually crocheting a sweater ) , and two supply-trading rats that seem to have walked straight out of a monty python sketch nearly steal the show during the lively central swing-dancing sequence .	2	-4	 jane[0] horrocks[-3] delivers[0] a[0] lovely[1] voice[0] characterization[0] as[0] tragically[-1] optimistic[1] babs[0] a[0] hen[0] that[0] runs[0] away[0] with[0] most[0] of[0] the[0] best[1] one[0] liners[0] all[0] while[0] perpetually[0] crocheting[0] a[0] sweater[0] and[0] two[0] supply[0] trading[0] rats[0] that[0] seem[0] to[0] have[0] walked[0] straight[0] out[0] of[0] a[0] monty[0] python[0] sketch[0] nearly[0] steal[-2] the[0] show[0] during[0] the[0] lively[1] central[0] swing[0] dancing[0] sequence[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
they even come up with an inspired riff on something that's baffled scholars and theologians alike for decades : the chicken vs . egg dilemma . 	they even come up with an inspired riff on something that's baffled scholars and theologians alike for decades : the chicken vs .<br> egg dilemma .	3	-2	 they[0] even[0] come[0] up[0] with[0] an[0] inspired[2] riff[0] on[0] something[0] that's[0] baffled[-1] scholars[0] and[0] theologians[0] alike[0] for[0] decades[0] the[0] chicken[0] vs[0] [[Sentence=-2,3=word max, 1-5]] egg[0] dilemma[-1] [[Sentence=-2,1=word max, 1-5]][[[3,-2 max of sentences]]]
one might have expected this inevitable joke to come off as wearisome , but as with most of " chicken run , " it comes as a delightful surprise . 	one might have expected this inevitable joke to come off as wearisome , but as with most of " chicken run , " it comes as a delightful surprise .	3	-2	 one[0] might[0] have[0] expected[0] this[0] inevitable[0] joke[1] to[0] come[0] off[0] as[0] wearisome[-1] but[0] as[0] with[0] most[0] of[0] chicken[0] run[0] it[0] comes[0] as[0] a[0] delightful[2] surprise[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the film manages to cross all barriers ; it should be accessible to both children and adults , brits and yanks , rats and chickens . 	the film manages to cross all barriers ; it should be accessible to both children and adults , brits and yanks , rats and chickens .	1	-2	 the[0] film[0] manages[0] to[0] cross[-1] all[0] barriers[-1] it[0] should[0] be[0] accessible[0] to[0] both[0] children[0] and[0] adults[0] brits[0] and[0] yanks[0] rats[0] and[0] chickens[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the animation is first-rate . 	the animation is first-rate .	1	-1	 the[0] animation[0] is[0] first[0] rate[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
remember that this was all done the old-fashioned way , with actual humans moving clay figurines around on a tiny set bit by painstaking bit , and you see just how truly remarkable " chicken run " really is . 	remember that this was all done the old-fashioned way , with actual humans moving clay figurines around on a tiny set bit by painstaking bit , and you see just how truly remarkable " chicken run " really is .	2	-1	 remember[0] that[0] this[0] was[0] all[0] done[0] the[0] old[0] fashioned[0] way[0] with[0] actual[0] humans[0] moving[0] clay[0] figurines[0] around[0] on[0] a[0] tiny[0] set[0] bit[0] by[0] painstaking[0] bit[0] and[0] you[0] see[0] just[0] how[0] truly[1] remarkable[0] chicken[0] run[0] really[0] is[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
this movie possesses that same quality that makes pixar studios' animation great : precise and unwavering attention to detail . 	this movie possesses that same quality that makes pixar studios' animation great : precise and unwavering attention to detail .	3	-1	 this[0] movie[0] possesses[0] that[0] same[0] quality[0] that[0] makes[0] pixar[0] studios'[0] animation[0] great[2] precise[0] and[0] unwavering[0] attention[0] to[0] detail[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
as in such top-notch family fare as " a bug's life " or " toy story 2 , " " chicken run " has something to offer in nearly every frame . 	as in such top-notch family fare as " a bug's life " or " toy story 2 , " " chicken run " has something to offer in nearly every frame .	1	-1	 as[0] in[0] such[0] top[0] notch[0] family[0] fare[0] as[0] a[0] bug's[0] life[0] or[0] toy[0] story[0] 2[0] chicken[0] run[0] has[0] something[0] to[0] offer[0] in[0] nearly[0] every[0] frame[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
certainly a passive viewer can enjoy it as a straightforward story with a worthwhile moral and some surprisingly touching scenes , but a active , attentive viewers will enjoy it even more because they'll catch all the details . 	certainly a passive viewer can enjoy it as a straightforward story with a worthwhile moral and some surprisingly touching scenes , but a active , attentive viewers will enjoy it even more because they'll catch all the details .	3	-1	 certainly[0] a[0] passive[0] viewer[0] can[0] enjoy[2] it[0] as[0] a[0] straightforward[0] story[0] with[0] a[0] worthwhile[1] moral[0] and[0] some[0] surprisingly[0] touching[0] scenes[0] but[0] a[0] active[0] attentive[0] viewers[0] will[0] enjoy[2] it[0] even[0] more[0] because[0] they'll[0] catch[0] all[0] the[0] details[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
anyway , the movie's just a boatload of fun . 	anyway , the movie's just a boatload of fun .	2	-1	 anyway[0] the[0] movie's[0] just[0] a[0] boatload[0] of[0] fun[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
funnest damn movie i've seen all year . 	funnest damn movie i've seen all year .	2	-2	 funnest[1] damn[-1] movie[0] i've[0] seen[0] all[0] year[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
