the saint was actually a little better than i expected it to be , in some ways . 	Translation	Positive	Negative	EmotionRationale
during a press conference , he must make his way into a heavily guarded vault area , avoiding guards , cameras , and many other potential obstacles . 	during a press conference , he must make his way into a heavily guarded vault area , avoiding guards , cameras , and many other potential obstacles .	1	-2	 during[0] a[0] press[0] conference[0] he[0] must[0] make[0] his[0] way[0] into[0] a[0] heavily[0] guarded[0] vault[0] area[0] avoiding[-1] guards[0] cameras[0] and[0] many[0] other[0] potential[0] obstacles[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
once his mission is completed and he is safely home , the fee is paid . 	once his mission is completed and he is safely home , the fee is paid .	2	-1	 once[0] his[0] mission[0] is[0] completed[0] and[0] he[0] is[0] safely[1] home[0] the[0] fee[0] is[0] paid[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
when he logs into his bank account and finds that he is only a few million dollars short of  50 million , he decides to carry out only one more mission , then retire . 	when he logs into his bank account and finds that he is only a few million dollars short of  50 million , he decides to carry out only one more mission , then retire .	1	-2	 when[0] he[0] logs[0] into[0] his[0] bank[0] account[0] and[0] finds[0] that[0] he[0] is[0] only[0] a[0] few[0] million[0] dollars[0] short[0] of[0] 50[0] million[0] he[0] decides[0] to[0] carry[0] out[0] only[0] one[0] more[0] mission[0] then[0] retire[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
dr . emma russell , portrayed by elisabeth shue , has discovered a way to produce energy by way of cold fusion . 	dr .<br> emma russell , portrayed by elisabeth shue , has discovered a way to produce energy by way of cold fusion .	1	-2	 dr[0] [[Sentence=-1,1=word max, 1-5]] emma[0] russell[0] portrayed[0] by[0] elisabeth[0] shue[0] has[0] discovered[0] a[0] way[0] to[0] produce[0] energy[0] by[0] way[0] of[0] cold[-1] fusion[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this new advancement would change the world and save thousands of lives in the areas of russia , where millions are without heat and are freezing to death . 	this new advancement would change the world and save thousands of lives in the areas of russia , where millions are without heat and are freezing to death .	2	-3	 this[0] new[0] advancement[0] would[0] change[0] the[0] world[0] and[0] save[1] thousands[0] of[0] lives[0] in[0] the[0] areas[0] of[0] russia[0] where[0] millions[0] are[0] without[0] heat[0] and[0] are[0] freezing[0] to[0] death[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the only problem is , tretiak would like to have this for himself and use it to gain power amongst the people . 	the only problem is , tretiak would like to have this for himself and use it to gain power amongst the people .	1	-2	 the[0] only[0] problem[-1] is[0] tretiak[0] would[0] like[1][-1 LastWordBoosterStrength] to[0] have[0] this[0] for[0] himself[0] and[0] use[0] it[0] to[0] gain[0] power[0] amongst[0] the[0] people[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this presents the option for kilmer to achieve his goal . 	this presents the option for kilmer to achieve his goal .	1	-1	 this[0] presents[0] the[0] option[0] for[0] kilmer[0] to[0] achieve[0] his[0] goal[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
tretiak hires him to steal the equations , small pieces of paper , from shue . 	tretiak hires him to steal the equations , small pieces of paper , from shue .	1	-3	 tretiak[0] hires[0] him[0] to[0] steal[-2] the[0] equations[0] small[0] pieces[0] of[0] paper[0] from[0] shue[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
one of the enjoyable features in the film is the disguises that kilmer dawns to complete his missions . 	one of the enjoyable features in the film is the disguises that kilmer dawns to complete his missions .	3	-1	 one[0] of[0] the[0] enjoyable[2] features[0] in[0] the[0] film[0] is[0] the[0] disguises[0] that[0] kilmer[0] dawns[0] to[0] complete[0] his[0] missions[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
they are very convincing , not only to the characters in the movie , but to us . 	they are very convincing , not only to the characters in the movie , but to us .	1	-1	 they[0] are[0] very[0] convincing[0] not[0] only[0] to[0] the[0] characters[0] in[0] the[0] movie[0] but[0] to[0] us[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
kilmer utilizes one such disguise to lure shue's character into getting to know him even more , which would provide him a means of stealing the energy formula . 	kilmer utilizes one such disguise to lure shue's character into getting to know him even more , which would provide him a means of stealing the energy formula .	1	-3	 kilmer[0] utilizes[0] one[0] such[0] disguise[-1] to[0] lure[-1] shue's[0] character[0] into[0] getting[0] to[0] know[0] him[0] even[0] more[0] which[0] would[0] provide[0] him[0] a[0] means[0] of[0] stealing[-2] the[0] energy[0] formula[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
when the two meet , and end up having a sensual experience , kilmer's character is seemingly falling in love with emma russell , as she is falling in love with kilmer's alter-ego , a traveling artist . 	when the two meet , and end up having a sensual experience , kilmer's character is seemingly falling in love with emma russell , as she is falling in love with kilmer's alter-ego , a traveling artist .	3	-1	 when[0] the[0] two[0] meet[0] and[0] end[0] up[0] having[0] a[0] sensual[0] experience[0] kilmer's[0] character[0] is[0] seemingly[0] falling[0] in[0] love[2] with[0] emma[0] russell[0] as[0] she[0] is[0] falling[0] in[0] love[2] with[0] kilmer's[0] alter[0] ego[0] a[0] traveling[0] artist[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
yet , he must reach his goal of  50 million , which requires him to steal the energy formula , putting his feelings aside . 	yet , he must reach his goal of  50 million , which requires him to steal the energy formula , putting his feelings aside .	1	-3	 yet[0] he[0] must[0] reach[0] his[0] goal[0] of[0] 50[0] million[0] which[0] requires[0] him[0] to[0] steal[-2] the[0] energy[0] formula[0] putting[0] his[0] feelings[0] aside[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
shue's character is eventually able to track down simon templar by putting the pieces ( the names of the catholic saints ) together , something no one else is able to do . 	shue's character is eventually able to track down simon templar by putting the pieces ( the names of the catholic saints ) together , something no one else is able to do .	1	-1	 shue's[0] character[0] is[0] eventually[0] able[0] to[0] track[0] down[0] simon[0] templar[0] by[0] putting[0] the[0] pieces[0] the[0] names[0] of[0] the[0] catholic[0] saints[0] together[0] something[0] no[0] one[0] else[0] is[0] able[0] to[0] do[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
when she finds him , they are left to team up and reclaim the energy formulas from tretiak . 	when she finds him , they are left to team up and reclaim the energy formulas from tretiak .	1	-1	 when[0] she[0] finds[0] him[0] they[0] are[0] left[0] to[0] team[0] up[0] and[0] reclaim[0] the[0] energy[0] formulas[0] from[0] tretiak[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the saint is very action-packed , with few slow points . 	the saint is very action-packed , with few slow points .	1	-1	 the[0] saint[0] is[0] very[0] action[0] packed[0] with[0] few[0] slow[0] points[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the sound was very well done and added to the many intense moments . 	the sound was very well done and added to the many intense moments .	1	-1	 the[0] sound[0] was[0] very[0] well[0] done[0] and[0] added[0] to[0] the[0] many[0] intense[0] moments[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
along the course of the movie , there are even a few , although brief moments of comedy . 	along the course of the movie , there are even a few , although brief moments of comedy .	1	-1	 along[0] the[0] course[0] of[0] the[0] movie[0] there[0] are[0] even[0] a[0] few[0] although[0] brief[0] moments[0] of[0] comedy[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
these moments are almost always thanks to kilmer's extraneous , very convincing disguises and personalities . 	these moments are almost always thanks to kilmer's extraneous , very convincing disguises and personalities .	2	-1	 these[0] moments[0] are[0] almost[0] always[0] thanks[1] to[0] kilmer's[0] extraneous[0] very[0] convincing[0] disguises[0] and[0] personalities[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
all in all , a rather enjoyable movie with nearly non-stop action . 	all in all , a rather enjoyable movie with nearly non-stop action .	3	-1	 all[0] in[0] all[0] a[0] rather[0] enjoyable[2] movie[0] with[0] nearly[0] non[0] stop[0] action[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
