it was a crazy time in france , what with the french revolution right around the corner . 	Translation	Positive	Negative	EmotionRationale
in a land where court intrigue determines one's destiny , constant scheming was a way of life for the aristocracy . 	in a land where court intrigue determines one's destiny , constant scheming was a way of life for the aristocracy .	1	-1	 in[0] a[0] land[0] where[0] court[0] intrigue[0] determines[0] one's[0] destiny[0] constant[0] scheming[0] was[0] a[0] way[0] of[0] life[0] for[0] the[0] aristocracy[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as our story starts , we learn that beaumarchais has bought himself a judgeship . 	as our story starts , we learn that beaumarchais has bought himself a judgeship .	1	-1	 as[0] our[0] story[0] starts[0] we[0] learn[0] that[0] beaumarchais[0] has[0] bought[0] himself[0] a[0] judgeship[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
into his court comes a member of the nobility demanding an immediate sword fight . 	into his court comes a member of the nobility demanding an immediate sword fight .	1	-3	 into[0] his[0] court[0] comes[0] a[0] member[0] of[0] the[0] nobility[0] demanding[0] an[0] immediate[0] sword[0] fight[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
beaumarchais , who has been having an affair with the man's wife , makes him wait until the current case on the docket is decided . 	beaumarchais , who has been having an affair with the man's wife , makes him wait until the current case on the docket is decided .	1	-1	 beaumarchais[0] who[0] has[0] been[0] having[0] an[0] affair[0] with[0] the[0] man's[0] wife[0] makes[0] him[0] wait[0] until[0] the[0] current[0] case[0] on[0] the[0] docket[0] is[0] decided[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
that over with , the fight is on . 	that over with , the fight is on .	1	-3	 that[0] over[0] with[0] the[0] fight[-2] is[0] on[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
with luchini's charisma , it is hard to root for anyone other than him . 	with luchini's charisma , it is hard to root for anyone other than him .	1	-1	 with[0] luchini's[0] charisma[0] it[0] is[0] hard[0] to[0] root[0] for[0] anyone[0] other[0] than[0] him[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
audiences may remember him from the marvelous colonel chabert , in which he played the attorney . 	audiences may remember him from the marvelous colonel chabert , in which he played the attorney .	1	-1	 audiences[0] may[0] remember[0] him[0] from[0] the[0] marvelous[0] colonel[0] chabert[0] in[0] which[0] he[0] played[0] the[0] attorney[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
although he does not have half of the good looks of his assistant gudin , played by manuel blanc , he dazzles the women and the viewers with his grace and style . 	although he does not have half of the good looks of his assistant gudin , played by manuel blanc , he dazles the women and the viewers with his grace and style .	3	-1	 although[0] he[0] does[0] not[0] have[0] half[0] of[0] the[0] good[1] looks[0] of[0] his[0] assistant[0] gudin[0] played[0] by[0] manuel[0] blanc[0] he[0] dazzles/dazles[0] the[0] women[0] and[0] the[0] viewers[0] with[0] his[0] grace[2] and[0] style[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
michael epp's warm and intimate cinematography provides a nice accompaniment to jean-marc kerdelhue's lush but realistic looking sets . 	michael epp's warm and intimate cinematography provides a nice accompaniment to jean-marc kerdelhue's lush but realistic looking sets .	2	-1	 michael[0] epp's[0] warm[0] and[0] intimate[0] cinematography[0] provides[0] a[0] nice[1] accompaniment[0] to[0] jean[0] marc[0] kerdelhue's[0] lush[0] but[0] realistic[0] looking[0] sets[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
jean-claude petit's music , especially the hauntingly lovely flute solos , make for an enchanting time at the movies . 	jean-claude petit's music , especially the hauntingly lovely flute solos , make for an enchanting time at the movies .	2	-1	 jean[0] claude[0] petit's[0] music[0] especially[0] the[0] hauntingly[0] lovely[1] flute[0] solos[0] make[0] for[0] an[0] enchanting[0] time[0] at[0] the[0] movies[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
director jean-claude brisville , who wrote the script along with edouard molinaro , fleshed out a play by sacha guitry which , according to the press notes , was just a series of historic vignettes . 	director jean-claude brisville , who wrote the script along with edouard molinaro , fleshed out a play by sacha guitry which , according to the press notes , was just a series of historic vignettes .	1	-1	 director[0] jean[0] claude[0] brisville[0] who[0] wrote[0] the[0] script[0] along[0] with[0] edouard[0] molinaro[0] fleshed[0] out[0] a[0] play[0] by[0] sacha[0] guitry[0] which[0] according[0] to[0] the[0] press[0] notes[0] was[0] just[0] a[0] series[0] of[0] historic[0] vignettes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the disorganization of the play still comes through at some points in the movie , but the actors smooth it over with their good-hearted style . 	the disorganization of the play still comes through at some points in the movie , but the actors smooth it over with their good-hearted style .	2	-1	 the[0] disorganization[0] of[0] the[0] play[0] still[0] comes[0] through[0] at[0] some[0] points[0] in[0] the[0] movie[0] but[0] the[0] actors[0] smooth[0] it[0] over[0] with[0] their[0] good[1] hearted[0] style[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
typical of the scenes that come out of nowhere is the one in which a rotund benjamin franklin appears in a large pot of hot water , taking his bath . 	typical of the scenes that come out of nowhere is the one in which a rotund benjamin franklin appears in a large pot of hot water , taking his bath .	1	-1	 typical[0] of[0] the[0] scenes[0] that[0] come[0] out[0] of[0] nowhere[0] is[0] the[0] one[0] in[0] which[0] a[0] rotund[0] benjamin[0] franklin[0] appears[0] in[0] a[0] large[0] pot[0] of[0] hot[0] water[0] taking[0] his[0] bath[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
one episode has beaumarchais working with a renegade spy who may or may not be a man . 	one episode has beaumarchais working with a renegade spy who may or may not be a man .	1	-1	 one[0] episode[0] has[0] beaumarchais[0] working[0] with[0] a[0] renegade[0] spy[0] who[0] may[0] or[0] may[0] not[0] be[0] a[0] man[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
another has beaumarchais using his personal fortune to aid the american revolution . 	another has beaumarchais using his personal fortune to aid the american revolution .	1	-2	 another[0] has[0] beaumarchais[0] using[0] his[0] personal[0] fortune[0] to[0] aid[0] the[0] american[0] revolution[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
all of this may sound like a dull historical drama , but it is anything but . 	all of this may sound like a dull historical drama , but it is anything but .	2	-2	 all[0] of[0] this[0] may[0] sound[0] like[1] a[0] dull[-1] historical[0] drama[0] but[0] it[0] is[0] anything[0] but[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the story plays more like theater of the absurd than a movie based on historical facts . 	the story plays more like theater of the absurd than a movie based on historical facts .	2	-2	 the[0] story[0] plays[1] more[0] like[1] theater[0] of[0] the[0] absurd[-1] than[0] a[0] movie[0] based[0] on[0] historical[0] facts[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the radiantly lovely sandrine kiberlain plays marie-therese , the real love of beaumarchais's life . 	the radiantly lovely sandrine kiberlain plays marie-therese , the real love of beaumarchais's life .	3	-1	 the[0] radiantly[2] lovely[1] sandrine[0] kiberlain[0] plays[1] marie[0] therese[0] the[0] real[0] love[2] of[0] beaumarchais's[0] life[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
but he is so likable that members of the audience may want to compete with her for him . 	but he is so likable that members of the audience may want to compete with her for him .	1	-1	 but[0] he[0] is[0] so[0] likable[0] that[0] members[0] of[0] the[0] audience[0] may[0] want[0] to[0] compete[0] with[0] her[0] for[0] him[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
still , with his beguiling smile , one can never quite be sure if you should trust him . 	still , with his beguiling smile , one can never quite be sure if you should trust him .	3	-1	 still[0] with[0] his[0] beguiling[0] smile[2] one[0] can[0] never[0] quite[0] be[0] sure[0] if[0] you[0] should[0] trust[1][-1 LastWordBoosterStrength] him[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the movie , on the other hand , can be trusted to deliver a high old time . 	the movie , on the other hand , can be trusted to deliver a high old time .	2	-1	 the[0] movie[0] on[0] the[0] other[0] hand[0] can[0] be[0] trusted[1] to[0] deliver[0] a[0] high[0] old[0] time[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
beaumarchais : the scoundrel runs 1 : 41 . 	beaumarchais : the scoundrel runs 1 : 41 .	1	-2	 beaumarchais[0] the[0] scoundrel[-1] runs[0] 1[0] 41[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it is in french with english subtitles . 	it is in french with english subtitles .	1	-1	 it[0] is[0] in[0] french[0] with[0] english[0] subtitles[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the film is not rated but would be an r for some nudity and sex , and should be fine for most teenagers . 	the film is not rated but would be an are for some nudity and sex , and should be fine for most teenagers .	3	-1	 the[0] film[0] is[0] not[0] rated[0] but[0] would[0] be[0] an[0] r[0] for[0] some[0] nudity[0] and[0] sex[0] and[0] should[0] be[0] fine[2] for[0] most[0] teenagers[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
