a standoff . 	Translation	Positive	Negative	EmotionRationale
characters played by actors we might not know , but who look strikingly familiar nevertheless . 	characters played by actors we might not know , but who look strikingly familiar nevertheless .	1	-1	 characters[0] played[0] by[0] actors[0] we[0] might[0] not[0] know[0] but[0] who[0] look[0] strikingly[0] familiar[0] nevertheless[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
take the ruggedly handsome victor plaza ( liberto rabal ) , for instance . 	take the ruggedly handsome victor plaza ( liberto rabal ) , for instance .	2	-1	 take[0] the[0] ruggedly[0] handsome[1] victor[0] plaza[0] liberto[0] rabal[0] for[0] instance[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
before he gets out of prison he could easily be mistaken for that almod ? var favorite , antonio banderas . 	before he gets out of prison he could easily be mistaken for that almod ?<br> var favorite , antonio banderas .	2	-2	 before[0] he[0] gets[0] out[0] of[0] prison[-1] he[0] could[0] easily[0] be[0] mistaken[-1] for[0] that[0] almod[0] [[Sentence=-2,1=word max, 1-5]] var[0] favorite[1] antonio[0] banderas[0] [[Sentence=-1,2=word max, 1-5]][[[2,-2 max of sentences]]]
when we first meet elena ( francesca neri ) , the woman in the middle of the nervous shakedown , she looks like spice girl barbie with her frizzy shock of orange hair , but later tones down her look sufficiently to pass for juliette lewis . 	when we first meet elena ( francesca neri ) , the woman in the middle of the nervous shakedown , she looks like spice girl barbie with her frizy shock of orange hair , but later tones down her look sufficiently to pass for juliette lewis .	2	-3	 when[0] we[0] first[0] meet[0] elena[0] francesca[0] neri[0] the[0] woman[0] in[0] the[0] middle[0] of[0] the[0] nervous[-2] shakedown[-1] she[0] looks[0] like[1] spice[0] girl[0] barbie[0] with[0] her[0] frizzy/frizy[0] shock[-2] of[0] orange[0] hair[0] but[0] later[0] tones[0] down[0] her[0] look[0] sufficiently[0] to[0] pass[0] for[0] juliette[0] lewis[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
elena's husband david ( javier bardem ) is the cop crippled in the shooting and he wears david schwimmer's bemused expression throughout . 	elena's husband david ( javier bardem ) is the cop crippled in the shooting and he wears david schwimmer's bemused expression throughout .	1	-2	 elena's[0] husband[0] david[0] javier[0] bardem[0] is[0] the[0] cop[0] crippled[-1] in[0] the[0] shooting[-1] and[0] he[0] wears[0] david[0] schwimmer's[0] bemused[0] expression[0] throughout[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
playing the inebriated cop and his cheating wife are jos ? sancho and angela molina--no lookalikes spring to mind , but they round out the excellent cast . 	playing the inebriated cop and his cheating wife are jos ?<br> sancho and angela molina-no lookalikes spring to mind , but they round out the excellent cast .	4	-3	 playing[1] the[0] inebriated[0] cop[0] and[0] his[0] cheating[-2] wife[0] are[0] jos[0] [[Sentence=-3,2=word max, 1-5]] sancho[0] and[0] angela[0] molina[0] no[0] lookalikes[0] spring[0] to[0] mind[0] but[0] they[0] round[0] out[0] the[0] excellent[3] cast[0] [[Sentence=-1,4=word max, 1-5]][[[4,-3 max of sentences]]]
it's a credit to almod ? var's craft that these five individuals cross paths and intertwine with such credulity . 	it's a credit to almod ?<br> var's craft that these five individuals cross paths and intertwine with such credulity .	1	-2	 it's[0] a[0] credit[0] to[0] almod[0] [[Sentence=-1,1=word max, 1-5]] var's[0] craft[0] that[0] these[0] five[0] individuals[0] cross[-1] paths[0] and[0] intertwine[0] with[0] such[0] credulity[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 " live flesh " begins and ends with a live birth and the film's contradictions come almost as often as the contractions . 	 " live flesh " begins and ends with a live birth and the film's contradictions come almost as often as the contractions .	1	-2	 live[0] flesh[0] begins[0] and[0] ends[0] with[0] a[0] live[0] birth[0] and[0] the[0] film's[0] contradictions[-1] come[0] almost[0] as[0] often[0] as[0] the[0] contractions[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
between the two childbearings , coincidence , irony , and a hefty dollop of sex form the key elements of this thoroughly entertaining film . 	between the two childbearings , coincidence , irony , and a hefty dollop of sex form the key elements of this thoroughly entertaining film .	1	-2	 between[0] the[0] two[0] childbearings[0] coincidence[0] irony[-1] and[0] a[0] hefty[0] dollop[0] of[0] sex[0] form[0] the[0] key[0] elements[0] of[0] this[0] thoroughly[0] entertaining[0] film[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
although based on a ruth rendell story , " live flesh " is brimming with the acclaimed spanish director's high-heeled flourishes . 	although based on a ruth rendell story , " live flesh " is brimming with the acclaimed spanish director's high-heeled flourishes .	1	-1	 although[0] based[0] on[0] a[0] ruth[0] rendell[0] story[0] live[0] flesh[0] is[0] brimming[0] with[0] the[0] acclaimed[0] spanish[0] director's[0] high[0] heeled[0] flourishes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
women are at times alluring and repulsive , their extravagant hairdos and animal print coats providing colorful highlights to the intricately-woven drama , an eye bruised by an abusive husband here , a mouth bloodied by an impromptu delivery there . 	women are at times alluring and repulsive , their extravagant hairdos and animal print coats providing colorful highlights to the intricately-woven drama , an eye bruised by an abusive husband here , a mouth bloodied by an impromptu delivery there .	1	-4	 women[0] are[0] at[0] times[0] alluring[0] and[0] repulsive[-3] their[0] extravagant[-1] hairdos[0] and[0] animal[0] print[0] coats[0] providing[0] colorful[0] highlights[0] to[0] the[0] intricately[0] woven[0] drama[0] an[0] eye[0] bruised[-1] by[0] an[0] abusive[-3] husband[0] here[0] a[0] mouth[0] bloodied[0] by[0] an[0] impromptu[0] delivery[0] there[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
while in prison , victor learns bulgarian from an inmate and learns to love the bible , quoting from deuteronomy thereafter not unlike the way by which david and sancho refer to themselves as " guardians of a sick flock . " 	while in prison , victor learns bulgarian from an inmate and learns to love the bible , quoting from deuteronomy thereafter not unlike the way by which david and sancho refer to themselves as " guardians of a sick flock .<br> "	3	-2	 while[0] in[0] prison[-1] victor[0] learns[0] bulgarian[0] from[0] an[0] inmate[0] and[0] learns[0] to[0] love[2] the[0] bible[0] quoting[0] from[0] deuteronomy[0] thereafter[0] not[0] unlike[0] the[0] way[0] by[0] which[0] david[0] and[0] sancho[0] refer[0] to[0] themselves[0] as[0] guardians[0] of[0] a[0] sick[-1] flock[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
victor's pre-fab inheritance is a shambles in a slum resembling sarajevo . 	victor's pre-fab inheritance is a shambles in a slum resembling sarajevo .	3	-1	 victor's[0] pre[0] fab[2] inheritance[0] is[0] a[0] shambles[0] in[0] a[0] slum[0] resembling[0] sarajevo[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
 " dear son , i got cancer " his mother writes to him in jail . 	 " dear son , i got cancer " his mother writes to him in jail .	2	-4	 dear[1] son[0] i[0] got[0] cancer[-3] his[0] mother[0] writes[0] to[0] him[0] in[0] jail[-1] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
she dies before he is released and it's at the cemetery that victor is reacquainted with elena--redemption , ultimately , substituting for revenge . 	she dies before he is released and it's at the cemetery that victor is reacquainted with elena-redemption , ultimately , substituting for revenge .	1	-2	 she[0] dies[0] before[0] he[0] is[0] released[0] and[0] it's[0] at[0] the[0] cemetery[0] that[0] victor[0] is[0] reacquainted[0] with[0] elena[0] redemption[0] ultimately[0] substituting[0] for[0] revenge[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
