you may not have heard of lucas , or if you have , you might not think much of it . 	Translation	Positive	Negative	EmotionRationale
they throw him on stage , right in front of his beloved maggie . 	they throw him on stage , right in front of his beloved maggie .	3	-1	 they[0] throw[0] him[0] on[0] stage[0] right[0] in[0] front[0] of[0] his[0] beloved[2] maggie[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
surprisingly , he turns the tables on the jocks with some clowning around , but he takes it too far , and is embarassed in front of the entire school . 	surprisingly , he turns the tables on the jocks with some clowning around , but he takes it too far , and is embarassed in front of the entire school .	1	-1	 surprisingly[0] he[0] turns[0] the[0] tables[0] on[0] the[0] jocks[0] with[0] some[0] clowning[0] around[0] but[0] he[0] takes[0] it[0] too[0] far[0] and[0] is[0] embarassed[0] in[0] front[0] of[0] the[0] entire[0] school[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the next scene is brilliant . 	the next scene is brilliant .	2	-1	 the[0] next[0] scene[0] is[0] brilliant[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
maggie follows lucas outside of the pep rally . 	maggie follows lucas outside of the pep rally .	1	-1	 maggie[0] follows[0] lucas[0] outside[0] of[0] the[0] pep[0] rally[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
she tries to talk to him as if nothing happened . 	she tries to talk to him as if nothing happened .	1	-1	 she[0] tries[0] to[0] talk[0] to[0] him[0] as[0] if[0] nothing[0] happened[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he rails back against her , in a cruel unfair fashion . 	he rails back against her , in a cruel unfair fashion .	1	-4	 he[0] rails[0] back[0] against[-1] her[0] in[0] a[0] cruel[-3] unfair[-1] fashion[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
in lesser movies this would've turned into a confrontation between the two characters . 	in lesser movies this would've turned into a confrontation between the two characters .	1	-3	 in[0] lesser[0] movies[0] this[0] would've[0] turned[0] into[0] a[0] confrontation[-2] between[0] the[0] two[0] characters[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
but maggie is written smarter than that . 	but maggie is written smarter than that .	2	-1	 but[0] maggie[0] is[0] written[0] smarter[1] than[0] that[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
she understands what lucas is feeling and knows exactly what to say to console him . 	she understands what lucas is feeling and knows exactly what to say to console him .	1	-1	 she[0] understands[0] what[0] lucas[0] is[0] feeling[0] and[0] knows[0] exactly[0] what[0] to[0] say[0] to[0] console[0] him[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
next we are introduced to another great character named cappie ( charlie sheen ) . 	next we are introduced to another great character named cappie ( charlie sheen ) .	3	-1	 next[0] we[0] are[0] introduced[0] to[0] another[0] great[2] character[0] named[0] cappie[0] charlie[0] sheen[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
he is a jock with a typical cheerleader girlfriend . 	he is a jock with a typical cheerleader girlfriend .	1	-1	 he[0] is[0] a[0] jock[0] with[0] a[0] typical[0] cheerleader[0] girlfriend[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
what's interesting about him is that he sticks up for lucas and protects him from the other jocks . 	what's interesting about him is that he sticks up for lucas and protects him from the other jocks .	2	-1	 what's[0] interesting[1] about[0] him[0] is[0] that[0] he[0] sticks[0] up[0] for[0] lucas[0] and[0] protects[0] him[0] from[0] the[0] other[0] jocks[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
of course anyone with a brain can tell what's gonna happen next . 	of course anyone with a brain can tell what's gonna happen next .	1	-1	 of[0] course[0] anyone[0] with[0] a[0] brain[0] can[0] tell[0] what's[0] gonna[0] happen[0] next[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
cappie will cause conflict in maggie and lucas' relationship . 	cappie will cause conflict in maggie and lucas' relationship .	1	-2	 cappie[0] will[0] cause[0] conflict[-1] in[0] maggie[0] and[0] lucas'[0] relationship[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this begins in classic scene in the school laundry room when cappie and maggie are alone . 	this begins in classic scene in the school laundry room when cappie and maggie are alone .	1	-1	 this[0] begins[0] in[0] classic[0] scene[0] in[0] the[0] school[0] laundry[0] room[0] when[0] cappie[0] and[0] maggie[0] are[0] alone[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
she's been assigned to show him how to operate the washer/dryer so he can clean his shirt . 	she's been assigned to show him how to operate the washer/dryer so he can clean his shirt .	1	-1	 she's[0] been[0] assigned[0] to[0] show[0] him[0] how[0] to[0] operate[0] the[0] washer/dryer[0] so[0] he[0] can[0] clean[0] his[0] shirt[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
maggie is charmed by cappie's tender undertsanding demeanor , not to mention his shirtless body . 	maggie is charmed by cappie's tender undertsanding demeanor , not to mention his shirtless body .	3	-1	 maggie[0] is[0] charmed[1] by[0] cappie's[0] tender[2] undertsanding[0] demeanor[0] not[0] to[0] mention[0] his[0] shirtless[0] body[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
this scene is so delicate and sweet , but cappie still has a girlfriend , preventing either one from acting on their desires . 	this scene is so delicate and sweet , but cappie still has a girlfriend , preventing either one from acting on their desires .	2	-1	 this[0] scene[0] is[0] so[0] delicate[0] and[0] sweet[1] but[0] cappie[0] still[0] has[0] a[0] girlfriend[0] preventing[0] either[0] one[0] from[0] acting[0] on[0] their[0] desires[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
desperately trying to puncture the tension , cappie begins to kick basketballs around the room . 	desperately trying to puncture the tension , cappie begins to kick basketballs around the room .	1	-3	 desperately[-2] trying[0] to[0] puncture[0] the[0] tension[-2] cappie[0] begins[0] to[0] kick[-1] basketballs[0] around[0] the[0] room[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it's not long before cappie does break up with his girlfriend ( in the films only subpar scene ) . 	it's not long before cappie does break up with his girlfriend ( in the films only subpar scene ) .	1	-1	 it's[0] not[0] long[0] before[0] cappie[0] does[0] break[0] up[0] with[0] his[0] girlfriend[0] in[0] the[0] films[0] only[0] subpar[0] scene[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
lucas finally figures out what's going on when he tries to pick maggie up for the dance . 	lucas finally figures out what's going on when he tries to pick maggie up for the dance .	1	-1	 lucas[0] finally[0] figures[0] out[0] what's[0] going[0] on[0] when[0] he[0] tries[0] to[0] pick[0] maggie[0] up[0] for[0] the[0] dance[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this causes him to take severe actions to prove himself to maggie and himself , such as try out for the football team . 	this causes him to take severe actions to prove himself to maggie and himself , such as try out for the football team .	1	-2	 this[0] causes[0] him[0] to[0] take[0] severe[-1] actions[0] to[0] prove[0] himself[0] to[0] maggie[0] and[0] himself[0] such[0] as[0] try[0] out[0] for[0] the[0] football[0] team[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the last third of the film revolves around this attempt . 	the last third of the film revolves around this attempt .	1	-1	 the[0] last[0] third[0] of[0] the[0] film[0] revolves[0] around[0] this[0] attempt[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
while the idea seems cliched , the way it is executed is not . 	while the idea seems cliched , the way it is executed is not .	1	-2	 while[0] the[0] idea[0] seems[0] cliched[0] the[0] way[0] it[0] is[0] executed[-1] is[0] not[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
there are many surprises during the last half hour which lead to an ending so emotionally involving it should make the most heartless of cynics get choked up . 	there are many surprises during the last half hour which lead to an ending so emotionally involving it should make the most heartless of cynics get choked up .	1	-4	 there[0] are[0] many[0] surprises[0] during[0] the[0] last[0] half[0] hour[0] which[0] lead[0] to[0] an[0] ending[0] so[0] emotionally[0] involving[0] it[0] should[0] make[0] the[0] most[0] heartless[-2] of[0] cynics[-1] get[0] choked[-3] up[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
dave grusin's memorable score , played at the perfect moments , certainly helps . 	dave grusin's memorable score , played at the perfect moments , certainly helps .	2	-1	 dave[0] grusin's[0] memorable[0] score[0] played[0] at[0] the[0] perfect[1] moments[0] certainly[0] helps[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
lucas is filled with great performances . 	lucas is filled with great performances .	3	-1	 lucas[0] is[0] filled[0] with[0] great[2] performances[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
forget everything you know about corey haim . 	forget everything you know about corey haim .	1	-1	 forget[0] everything[0] you[0] know[0] about[0] corey[0] haim[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
back in 1986 he had talent , and that is proven here as he delivers a perfect fully 3-dimensional performance filled with anger , humor , and pain . 	back in 1986 he had talent , and that is proven here as he delivers a perfect fully 3-dimensional performance filled with anger , humor , and pain .	3	-4	 back[0] in[0] 1986[0] he[0] had[0] talent[1] and[0] that[0] is[0] proven[0] here[0] as[0] he[0] delivers[0] a[0] perfect[1] fully[0] 3[0] dimensional[0] performance[0] filled[0] with[0] anger[-3] humor[2] and[0] pain[-3] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
kerri green is very appealing as maggie , showing us why she cares about lucas so much and why he is so attracted to her . 	kerri green is very appealing as maggie , showing us why she cares about lucas so much and why he is so attracted to her .	2	-1	 kerri[0] green[0] is[0] very[0] appealing[0] as[0] maggie[0] showing[0] us[0] why[0] she[0] cares[1] about[0] lucas[0] so[0] much[0] and[0] why[0] he[0] is[0] so[0] attracted[1] to[0] her[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
sheen's cappie is almost too good to be true , but sheen makes him beleivable , especially when he explains the reason why he protects lucas . 	sheen's cappie is almost too good to be true , but sheen makes him beleivable , especially when he explains the reason why he protects lucas .	2	-1	 sheen's[0] cappie[0] is[0] almost[0] too[0] good[1] to[0] be[0] true[1] but[0] sheen[0] makes[0] him[0] beleivable[0] especially[0] when[0] he[0] explains[0] the[0] reason[0] why[0] he[0] protects[0] lucas[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
there are other wonderful minor characters such as ciro popitti's ben , a friend of lucas , whose diminutive stature does not mean he will take crap from the jocks . 	there are other wonderful minor characters such as ciro popitti's ben , a friend of lucas , whose diminutive stature does not mean he will take crap from the jocks .	3	-3	 there[0] are[0] other[0] wonderful[2] minor[0] characters[0] such[0] as[0] ciro[0] popitti's[0] ben[0] a[0] friend[1] of[0] lucas[0] whose[0] diminutive[0] stature[0] does[0] not[0] mean[0] he[0] will[0] take[0] crap[-2] from[0] the[0] jocks[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
also turning up in a few key scenes is winona ryder as rina , the girl who admires lucas from afar . 	also turning up in a few key scenes is winona ryder as rina , the girl who admires lucas from afar .	3	-1	 also[0] turning[0] up[0] in[0] a[0] few[0] key[0] scenes[0] is[0] winona[0] ryder[0] as[0] rina[0] the[0] girl[0] who[0] admires[2] lucas[0] from[0] afar[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
when people talk about the great teen angst films of the 80s , you hear john hughes this and john hughes that . 	when people talk about the great teen angst films of the 80s , you hear john hughes this and john hughes that .	3	-1	 when[0] people[0] talk[0] about[0] the[0] great[2] teen[0] angst[0] films[0] of[0] the[0] 80s[0] you[0] hear[0] john[0] hughes[0] this[0] and[0] john[0] hughes[0] that[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
lucas seems to be lost among the crowd of his so-called classics . 	lucas seems to be lost among the crowd of his so-called classics .	1	-1	 lucas[0] seems[0] to[0] be[0] lost[0] among[0] the[0] crowd[0] of[0] his[0] so[0] called[0] classics[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but hopefully , like with heathers and say anything , lucas can begin to find it's own loyal following and help people realize there were more to the 80s than anthony michael hall and molly ringwald . 	but hopefully , like with heathers and say anything , lucas can begin to find it's own loyal following and help people realize there were more to the 80s than anthony michael hall and molly ringwald .	2	-1	 but[0] hopefully[0] like[1] with[0] heathers[0] and[0] say[0] anything[0] lucas[0] can[0] begin[0] to[0] find[0] it's[0] own[0] loyal[1] following[0] and[0] help[0] people[0] realize[0] there[0] were[0] more[0] to[0] the[0] 80s[0] than[0] anthony[0] michael[0] hall[0] and[0] molly[0] ringwald[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it deserves more than that , but i don't want to be greedy . 	it deserves more than that , but i don't want to be greedy .	1	-3	 it[0] deserves[0] more[0] than[0] that[0] but[0] i[0] don't[0] want[0] to[0] be[0] greedy[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
