it's a fact that a good thriller or action movie doesn't need violence to be good or worth watching . 	Translation	Positive	Negative	EmotionRationale
i wouldn't be surprised if this gave people nightmares . 	i wouldn't be surprised if this gave people nightmares .	1	-1	 i[0] wouldn't[0] be[0] surprised[0] if[0] this[0] gave[0] people[0] nightmares[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i hope it still does since you still hear about school kids hacking into the computers at pentagon . 	i hope it still does since you still hear about school kids hacking into the computers at pentagon .	3	-1	 i[0] hope[2] it[0] still[0] does[0] since[0] you[0] still[0] hear[0] about[0] school[0] kids[0] hacking[0] into[0] the[0] computers[0] at[0] pentagon[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
broderick and sheedy are just fine as the young teenagers ( although her interest in david remains a mystery ) . 	broderick and sheedy are just fine as the young teenagers ( although her interest in david remains a mystery ) .	2	-1	 broderick[0] and[0] sheedy[0] are[0] just[0] fine[2][-1 LastWordBoosterStrength] as[0] the[0] young[0] teenagers[0] although[0] her[0] interest[1] in[0] david[0] remains[0] a[0] mystery[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
but the rest of the actors are , by no fault of their own , restricted by the script to play one-dimensional grownups . 	but the rest of the actors are , by no fault of their own , restricted by the script to play one-dimensional grownups .	1	-2	 but[0] the[0] rest[0] of[0] the[0] actors[0] are[0] by[0] no[0] fault[-1] of[0] their[0] own[0] restricted[-1] by[0] the[0] script[0] to[0] play[0] one[0] dimensional[0] grownups[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
david's parents are the same kind of parents that populate all these college comedies from the 1980s , movies like secret admirer , porky's or zapped and the norad general beringer is straight out of dr . strangelove . 	david's parents are the same kind of parents that populate all these college comedies from the 1980s , movies like secret admirer , porky's or zapped and the norad general beringer is straight out of dr .<br> strangelove .	3	-1	 david's[0] parents[0] are[0] the[0] same[0] kind[1] of[0] parents[0] that[0] populate[0] all[0] these[0] college[0] comedies[0] from[0] the[0] 1980s[0] movies[0] like[1] secret[0] admirer[2] porky's[0] or[0] zapped[0] and[0] the[0] norad[0] general[0] beringer[0] is[0] straight[0] out[0] of[0] dr[0] [[Sentence=-1,3=word max, 1-5]] strangelove[0] [[Sentence=-1,1=word max, 1-5]][[[3,-1 max of sentences]]]
if for no other reason , you should see this movie to enjoy how far the computer technology has gone since those days . 	if for no other reason , you should see this movie to enjoy how far the computer technology has gone since those days .	3	-1	 if[0] for[0] no[0] other[0] reason[0] you[0] should[0] see[0] this[0] movie[0] to[0] enjoy[2] how[0] far[0] the[0] computer[0] technology[0] has[0] gone[0] since[0] those[0] days[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
david uses the same telephone for calling friends as calling other computers . 	david uses the same telephone for calling friends as calling other computers .	2	-1	 david[0] uses[0] the[0] same[0] telephone[0] for[0] calling[0] friends[1] as[0] calling[0] other[0] computers[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the modem is some kind of device that he puts the headset on . 	the modem is some kind of device that he puts the headset on .	1	-1	 the[0] modem[0] is[0] some[0] kind[1][-1 LastWordBoosterStrength] of[0] device[0] that[0] he[0] puts[0] the[0] headset[0] on[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
far from any 56k modem my guess is that it's some kind of 2400 bps modem , the kind of technology you now find at your local technical museum . 	far from any 56k modem my guess is that it's some kind of 2400 bps modem , the kind of technology you now find at your local technical museum .	2	-1	 far[0] from[0] any[0] 56k[0] modem[0] my[0] guess[0] is[0] that[0] it's[0] some[0] kind[1][-1 LastWordBoosterStrength] of[0] 2400[0] bps[0] modem[0] the[0] kind[1] of[0] technology[0] you[0] now[0] find[0] at[0] your[0] local[0] technical[0] museum[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the big computer at norad has a lot of flashing lights ( just like those you see on star trek or any old sf-movie ) but it's hardly impressing compared with what you can get today . 	the big computer at norad has a lot of flashing lights ( just like those you see on star trek or any old sf-movie ) but it's hardly impressing compared with what you can get today .	2	-1	 the[0] big[0] computer[0] at[0] norad[0] has[0] a[0] lot[0] of[0] flashing[0] lights[0] just[0] like[1][-1 LastWordBoosterStrength] those[0] you[0] see[0] on[0] star[0] trek[0] or[0] any[0] old[0] sf[0] movie[0] but[0] it's[0] hardly[0] impressing[1] compared[0] with[0] what[0] you[0] can[0] get[0] today[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
what are the lessons we can learn from wargames ? 	what are the lessons we can learn from wargames ?	1	-1	 what[0] are[0] the[0] lessons[0] we[0] can[0] learn[0] from[0] wargames[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
1 . 	1 .	1	-1	 1[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
make sure there are no secret backdoors into military computers . 	make sure there are no secret backdoors into military computers .	1	-1	 make[0] sure[0] there[0] are[0] no[0] secret[0] backdoors[0] into[0] military[0] computers[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
2 . thank you , whoever it was , for giving us a graphical user interface when we use our computers ! 	2 .<br> thank you , whoever it was , for giving us a graphical user interface when we use our computers !	2	-1	 2[0] [[Sentence=-1,1=word max, 1-5]] thank[1] you[0] whoever[0] it[0] was[0] for[0] giving[0] us[0] a[0] graphical[0] user[0] interface[0] when[0] we[0] use[0] our[0] computers[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
