upon taking a seat at the theater , and surveying the crowd , i soon realized that i was the only person under forty in the premises . 	Translation	Positive	Negative	EmotionRationale
what seems to be an underlying theme are the pagan rituals and dances of peoples , both in lughnasa and africa . 	what seems to be an underlying theme are the pagan rituals and dances of peoples , both in lughnasa and africa .	1	-1	 what[0] seems[0] to[0] be[0] an[0] underlying[0] theme[0] are[0] the[0] pagan[0] rituals[0] and[0] dances[0] of[0] peoples[0] both[0] in[0] lughnasa[0] and[0] africa[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in fact , dance seems to be the glue that holds the family together and most expressively shows their closeness . 	in fact , dance seems to be the glue that holds the family together and most expressively shows their closeness .	1	-1	 in[0] fact[0] dance[0] seems[0] to[0] be[0] the[0] glue[0] that[0] holds[0] the[0] family[0] together[0] and[0] most[0] expressively[0] shows[0] their[0] closeness[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
legs tap , and bodies sway even in the midst of impending disaster . 	legs tap , and bodies sway even in the midst of impending disaster .	1	-2	 legs[0] tap[0] and[0] bodies[0] sway[0] even[0] in[0] the[0] midst[0] of[0] impending[0] disaster[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
only after the music stops , and the characters stand breathing heavily do we sense any trouble . 	only after the music stops , and the characters stand breathing heavily do we sense any trouble .	1	-2	 only[0] after[0] the[0] music[0] stops[0] and[0] the[0] characters[0] stand[0] breathing[0] heavily[0] do[0] we[0] sense[0] any[0] trouble[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in the quiet after the music we muse that it's sad that music has to cease , and families falter . 	in the quiet after the music we muse that it's sad that music has to cease , and families falter .	1	-4	 in[0] the[0] quiet[0] after[0] the[0] music[0] we[0] muse[0] that[0] it's[0] sad[-3] that[0] music[0] has[0] to[0] cease[0] and[0] families[0] falter[-1] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the movie is framed by a scene of michael mundy , the narrator of the movie , as a young child flying a kite . 	the movie is framed by a scene of michael mundy , the narrator of the movie , as a young child flying a kite .	1	-1	 the[0] movie[0] is[0] framed[0] by[0] a[0] scene[0] of[0] michael[0] mundy[0] the[0] narrator[0] of[0] the[0] movie[0] as[0] a[0] young[0] child[0] flying[0] a[0] kite[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he trips over a bump and loses hold of his string , and the kite floats off farther into the distance . 	he trips over a bump and loses hold of his string , and the kite floats off farther into the distance .	1	-2	 he[0] trips[0] over[0] a[0] bump[0] and[0] loses[-1] hold[0] of[0] his[0] string[0] and[0] the[0] kite[0] floats[0] off[0] farther[0] into[0] the[0] distance[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
drawn on the white diamond of the kite is a face that looks at once pained , and at another glance mischievous . 	drawn on the white diamond of the kite is a face that looks at once pained , and at another glance mischievous .	1	-2	 drawn[0] on[0] the[0] white[0] diamond[0] of[0] the[0] kite[0] is[0] a[0] face[0] that[0] looks[0] at[0] once[0] pained[-1] and[0] at[0] another[0] glance[0] mischievous[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the mundy family itself follows a similar fate to that of the kite , and kate's hold of the family isn't strong enough to hold off the winds of change . 	the mundy family itself follows a similar fate to that of the kite , and kate's hold of the family isn't strong enough to hold off the winds of change .	1	-1	 the[0] mundy[0] family[0] itself[0] follows[0] a[0] similar[0] fate[0] to[0] that[0] of[0] the[0] kite[0] and[0] kate's[0] hold[0] of[0] the[0] family[0] isn't[0] strong[0] enough[0] to[0] hold[0] off[0] the[0] winds[0] of[0] change[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as michael stands , staring at his kite fly away , we hear the adult michael , looking back at the season that his world changed forever . 	as michael stands , staring at his kite fly away , we hear the adult michael , looking back at the season that his world changed forever .	1	-1	 as[0] michael[0] stands[0] staring[0] at[0] his[0] kite[0] fly[0] away[0] we[0] hear[0] the[0] adult[0] michael[0] looking[0] back[0] at[0] the[0] season[0] that[0] his[0] world[0] changed[0] forever[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the movie is not overpowering , but it gives us a beautiful window into the life , love , and trouble of a household of lonely women . 	the movie is not overpowering , but it gives us a beautiful window into the life , love , and trouble of a household of lonely women .	3	-2	 the[0] movie[0] is[0] not[0] overpowering[-1][NegatedDueToPreviousWord] but[0] it[0] gives[0] us[0] a[0] beautiful[2] window[0] into[0] the[0] life[0] love[2] and[0] trouble[-1] of[0] a[0] household[0] of[0] lonely[-1] women[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
note : this is the first movie review i've ever written , any responses on it would be greatly appreciated . 	note : this is the first movie review i've ever written , any responses on it would be greatly appreciated .	3	-1	 note[0] this[0] is[0] the[0] first[0] movie[0] review[0] i've[0] ever[0] written[0] any[0] responses[0] on[0] it[0] would[0] be[0] greatly[2] appreciated[1] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
 : ) 	 : )	1	-1	[[[0,0 max of sentences]]]
