there is nothing like american history x in theaters or on video . 	Translation	Positive	Negative	EmotionRationale
he takes derek under his wing and nurtures his racist feelings . 	he takes derek under his wing and nurtures his racist feelings .	1	-2	 he[0] takes[0] derek[0] under[0] his[0] wing[0] and[0] nurtures[0] his[0] racist[-1] feelings[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
keeping his own criminal record spotless , he uses derek as a leader and organizer for high-visibility racial intimidation . 	keeping his own criminal record spotless , he uses derek as a leader and organizer for high-visibility racial intimidation .	2	-4	 keeping[0] his[0] own[0] criminal[-1] record[0] spotless[1] he[0] uses[0] derek[0] as[0] a[0] leader[0] and[0] organizer[0] for[0] high[0] visibility[0] racial[0] intimidation[-3] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
derek obliges by leading his younger and dumber friends in race-motivated mob crimes . 	derek obliges by leading his younger and dumber friends in race-motivated mob crimes .	2	-2	 derek[0] obliges[0] by[0] leading[0] his[0] younger[0] and[0] dumber[-1] friends[1] in[0] race[0] motivated[0] mob[0] crimes[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
at the bottom of the chain , derek's younger brother danny ( edward furlong , made famous in terminator 2 ) joins the skinheads not for ideological or intellectual reasons , but because he admires his brother and he wants to belong . 	at the bottom of the chain , derek's younger brother danny ( edward furlong , made famous in terminator 2 ) joins the skinheads not for ideological or intellectual reasons , but because he admires his brother and he wants to belong .	3	-1	 at[0] the[0] bottom[0] of[0] the[0] chain[0] derek's[0] younger[0] brother[0] danny[0] edward[0] furlong[0] made[0] famous[0] in[0] terminator[0] 2[0] joins[0] the[0] skinheads[0] not[0] for[0] ideological[0] or[0] intellectual[0] reasons[0] but[0] because[0] he[0] admires[2] his[0] brother[0] and[0] he[0] wants[0] to[0] belong[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
one night three black youths break into derek's truck , which is exactly what derek has been waiting for . 	one night three black youths break into derek's truck , which is exactly what derek has been waiting for .	1	-1	 one[0] night[0] three[0] black[0] youths[0] break[0] into[0] derek's[0] truck[0] which[0] is[0] exactly[0] what[0] derek[0] has[0] been[0] waiting[0] for[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
outside in his shorts and his tattoo , he shoots them all . 	outside in his shorts and his tattoo , he shoots them all .	1	-2	 outside[0] in[0] his[0] shorts[0] and[0] his[0] tattoo[0] he[0] shoots[-1] them[0] all[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the third would-be thief , unarmed , is only wounded . 	the third would-be thief , unarmed , is only wounded .	1	-2	 the[0] third[0] would[0] be[0] thief[-1] unarmed[0] is[0] only[0] wounded[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in the key scene of the film , derek commands the kid into a position where he can be killed with one glorious , enraptured , awful stomp . 	in the key scene of the film , derek commands the kid into a position where he can be killed with one glorious , enraptured , awful stomp .	2	-4	 in[0] the[0] key[0] scene[0] of[0] the[0] film[0] derek[0] commands[0] the[0] kid[0] into[0] a[0] position[0] where[0] he[0] can[0] be[0] killed[-3] with[0] one[0] glorious[1] enraptured[0] awful[-3] stomp[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
 ( the fun-spoiling nc-17 of orgazmo seems even more inappropriate , considering american history x was rated r . what sort of country is this that says sex comedies are a bigger threat to our youth than brutal , ecstatic violence ? ) 	 ( the fun-spoiling nc-17 of orgazmo seems even more inappropriate , considering american history x was rated are .<br> what sort of country is this that says sex comedies are a bigger threat to our youth than brutal , ecstatic violence ?<br> )	4	-4	 the[0] fun[1] spoiling[-1] nc[0] -17[0] of[0] orgazmo[0] seems[0] even[0] more[0] inappropriate[0] considering[0] american[0] history[0] x[1] was[0] rated[0] r[0] [[Sentence=-2,2=word max, 1-5]] what[0] sort[0] of[0] country[0] is[0] this[0] that[0] says[0] sex[0] comedies[0] are[0] a[0] bigger[0] threat[-2] to[0] our[0] youth[0] than[0] brutal[-2] ecstatic[3] violence[-3] [[Sentence=-4,4=word max, 1-5]][[[4,-4 max of sentences]]]
the police arrive just as derek kills the last thief . 	the police arrive just as derek kills the last thief .	1	-2	 the[0] police[0] arrive[0] just[0] as[0] derek[0] kills[0] the[0] last[0] thief[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
derek does not resist the cops , and as they spin him around to cuff him , the film slows down . 	derek does not resist the cops , and as they spin him around to cuff him , the film slows down .	1	-1	 derek[0] does[0] not[0] resist[0] the[0] cops[0] and[0] as[0] they[0] spin[0] him[0] around[0] to[0] cuff[0] him[0] the[0] film[0] slows[0] down[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
derek raises his eyebrows and smiles at his little brother in a chilling , sadistic , satisfied grin . 	derek raises his eyebrows and smiles at his little brother in a chilling , sadistic , satisfied grin .	3	-1	 derek[0] raises[0] his[0] eyebrows[0] and[0] smiles[2] at[0] his[0] little[0] brother[0] in[0] a[0] chilling[0] sadistic[0] satisfied[1] grin[1] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
now in prison , derek faces new challenges . 	now in prison , derek faces new challenges .	1	-2	 now[0] in[0] prison[-1] derek[0] faces[0] new[0] challenges[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
as the black man in the laundry tells him , " in the joint , you the nigra , not me . " 	as the black man in the laundry tells him , " in the joint , you the nigra , not me .<br> "	1	-1	 as[0] the[0] black[0] man[0] in[0] the[0] laundry[0] tells[0] him[0] in[0] the[0] joint[0] you[0] the[0] nigra[0] not[0] me[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there is a clique of swastika-wearing skinheads , but they are not interested in the ideology of white supremacy . 	there is a clique of swastika-wearing skinheads , but they are not interested in the ideology of white supremacy .	3	-2	 there[0] is[0] a[0] clique[-1] of[0] swastika[0] wearing[0] skinheads[0] but[0] they[0] are[0] not[0] interested[1][NegatedDueToPreviousWord] in[0] the[0] ideology[0] of[0] white[0] supremacy[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
they only use the symbols as a means of intimidation . 	they only use the symbols as a means of intimidation .	1	-4	 they[0] only[0] use[0] the[0] symbols[0] as[0] a[0] means[0] of[0] intimidation[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
derek finds himself truly alone , truly in danger , and truly afraid . 	derek finds himself truly alone , truly in danger , and truly afraid .	2	-4	 derek[0] finds[0] himself[0] truly[1] alone[0] truly[1] in[0] danger[-1] and[0] truly[1] afraid[-3] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
when derek finally gets out of prison , he finds that his friends from the gang have also changed . 	when derek finally gets out of prison , he finds that his friends from the gang have also changed .	2	-2	 when[0] derek[0] finally[0] gets[0] out[0] of[0] prison[-1] he[0] finds[0] that[0] his[0] friends[1] from[0] the[0] gang[0] have[0] also[0] changed[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
without derek's leadership , they have shunned the white supremacist ideology for the white supremacist culture . 	without derek's leadership , they have shunned the white supremacist ideology for the white supremacist culture .	1	-2	 without[0] derek's[0] leadership[0] they[0] have[0] shunned[-1] the[0] white[0] supremacist[-1] ideology[0] for[0] the[0] white[0] supremacist[-1] culture[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it is the final factor that makes him realize how badly he's screwed up . 	it is the final factor that makes him realize how badly he's screwed up .	1	-2	 it[0] is[0] the[0] final[0] factor[0] that[0] makes[0] him[0] realize[0] how[0] badly[-1] he's[0] screwed[0] up[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in the end , he spends quality time with is brother trying to undo the respect and admiration he had earlier inspired in danny . 	in the end , he spends quality time with is brother trying to undo the respect and admiration he had earlier inspired in danny .	3	-2	 in[0] the[0] end[0] he[0] spends[0] quality[0] time[0] with[0] is[0] brother[0] trying[0] to[0] undo[-1] the[0] respect[2] and[0] admiration[2] he[0] had[0] earlier[0] inspired[2] in[0] danny[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the film ends a little too deliberately , too neatly after the unchained emotion and violent glee of the rest of the film , but it barely detracts from the overall experience . 	the film ends a little too deliberately , too neatly after the unchained emotion and violent glee of the rest of the film , but it barely detracts from the overall experience .	1	-3	 the[0] film[0] ends[0] a[0] little[0] too[0] deliberately[0] too[0] neatly[0] after[0] the[0] unchained[0] emotion[0] and[0] violent[-2] glee[0] of[0] the[0] rest[0] of[0] the[0] film[0] but[0] it[0] barely[0] detracts[-1] from[0] the[0] overall[0] experience[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
edward norton gives an oscar-worthy performance . 	edward norton gives an oscar-worthy performance .	1	-1	 edward[0] norton[0] gives[0] an[0] oscar[0] worthy[0] performance[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
although some of his dialogue seemed to be written without enough conviction , norton's performance compensated . 	although some of his dialogue seemed to be written without enough conviction , norton's performance compensated .	1	-2	 although[0] some[0] of[0] his[0] dialogue[0] seemed[0] to[0] be[0] written[0] without[0] enough[0] conviction[-1] norton's[0] performance[0] compensated[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 ( an example that comes to mind is his pep talk before looting the store . ) 	 ( an example that comes to mind is his pep talk before looting the store .<br> )	1	-1	 an[0] example[0] that[0] comes[0] to[0] mind[0] is[0] his[0] pep[0] talk[0] before[0] looting[0] the[0] store[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he also captured the essence of an older brother . 	he also captured the essence of an older brother .	1	-2	 he[0] also[0] captured[-1] the[0] essence[0] of[0] an[0] older[0] brother[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he took his responsibility as a role model to his younger brother very seriously , very lovingly , both before and after his change of heart . 	he took his responsibility as a role model to his younger brother very seriously , very lovingly , both before and after his change of heart .	5	-1	 he[0] took[0] his[0] responsibility[0] as[0] a[0] role[0] model[0] to[0] his[0] younger[0] brother[0] very[0] seriously[0] very[0] lovingly[3][1 LastWordBoosterStrength] both[0] before[0] and[0] after[0] his[0] change[0] of[0] heart[0] [[Sentence=-1,5=word max, 1-5]][[[5,-1 max of sentences]]]
though clearly not for all tastes , this film is bold and daring . 	though clearly not for all tastes , this film is bold and daring .	1	-1	 though[0] clearly[0] not[0] for[0] all[0] tastes[0] this[0] film[0] is[0] bold[0] and[0] daring[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the subject matter is ugly , cruel , and at times hard to look at . 	the subject matter is ugly , cruel , and at times hard to look at .	1	-5	 the[0] subject[0] matter[0] is[0] ugly[-2] cruel[-3][-1 MultiplePositiveWords] and[0] at[0] times[0] hard[0] to[0] look[0] at[0] [[Sentence=-5,1=word max, 1-5]][[[1,-5 max of sentences]]]
nevertheless its subjects are part of humanity's great face . 	nevertheless its subjects are part of humanity's great face .	3	-1	 nevertheless[0] its[0] subjects[0] are[0] part[0] of[0] humanity's[0] great[2] face[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
kaye gives us a good look at this fascinating , if distasteful , american subculture . 	kaye gives us a good look at this fascinating , if distasteful , american subculture .	2	-1	 kaye[0] gives[0] us[0] a[0] good[1] look[0] at[0] this[0] fascinating[0] if[0] distasteful[0] american[0] subculture[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
