those of you who frequently read my reviews are not likely to be surprised by the fact that i have not read victor hugo's novel les miserables . 	Translation	Positive	Negative	EmotionRationale
valjean remembers javert as one of the prison guards who constantly beat him , and javert remembers jean to be a convict . 	valjean remembers javert as one of the prison guards who constantly beat him , and javert remembers jean to be a convict .	1	-2	 valjean[0] remembers[0] javert[0] as[0] one[0] of[0] the[0] prison[-1] guards[0] who[0] constantly[0] beat[0] him[0] and[0] javert[0] remembers[0] jean[0] to[0] be[0] a[0] convict[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
javert is hell-bent on upholding the law , and he does everything in his power to bring jean to justice . 	javert is hell-bent on upholding the law , and he does everything in his power to bring jean to justice .	1	-2	 javert[0] is[0] hell[-1] bent[0] on[0] upholding[0] the[0] law[0] and[0] he[0] does[0] everything[0] in[0] his[0] power[0] to[0] bring[0] jean[0] to[0] justice[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
along the way , valjean meets and falls in love with a peasant woman , fantine ( uma thurman ) , and vows to take care of her daughter , cosette ( played later by claire danes ) . 	along the way , valjean meets and falls in love with a peasant woman , fantine ( uma thurman ) , and vows to take care of her daughter , cosette ( played later by claire danes ) .	3	-1	 along[0] the[0] way[0] valjean[0] meets[0] and[0] falls[0] in[0] love[2] with[0] a[0] peasant[0] woman[0] fantine[0] uma[0] thurman[0] and[0] vows[0] to[0] take[0] care[1] of[0] her[0] daughter[0] cosette[0] played[0] later[0] by[0] claire[0] danes[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
les miserables is visually a solid and often striking picture . 	les miserables is visually a solid and often striking picture .	1	-3	 les[0] miserables[-2] is[0] visually[0] a[0] solid[0] and[0] often[0] striking[0] picture[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the production design by anna asp is authentic and vast , and the sets don't look like sets ( they look like real towns and villages ) ; gabriella pescucci's costumes are noticeably spectacular . 	the production design by anna asp is authentic and vast , and the sets don't look like sets ( they look like real towns and villages ) ; gabriella pescucci's costumes are noticeably spectacular .	2	-2	 the[0] production[0] design[0] by[0] anna[0] asp[0] is[0] authentic[0] and[0] vast[0] and[0] the[0] sets[0] don't[0] look[0] like[1][NegatedDueToPreviousWord] sets[0] they[0] look[0] like[1] real[0] towns[0] and[0] villages[0] gabriella[0] pescucci's[0] costumes[0] are[0] noticeably[0] spectacular[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
basil poledouris' soundtrack is thick and usually well-placed ( though it does get a bit heavy at times ) . 	basil poledouris' soundtrack is thick and usually well-placed ( though it does get a bit heavy at times ) .	1	-1	 basil[0] poledouris'[0] soundtrack[0] is[0] thick[0] and[0] usually[0] well[0] placed[0] though[0] it[0] does[0] get[0] a[0] bit[0] heavy[0] at[0] times[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
many scenes in the film have a memorable photographic quality , such as the climax , which takes place next to a dark river in the grey obscurity of early evening . 	many scenes in the film have a memorable photographic quality , such as the climax , which takes place next to a dark river in the grey obscurity of early evening .	1	-1	 many[0] scenes[0] in[0] the[0] film[0] have[0] a[0] memorable[0] photographic[0] quality[0] such[0] as[0] the[0] climax[0] which[0] takes[0] place[0] next[0] to[0] a[0] dark[0] river[0] in[0] the[0] grey[0] obscurity[0] of[0] early[0] evening[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
augusts keeps the story simple ( which i hear is a good thing , since the novel is so complex ) and easy to follow . 	augusts keeps the story simple ( which i hear is a good thing , since the novel is so complex ) and easy to follow .	2	-1	 augusts[0] keeps[0] the[0] story[0] simple[0] which[0] i[0] hear[0] is[0] a[0] good[1] thing[0] since[0] the[0] novel[0] is[0] so[0] complex[0] and[0] easy[0] to[0] follow[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
he manages to develop the main characters and most of the subplots adequately . 	he manages to develop the main characters and most of the subplots adequately .	1	-1	 he[0] manages[0] to[0] develop[0] the[0] main[0] characters[0] and[0] most[0] of[0] the[0] subplots[0] adequately[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i was also impressed that he didn't go overboard with flash and style , which is something so many directors seem to be doing to classic stories these days ( such as baz luhrmann's vicious tragedy william shakespeare's romeo   juliet ) . 	i was also impressed that he didn't go overboard with flash and style , which is something so many directors seem to be doing to classic stories these days ( such as baz luhrmann's vicious tragedy william shakespeare's romeo   juliet ) .	2	-4	 i[0] was[0] also[0] impressed[1] that[0] he[0] didn't[0] go[0] overboard[0] with[0] flash[0] and[0] style[0] which[0] is[0] something[0] so[0] many[0] directors[0] seem[0] to[0] be[0] doing[0] to[0] classic[0] stories[0] these[0] days[0] such[0] as[0] baz[0] luhrmann's[0] vicious[-3] tragedy[-2][-1 MultiplePositiveWords] william[0] shakespeare's[0] romeo[0] juliet[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
this film feels solid and whole , and each scene has a certain amount of importance and vigor that keeps the audience interested . 	this film feels solid and whole , and each scene has a certain amount of importance and vigor that keeps the audience interested .	2	-1	 this[0] film[0] feels[0] solid[0] and[0] whole[0] and[0] each[0] scene[0] has[0] a[0] certain[0] amount[0] of[0] importance[0] and[0] vigor[0] that[0] keeps[0] the[0] audience[0] interested[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
liam neeson is terrific in the main role ; neeson is the kind of actor who does solemn desperation extremely well , and valjean is certainly a man who clearly fits that adjective . 	liam neeson is terrific in the main role ; neeson is the kind of actor who does solemn desperation extremely well , and valjean is certainly a man who clearly fits that adjective .	4	-4	 liam[0] neeson[0] is[0] terrific[3] in[0] the[0] main[0] role[0] neeson[0] is[0] the[0] kind[1] of[0] actor[0] who[0] does[0] solemn[-2] desperation[-2][-1 MultiplePositiveWords] extremely[0] well[0] and[0] valjean[0] is[0] certainly[0] a[0] man[0] who[0] clearly[0] fits[0] that[0] adjective[0] [[Sentence=-4,4=word max, 1-5]][[[4,-4 max of sentences]]]
thurman , in her small role , is very good , and proves that she has a lot of range and can perform in a very non-glamorous role such as this one . 	thurman , in her small role , is very good , and proves that she has a lot of range and can perform in a very non-glamorous role such as this one .	3	-1	 thurman[0] in[0] her[0] small[0] role[0] is[0] very[0] good[1][1 LastWordBoosterStrength] and[0] proves[0] that[0] she[0] has[0] a[0] lot[0] of[0] range[0] and[0] can[0] perform[0] in[0] a[0] very[0] non[0] glamorous[1] role[0] such[0] as[0] this[0] one[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
rush is absolutely incredible as javert ; i don't remember ever feeling so strongly about a villain as i do here ; he adds depth and complexity with subtle glances and nuances , and effortlessly makes each of his scenes intense . 	rush is absolutely incredible as javert ; i don't remember ever feeling so strongly about a villain as i do here ; he adds depth and complexity with subtle glances and nuances , and effortlessly makes each of his scenes intense .	1	-3	 rush[0] is[0] absolutely[0] incredible[0] as[0] javert[0] i[0] don't[0] remember[0] ever[0] feeling[0] so[0] strongly[0] about[0] a[0] villain[-2] as[0] i[0] do[0] here[0] he[0] adds[0] depth[0] and[0] complexity[0] with[0] subtle[0] glances[0] and[0] nuances[0] and[0] effortlessly[0] makes[0] each[0] of[0] his[0] scenes[0] intense[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
i can't be as charitable for danes , however ; though i know she is a talented actress , here she tends to overact when it might have been better to underplay the character a bit . 	i can't be as charitable for danes , however ; though i know she is a talented actress , here she tends to overact when it might have been better to underplay the character a bit .	2	-1	 i[0] can't[0] be[0] as[0] charitable[0] for[0] danes[0] however[0] though[0] i[0] know[0] she[0] is[0] a[0] talented[1] actress[0] here[0] she[0] tends[0] to[0] overact[0] when[0] it[0] might[0] have[0] been[0] better[0] to[0] underplay[0] the[0] character[0] a[0] bit[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
les miserables is , as i've said , a solid , intelligent motion picture . 	les miserables is , as i've said , a solid , intelligent motion picture .	2	-3	 les[0] miserables[-2] is[0] as[0] i've[0] said[0] a[0] solid[0] intelligent[1] motion[0] picture[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
my only complaint is that it feels a bit too easy , and perhaps too staged . 	my only complaint is that it feels a bit too easy , and perhaps too staged .	1	-2	 my[0] only[0] complaint[-1] is[0] that[0] it[0] feels[0] a[0] bit[0] too[0] easy[0] and[0] perhaps[0] too[0] staged[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
each scene is grand and huge , and exploding with poledouris' score , but i didn't always want them to be . 	each scene is grand and huge , and exploding with poledouris' score , but i didn't always want them to be .	2	-1	 each[0] scene[0] is[0] grand[1] and[0] huge[0] and[0] exploding[0] with[0] poledouris'[0] score[0] but[0] i[0] didn't[0] always[0] want[0] them[0] to[0] be[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
for the most part , les miserables is not a subtle or deep picture . 	for the most part , les miserables is not a subtle or deep picture .	1	-3	 for[0] the[0] most[0] part[0] les[0] miserables[-2] is[0] not[0] a[0] subtle[0] or[0] deep[0] picture[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it's a good movie , and tells its story well , but august tends to hand-feed us themes and scenes that would have worked better had they been more subtle . 	it's a good movie , and tells its story well , but august tends to hand-feed us themes and scenes that would have worked better had they been more subtle .	2	-1	 it's[0] a[0] good[1] movie[0] and[0] tells[0] its[0] story[0] well[0] but[0] august[0] tends[0] to[0] hand[0] feed[0] us[0] themes[0] and[0] scenes[0] that[0] would[0] have[0] worked[0] better[0] had[0] they[0] been[0] more[0] subtle[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
however , in a film this exciting and well-produced , a few minor flaws are easily overlooked . 	however , in a film this exciting and well-produced , a few minor flaws are easily overlooked .	3	-2	 however[0] in[0] a[0] film[0] this[0] exciting[2] and[0] well[0] produced[0] a[0] few[0] minor[0] flaws[0] are[0] easily[0] overlooked[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
