produced by robert lantos & stephen j . roth 	Translation	Positive	Negative	EmotionRationale
during the chaos , computer technician apollonia james ( linda griffiths ) maintains contact with fingal through a datalink , manifesting several different times to offer advice or warnings . 	during the chaos , computer technician apollonia james ( linda griffiths ) maintains contact with fingal through a datalink , manifesting several different times to offer advice or warnings .	1	-2	 during[0] the[0] chaos[-1] computer[0] technician[0] apollonia[0] james[0] linda[0] griffiths[0] maintains[0] contact[0] with[0] fingal[0] through[0] a[0] datalink[0] manifesting[0] several[0] different[0] times[0] to[0] offer[0] advice[0] or[0] warnings[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
over the course of their interactions , interest on both their parts grows into a budding romance . 	over the course of their interactions , interest on both their parts grows into a budding romance .	4	-1	 over[0] the[0] course[0] of[0] their[0] interactions[0] interest[1] on[0] both[0] their[0] parts[0] grows[0] into[0] a[0] budding[0] romance[3] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
given that " casablanca " is fingal's favorite film , and the basis for his fantasy world , a great deal of the movie is homage to " casablanca " . 	given that " casablanca " is fingal's favorite film , and the basis for his fantasy world , a great deal of the movie is homage to " casablanca " .	3	-1	 given[0] that[0] casablanca[0] is[0] fingal's[0] favorite[1] film[0] and[0] the[0] basis[0] for[0] his[0] fantasy[0] world[0] a[0] great[2] deal[0] of[0] the[0] movie[0] is[0] homage[0] to[0] casablanca[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
in fact , the humphrey bogart and peter lorre characters make appearances ( played by julia in a dual role and louis negin , respectively ) in a bar called " the place " . 	in fact , the humphrey bogart and peter lore characters make appearances ( played by julia in a dual role and louis negin , respectively ) in a bar called " the place " .	3	-1	 in[0] fact[0] the[0] humphrey[0] bogart[0] and[0] peter[0] lorre/lore[0] characters[0] make[0] appearances[0] played[0] by[0] julia[0] in[0] a[0] dual[0] role[0] and[0] louis[0] negin[0] respectively[2] in[0] a[0] bar[0] called[0] the[0] place[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
julia's portrayal of bogart is passable , and avoids becoming the " schweethaat " -spouting parody seen in cartoons . 	julia's portrayal of bogart is passable , and avoids becoming the " schweethat " -spouting parody seen in cartoons .	1	-2	 julia's[0] portrayal[0] of[0] bogart[0] is[0] passable[0] and[0] avoids[-1] becoming[0] the[0] schweethaat/schweethat[0] spouting[0] parody[0] seen[0] in[0] cartoons[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
negin's peter lorre is quite credible , and easily the best peter lorre i've ever seen who wasn't the real thing . 	negin's peter lore is quite credible , and easily the best peter lore i've ever seen who wasn't the real thing .	2	-1	 negin's[0] peter[0] lorre/lore[0] is[0] quite[0] credible[0] and[0] easily[0] the[0] best[1] peter[0] lorre/lore[0] i've[0] ever[0] seen[0] who[0] wasn't[0] the[0] real[0] thing[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the two of them , as characters created by fingal's imagination , serve as aspects of his personality , driving him on in his quest to hack the computer system . 	the two of them , as characters created by fingal's imagination , serve as aspects of his personality , driving him on in his quest to hack the computer system .	1	-2	 the[0] two[0] of[0] them[0] as[0] characters[0] created[0] by[0] fingal's[0] imagination[0] serve[0] as[0] aspects[0] of[0] his[0] personality[0] driving[0] him[0] on[0] in[0] his[0] quest[0] to[0] hack[-1] the[0] computer[0] system[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
those aren't the only casablanca characters to put in appearances . 	those aren't the only casablanca characters to put in appearances .	1	-1	 those[0] aren't[0] the[0] only[0] casablanca[0] characters[0] to[0] put[0] in[0] appearances[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the sydney greenstreet character also happens to be around . . . as " the fat man " , the alternate aspect of the film's main villain , the novicorp chairman ( donald c . moore ) . 	the sydney greenstreet character also happens to be around .<br> .<br> .<br> as " the fat man " , the alternate aspect of the film's main villain , the novicorp chairman ( donald c .<br> more ) .	1	-3	 the[0] sydney[0] greenstreet[0] character[0] also[0] happens[0] to[0] be[0] around[0] [[Sentence=-1,1=word max, 1-5]] as[0] the[0] fat[-1] man[0] the[0] alternate[0] aspect[0] of[0] the[0] film's[0] main[0] villain[-2] the[0] novicorp[0] chairman[0] donald[0] c[0] [[Sentence=-3,1=word max, 1-5]] moore/more[0] [[Sentence=-1,1=word max, 1-5]][[[1,-3 max of sentences]]]
while fingal's body is lost , the fat man tries to stop him from hacking the system . . . with 	while fingal's body is lost , the fat man tries to stop him from hacking the system .<br> .<br> .<br> with	1	-2	 while[0] fingal's[0] body[0] is[0] lost[0] the[0] fat[-1] man[0] tries[0] to[0] stop[0] him[0] from[0] hacking[0] the[0] system[0] [[Sentence=-2,1=word max, 1-5]] with[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
less than salutory results . 	less than salutory results .	1	-1	 less[0] than[0] salutory[0] results[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's interesting to note the futuristic slang words that are thrown about left and right during the film , in the best golden-age science fiction tradition . 	it's interesting to note the futuristic slang words that are thrown about left and right during the film , in the best golden-age science fiction tradition .	2	-1	 it's[0] interesting[1] to[0] note[0] the[0] futuristic[0] slang[0] words[0] that[0] are[0] thrown[0] about[0] left[0] and[0] right[0] during[0] the[0] film[0] in[0] the[0] best[1] golden[0] age[0] science[0] fiction[0] tradition[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
words like " dopple " , " psychist " , " computech " , " cinema " , and " reconst " are apparently in common use . 	words like " dopple " , " psychist " , " computech " , " cinema " , and " reconst " are apparently in common use .	2	-1	 words[0] like[1] dopple[0] psychist[0] computech[0] cinema[0] and[0] reconst[0] are[0] apparently[0] in[0] common[0] use[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
and while people of today may well laugh at fourteen years past's idea of futuristic data processing clerks , some aspects of this film are surprisingly perfectly in keeping with the way we think of " virtual reality " today . 	and while people of today may well laugh at fourteen years past's idea of futuristic data processing clerks , some aspects of this film are surprisingly perfectly in keeping with the way we think of " virtual reality " today .	2	-1	 and[0] while[0] people[0] of[0] today[0] may[0] well[0] laugh[1] at[0] fourteen[0] years[0] past's[0] idea[0] of[0] futuristic[0] data[0] processing[0] clerks[0] some[0] aspects[0] of[0] this[0] film[0] are[0] surprisingly[0] perfectly[1] in[0] keeping[0] with[0] the[0] way[0] we[0] think[0] of[0] virtual[0] reality[0] today[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
as cyberpunk films go , this may not be a staple of the genre , but it's definitely recommended viewing . 	as cyberpunk films go , this may not be a staple of the genre , but it's definitely recommended viewing .	1	-1	 as[0] cyberpunk[0] films[0] go[0] this[0] may[0] not[0] be[0] a[0] staple[0] of[0] the[0] genre[0] but[0] it's[0] definitely[0] recommended[0] viewing[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the special effects are very primitive , placing this production in the realm of low-to-medium-budget television . 	the special effects are very primitive , placing this production in the realm of low-to-medium-budget television .	2	-2	 the[0] special[1] effects[0] are[0] very[0] primitive[0] placing[0] this[0] production[0] in[0] the[0] realm[0] of[0] low[-1] to[0] medium[0] budget[0] television[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the music is completely electronic-synthesized , which fits the low budget but isn't really out of keeping with the genre . 	the music is completely electronic-synthesized , which fits the low budget but isn't really out of keeping with the genre .	1	-2	 the[0] music[0] is[0] completely[0] electronic[0] synthesized[0] which[0] fits[0] the[0] low[-1] budget[0] but[0] isn't[0] really[0] out[0] of[0] keeping[0] with[0] the[0] genre[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
however , the writing quite makes up for it . 	however , the writing quite makes up for it .	1	-1	 however[0] the[0] writing[0] quite[0] makes[0] up[0] for[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there are some very funny moments , and quite a few little in-jokes that one needs to have seen " casablanca " to appreciate properly . 	there are some very funny moments , and quite a few little in-jokes that one needs to have seen " casablanca " to appreciate properly .	3	-1	 there[0] are[0] some[0] very[0] funny[1][1 LastWordBoosterStrength] moments[0] and[0] quite[0] a[0] few[0] little[0] in[0] jokes[1] that[0] one[0] needs[0] to[0] have[0] seen[0] casablanca[0] to[0] appreciate[1] properly[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
all in all , i give " overdrawn at the memory bank " a . 	all in all , i give " overdrawn at the memory bank " a .	1	-1	 all[0] in[0] all[0] i[0] give[0] overdrawn[0] at[0] the[0] memory[0] bank[0] a[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
