moviemaking is a lot like being the general manager of an nfl team in the post-salary cap era -- you've got to know how to allocate your resources . 	Translation	Positive	Negative	EmotionRationale
 ( chan's first release in this country , " rumble in the bronx " , was supposedly set in new york , but was filmed in vancouver , and in the chase scenes the canadian rockies are clearly visible . ) 	 ( chan's first release in this country , " rumble in the bronx " , was supposedly set in new york , but was filmed in vancouver , and in the chase scenes the canadian rockies are clearly visible .<br> )	1	-2	 chan's[0] first[0] release[0] in[0] this[0] country[0] rumble[0] in[0] the[0] bronx[0] was[0] supposedly[0] set[0] in[0] new[0] york[0] but[0] was[0] filmed[0] in[0] vancouver[0] and[0] in[0] the[0] chase[-1] scenes[0] the[0] canadian[0] rockies[0] are[0] clearly[0] visible[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
heck , jackie doesn't even have enough money for a haircut , looks like , much less a personal hairstylist . 	heck , jackie doesn't even have enough money for a haircut , looks like , much less a personal hairstylist .	2	-1	 heck[0] jackie[0] doesn't[0] even[0] have[0] enough[0] money[0] for[0] a[0] haircut[0] looks[0] like[1] much[0] less[0] a[0] personal[0] hairstylist[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
in condor , chan plays the same character he's always played , himself , a mixture of bruce lee and tim allen , a master of both kung-fu and slapstick-fu . 	in condor , chan plays the same character he's always played , himself , a mixture of bruce lee and tim allen , a master of both kung-fu and slapstick-fu .	2	-2	 in[0] condor[0] chan[0] plays[1] the[0] same[0] character[0] he's[0] always[0] played[0] himself[0] a[0] mixture[0] of[0] bruce[0] lee[0] and[0] tim[0] allen[0] a[0] master[0] of[0] both[0] kung[0] fu[0] and[0] slapstick[-1] fu[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
jackie is sent by the un to retrieve a cache of lost nazi gold in the north african desert , and is chased by a horde of neo-nazi sympathizers and two stereotypical arabs ( one of the things i like about jackie chan movies : no political correctness ) . 	jackie is sent by the un to retrieve a cache of lost nazi gold in the north african desert , and is chased by a horde of neo-nazi sympathizers and two stereotypical arabs ( one of the things i like about jackie chan movies : no political correctness ) .	2	-2	 jackie[0] is[0] sent[0] by[0] the[0] un[0] to[0] retrieve[0] a[0] cache[0] of[0] lost[0] nazi[-1] gold[0] in[0] the[0] north[0] african[0] desert[0] and[0] is[0] chased[-1] by[0] a[0] horde[-1] of[0] neo[0] nazi[-1] sympathizers[0] and[0] two[0] stereotypical[0] arabs[0] one[0] of[0] the[0] things[0] i[0] like[1] about[0] jackie[0] chan[0] movies[0] no[0] political[0] correctness[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
he is joined by three women , who have little to do except scream , " jackie , save us ! " , and misuse firearms . 	he is joined by three women , who have little to do except scream , " jackie , save us !<br> " , and misuse firearms .	2	-4	 he[0] is[0] joined[0] by[0] three[0] women[0] who[0] have[0] little[0] to[0] do[0] except[0] scream[-3] jackie[0] save[1] us[0] [[Sentence=-4,2=word max, 1-5]] and[0] misuse[-1] firearms[0] [[Sentence=-2,1=word max, 1-5]][[[2,-4 max of sentences]]]
the villain is an old nazi whose legs were broken in the secret base so that he has to be carried everywhere , and he's more pathetic than evil . 	the villain is an old nazi whose legs were broken in the secret base so that he has to be carried everywhere , and he's more pathetic than evil .	1	-3	 the[0] villain[-2] is[0] an[0] old[0] nazi[-1] whose[0] legs[0] were[0] broken[-1] in[0] the[0] secret[0] base[0] so[0] that[0] he[0] has[0] to[0] be[0] carried[0] everywhere[0] and[0] he's[0] more[0] pathetic[-2] than[0] evil[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
en route , we have an extended motorcycle chase scene , a hilarious fight in the moroccan version of motel 6 with the neo-nazis , and two confrontations with savage natives . 	en route , we have an extended motorcycle chase scene , a hilarious fight in the moroccan version of motel 6 with the neo-nazis , and two confrontations with savage natives .	3	-3	 en[0] route[0] we[0] have[0] an[0] extended[0] motorcycle[0] chase[-1] scene[0] a[0] hilarious[2] fight[-2] in[0] the[0] moroccan[0] version[0] of[0] motel[0] 6[0] with[0] the[0] neo[0] nazis[-1] and[0] two[0] confrontations[-2] with[0] savage[-2] natives[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
once at the secret desert base , there is a long chop-socky sequence , followed by the film's centerpiece , a wind-tunnel fight that's even better than the one in face/off . 	once at the secret desert base , there is a long chop-socky sequence , followed by the film's centerpiece , a wind-tunnel fight that's even better than the one in face/off .	1	-3	 once[0] at[0] the[0] secret[0] desert[0] base[0] there[0] is[0] a[0] long[0] chop[0] socky[0] sequence[0] followed[0] by[0] the[0] film's[0] centerpiece[0] a[0] wind[0] tunnel[0] fight[-2] that's[0] even[0] better[0] than[0] the[0] one[0] in[0] face/off[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
this is where the money was spent , on well-choreographed kung-fu sequences , on giant kevlar hamster balls , on smashed-up crates of bananas , and on scorpions . 	this is where the money was spent , on well-choreographed kung-fu sequences , on giant kevlar hamster balls , on smashed-up crates of bananas , and on scorpions .	1	-3	 this[0] is[0] where[0] the[0] money[0] was[0] spent[0] on[0] well[0] choreographed[-2] kung[0] fu[0] sequences[0] on[0] giant[0] kevlar[0] hamster[0] balls[0] on[0] smashed[0] up[0] crates[0] of[0] bananas[0] and[0] on[0] scorpions[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
ignore the gaping holes in the plot ( how , exactly , if the villain's legs were broken , did he escape from the secret nazi base , and why didn't he take the key with him ? ) . 	ignore the gaping holes in the plot ( how , exactly , if the villain's legs were broken , did he escape from the secret nazi base , and why didn't he take the key with him ?<br> ) .	1	-3	 ignore[0] the[0] gaping[0] holes[0] in[0] the[0] plot[0] how[0] exactly[0] if[0] the[0] villain's[-2] legs[0] were[0] broken[-1] did[0] he[0] escape[0] from[0] the[0] secret[0] nazi[-1] base[0] and[0] why[0] didn't[0] he[0] take[0] the[0] key[0] with[0] him[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
don't worry about the production values , or what , exactly , the japanese girl was doing hitchhiking across the sahara . 	don't worry about the production values , or what , exactly , the japanese girl was doing hitchiking across the sahara .	4	-1	 don't[0] worry[-3][NegatedDueToPreviousWord] about[0] the[0] production[0] values[1] or[0] what[0] exactly[0] the[0] japanese[0] girl[0] was[0] doing[0] hitchhiking/hitchiking[0] across[0] the[0] sahara[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
just go see the movie . 	just go see the movie .	1	-1	 just[0] go[0] see[0] the[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
operation condor has pretentions of being a " raiders of the lost ark " knockoff , but one wonders what jackie could do with the raiders franchise blocking for him -- with a lawrence kazdan screenplay , a john williams score , spielberg directing and george lucas producing , condor might be an a  movie . 	operation condor has pretentions of being a " raiders of the lost ark " knockoff , but one wonders what jackie could do with the raiders franchise blocking for him - with a lawrence kazdan screenplay , a john williams score , spielberg directing and george lucas producing , condor might be an a  movie .	1	-2	 operation[0] condor[0] has[0] pretentions[0] of[0] being[0] a[0] raiders[0] of[0] the[0] lost[0] ark[0] knockoff[0] but[0] one[0] wonders[0] what[0] jackie[0] could[0] do[0] with[0] the[0] raiders[0] franchise[0] blocking[-1] for[0] him[0] with[0] a[0] lawrence[0] kazdan[0] screenplay[0] a[0] john[0] williams[0] score[0] spielberg[0] directing[0] and[0] george[0] lucas[0] producing[0] condor[0] might[0] be[0] an[0] a[0] movie[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
however , you've got to go with what you've got , and what you've got in jackie chan is something special -- a talent that mainstream hollywood should , could , and ought to utilize . 	however , you've got to go with what you've got , and what you've got in jackie chan is something special - a talent that mainstream hollywood should , could , and ought to utilize .	2	-1	 however[0] you've[0] got[0] to[0] go[0] with[0] what[0] you've[0] got[0] and[0] what[0] you've[0] got[0] in[0] jackie[0] chan[0] is[0] something[0] special[1] a[0] talent[1] that[0] mainstream[0] hollywood[0] should[0] could[0] and[0] ought[0] to[0] utilize[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
