 " when it's cold , molecules aren't moving . 	Translation	Positive	Negative	EmotionRationale
everything parallels everything else . 	everything parallels everything else .	1	-1	 everything[0] parallels[0] everything[0] else[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the young teenagers trying to discover who they are thru drugs , sex , and alcohol is really almost identical to the parents trying to figure out the purpose in their own lives using the same methods . 	the young teenagers trying to discover who they are thru drugs , sex , and alcohol is really almost identical to the parents trying to figure out the purpose in their own lives using the same methods .	1	-1	 the[0] young[0] teenagers[0] trying[0] to[0] discover[0] who[0] they[0] are[0] thru[0] drugs[0] sex[0] and[0] alcohol[0] is[0] really[0] almost[0] identical[0] to[0] the[0] parents[0] trying[0] to[0] figure[0] out[0] the[0] purpose[0] in[0] their[0] own[0] lives[0] using[0] the[0] same[0] methods[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " when it's cold outside , the molecules aren't moving . 	 " when it's cold outside , the molecules aren't moving .	1	-2	 when[0] it's[0] cold[-1] outside[0] the[0] molecules[0] aren't[0] moving[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
everything is clean . " 	everything is clean .<br> "	1	-1	 everything[0] is[0] clean[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
everything is clean because nobody will admit what's going on . 	everything is clean because nobody will admit what's going on .	1	-1	 everything[0] is[0] clean[0] because[0] nobody[0] will[0] admit[0] what's[0] going[0] on[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
even the president is on tv denying his wrong-doings . 	even the president is on tv denying his wrong-doings .	1	-2	 even[0] the[0] president[0] is[0] on[0] tv[0] denying[0] his[0] wrong[-1] doings[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
how can you expect anything more out of a couple of suburban families riding the coattails of sexual revolution ? 	how can you expect anything more out of a couple of suburban families riding the coattails of sexual revolution ?	1	-2	 how[0] can[0] you[0] expect[0] anything[0] more[0] out[0] of[0] a[0] couple[0] of[0] suburban[0] families[0] riding[0] the[0] coattails[0] of[0] sexual[0] revolution[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
all the sex and drugs is so obviously empty , and i think that's the point of the film . 	all the sex and drugs is so obviously empty , and i think that's the point of the film .	1	-1	 all[0] the[0] sex[0] and[0] drugs[0] is[0] so[0] obviously[0] empty[0] and[0] i[0] think[0] that's[0] the[0] point[0] of[0] the[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
at first viewing , the entire movie might seem empty , but then why shouldn't it parallel itself ? 	at first viewing , the entire movie might seem empty , but then why shouldn't it parallel itself ?	1	-1	 at[0] first[0] viewing[0] the[0] entire[0] movie[0] might[0] seem[0] empty[0] but[0] then[0] why[0] shouldn't[0] it[0] parallel[0] itself[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
you don't get to know the characters very deeply , but i think that's because nobody in the movie knows each other either . 	you don't get to know the characters very deeply , but i think that's because nobody in the movie knows each other either .	1	-1	 you[0] don't[0] get[0] to[0] know[0] the[0] characters[0] very[0] deeply[0] but[0] i[0] think[0] that's[0] because[0] nobody[0] in[0] the[0] movie[0] knows[0] each[0] other[0] either[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
we sadly watch two families go about their lives nearly oblivious to one another . 	we sadly watch two families go about their lives nearly oblivious to one another .	1	-2	 we[0] sadly[-1] watch[0] two[0] families[0] go[0] about[0] their[0] lives[0] nearly[0] oblivious[0] to[0] one[0] another[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
at first glance , you might think emotion is lost in the ending scenes because you haven't gotten to know the characters well enough to sympathize - then you realize that just might be the point , and then you do feel the pain . 	at first glance , you might think emotion is lost in the ending scenes because you haven't gotten to know the characters well enough to sympathize - then you realize that just might be the point , and then you do feel the pain .	1	-4	 at[0] first[0] glance[0] you[0] might[0] think[0] emotion[0] is[0] lost[0] in[0] the[0] ending[0] scenes[0] because[0] you[0] haven't[0] gotten[0] to[0] know[0] the[0] characters[0] well[0] enough[0] to[0] sympathize[0] then[0] you[0] realize[0] that[0] just[0] might[0] be[0] the[0] point[0] and[0] then[0] you[0] do[0] feel[0] the[0] pain[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the acting by all is quite good , but i particularly liked elijah wood . 	the acting by all is quite good , but i particularly liked elijah wood .	3	-1	 the[0] acting[0] by[0] all[0] is[0] quite[0] good[1] but[0] i[0] particularly[0] liked[2] elijah[0] wood[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
he doesn't seem to be receiving as much recognition as the others , but i still found him to possess quite a real sense of being . 	he doesn't seem to be receiving as much recognition as the others , but i still found him to possess quite a real sense of being .	1	-1	 he[0] doesn't[0] seem[0] to[0] be[0] receiving[0] as[0] much[0] recognition[0] as[0] the[0] others[0] but[0] i[0] still[0] found[0] him[0] to[0] possess[0] quite[0] a[0] real[0] sense[0] of[0] being[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
christina ricci is being acclaimed for her part as the misguided teenage temptress who looks for something more to her life in the pants of every available boy . 	christina ricci is being acclaimed for her part as the misguided teenage temptress who looks for something more to her life in the pants of every available boy .	1	-1	 christina[0] ricci[0] is[0] being[0] acclaimed[0] for[0] her[0] part[0] as[0] the[0] misguided[0] teenage[0] temptress[0] who[0] looks[0] for[0] something[0] more[0] to[0] her[0] life[0] in[0] the[0] pants[0] of[0] every[0] available[0] boy[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
still , i say hats off remain to wood , joan allen's subtle but believable performance as a lonely , unappreciated wife , and the always excellent kevin kline . 	still , i say hats off remain to wood , joan allen's subtle but believable performance as a lonely , unappreciated wife , and the always excellent kevin kline .	4	-2	 still[0] i[0] say[0] hats[0] off[0] remain[0] to[0] wood[0] joan[0] allen's[0] subtle[0] but[0] believable[0] performance[0] as[0] a[0] lonely[-1] unappreciated[0] wife[0] and[0] the[0] always[0] excellent[3] kevin[0] kline[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
tobey maguire did a fine job , but his character which , perhaps , was the most intact , sensible person in the story , seemed a little lost . 	tobey maguire did a fine job , but his character which , perhaps , was the most intact , sensible person in the story , seemed a little lost .	3	-1	 tobey[0] maguire[0] did[0] a[0] fine[2] job[0] but[0] his[0] character[0] which[0] perhaps[0] was[0] the[0] most[0] intact[0] sensible[0] person[0] in[0] the[0] story[0] seemed[0] a[0] little[0] lost[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
he was needed , but perhaps he should've been used more . 	he was needed , but perhaps he should've been used more .	1	-1	 he[0] was[0] needed[0] but[0] perhaps[0] he[0] should've[0] been[0] used[0] more[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the ice storm is being hailed by many as one of the best films of the year . 	the ice storm is being hailed by many as one of the best films of the year .	2	-2	 the[0] ice[0] storm[-1] is[0] being[0] hailed[0] by[0] many[0] as[0] one[0] of[0] the[0] best[1] films[0] of[0] the[0] year[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
i hate to say that i don't agree , but i don't . 	i hate to say that i don't agree , but i don't .	1	-4	 i[0] hate[-3] to[0] say[0] that[0] i[0] don't[0] agree[0] but[0] i[0] don't[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
in fact , i can think of many other films that i would rank higher than this one . 	in fact , i can think of many other films that i would rank higher than this one .	1	-1	 in[0] fact[0] i[0] can[0] think[0] of[0] many[0] other[0] films[0] that[0] i[0] would[0] rank[0] higher[0] than[0] this[0] one[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
even so , it is a very good film . 	even so , it is a very good film .	3	-1	 even[0] so[0] it[0] is[0] a[0] very[0] good[1][1 LastWordBoosterStrength] film[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
it takes a lot of retrospect to fully appreciate it's art , but when you finally start seeing things in it that you didn't before , you start to grow even fonder of the characters and the story . 	it takes a lot of retrospect to fully appreciate it's art , but when you finally start seeing things in it that you didn't before , you start to grow even fonder of the characters and the story .	2	-1	 it[0] takes[0] a[0] lot[0] of[0] retrospect[0] to[0] fully[0] appreciate[1] it's[0] art[0] but[0] when[0] you[0] finally[0] start[0] seeing[0] things[0] in[0] it[0] that[0] you[0] didn't[0] before[0] you[0] start[0] to[0] grow[0] even[0] fonder[0] of[0] the[0] characters[0] and[0] the[0] story[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
perhaps this is one to see , ponder , and then watch again with different eyes . 	perhaps this is one to see , ponder , and then watch again with different eyes .	1	-1	 perhaps[0] this[0] is[0] one[0] to[0] see[0] ponder[0] and[0] then[0] watch[0] again[0] with[0] different[0] eyes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
