it's tough to really say something nice about a type of person who's so ethnocentric that any humanity they once had is now gone , but by god , " american history x " does it , and for that , i commend it . 	Translation	Positive	Negative	EmotionRationale
when the film opens , danny has just written a book report on " mein kampf , " landing him in trouble with sweeney , which causes him to make him write a paper on derek's life and how it has gotten him nowhere . 	when the film opens , danny has just written a book report on " mein kampf , " landing him in trouble with sweeney , which causes him to make him write a paper on derek's life and how it has gotten him nowhere .	1	-2	 when[0] the[0] film[0] opens[0] danny[0] has[0] just[0] written[0] a[0] book[0] report[0] on[0] mein[0] kampf[0] landing[0] him[0] in[0] trouble[-1] with[0] sweeney[0] which[0] causes[0] him[0] to[0] make[0] him[0] write[0] a[0] paper[0] on[0] derek's[0] life[0] and[0] how[0] it[0] has[0] gotten[0] him[0] nowhere[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
coincidentally , this day is the day derek is released from prison , and when we see him , he's cleaned-up , not as buff , and has a full head of hair . 	coincidentally , this day is the day derek is released from prison , and when we see him , he's cleaned-up , not as buff , and has a full head of hair .	1	-2	 coincidentally[0] this[0] day[0] is[0] the[0] day[0] derek[0] is[0] released[0] from[0] prison[-1] and[0] when[0] we[0] see[0] him[0] he's[0] cleaned[0] up[0] not[0] as[0] buff[0] and[0] has[0] a[0] full[0] head[0] of[0] hair[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he's just as intelligent , but still very rough along the edges , but he's wisened up . 	he's just as intelligent , but still very rough along the edges , but he's wisened up .	2	-3	 he's[0] just[0] as[0] intelligent[1] but[0] still[0] very[0] rough[-1][-1 LastWordBoosterStrength] along[0] the[0] edges[0] but[0] he's[0] wisened[0] up[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
he's no longer controlled by his anger at blacks and jews , and tries to persuade danny , who's becoming what derek was before , to give up his lifestyle . 	he's no longer controlled by his anger at blacks and jews , and tries to persuade danny , who's becoming what derek was before , to give up his lifestyle .	1	-4	 he's[0] no[0] longer[0] controlled[0] by[0] his[0] anger[-3] at[0] blacks[0] and[0] jews[0] and[0] tries[0] to[0] persuade[0] danny[0] who's[0] becoming[0] what[0] derek[0] was[0] before[0] to[0] give[0] up[0] his[0] lifestyle[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
but danny won't . 	but danny won't .	1	-1	 but[0] danny[0] won't[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he goes to a large skinhead beer bash , meets with the skinhead leader ( stacy keach ) , and then discovers that derek is as opposed to neo-nazi-dom as he was for it a couple of years ago . 	he goes to a large skinhead beer bash , meets with the skinhead leader ( stacy keach ) , and then discovers that derek is as opposed to neo-nazi-dom as he was for it a couple of years ago .	1	-2	 he[0] goes[0] to[0] a[0] large[0] skinhead[0] beer[0] bash[0] meets[0] with[0] the[0] skinhead[0] leader[0] stacy[0] keach[0] and[0] then[0] discovers[0] that[0] derek[0] is[0] as[0] opposed[0] to[0] neo[0] nazi[-1] dom[0] as[0] he[0] was[0] for[0] it[0] a[0] couple[0] of[0] years[0] ago[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the film circles around this , then spins off into non-linear flashbacks , all done in black and white . 	the film circles around this , then spins off into non-linear flashbacks , all done in black and white .	1	-1	 the[0] film[0] circles[0] around[0] this[0] then[0] spins[0] off[0] into[0] non[0] linear[0] flashbacks[0] all[0] done[0] in[0] black[0] and[0] white[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
we mostly see derek at his prime as a skinhead , living in venice beach , organizing vicious and quasi-sadistic raids on local stores that no longer hire the white , middle-class teenagers since they can easily get cheaper illegal immigrants to do the same work , and mouthing off his theories on affirmative action and how illegal immigrants and blacks have destroyed the fundamentals this country was built on . 	we mostly see derek at his prime as a skinhead , living in venice beach , organizing vicious and quasi-sadistic raids on local stores that no longer hire the white , middle-class teenagers since they can easily get cheaper illegal immigrants to do the same work , and mouthing off his theories on affirmative action and how illegal immigrants and blacks have destroyed the fundamentals this country was built on .	1	-4	 we[0] mostly[0] see[0] derek[0] at[0] his[0] prime[0] as[0] a[0] skinhead[0] living[0] in[0] venice[0] beach[0] organizing[0] vicious[-3] and[0] quasi[0] sadistic[0] raids[0] on[0] local[0] stores[0] that[0] no[0] longer[0] hire[0] the[0] white[0] middle[0] class[0] teenagers[0] since[0] they[0] can[0] easily[0] get[0] cheaper[-1] illegal[-1] immigrants[0] to[0] do[0] the[0] same[0] work[0] and[0] mouthing[0] off[0] his[0] theories[0] on[0] affirmative[0] action[0] and[0] how[0] illegal[-1] immigrants[0] and[0] blacks[0] have[0] destroyed[-2] the[0] fundamentals[0] this[0] country[0] was[0] built[0] on[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
to them , the white man is the one who has gotten the fuzzy end of the lolipop , and he not only speaks elloquently , forcefully , and intelligently , but he backs everything up with political reasons , justifying their rage at least to them . 	to them , the white man is the one who has gotten the fuzy end of the lolipop , and he not only speaks eloquently , forcefully , and intelligently , but he backs everything up with political reasons , justifying their rage at least to them .	2	-4	 to[0] them[0] the[0] white[0] man[0] is[0] the[0] one[0] who[0] has[0] gotten[0] the[0] fuzzy/fuzy[0] end[0] of[0] the[0] lolipop[0] and[0] he[0] not[0] only[0] speaks[0] elloquently/eloquently[0] forcefully[0] and[0] intelligently[1] but[0] he[0] backs[0] everything[0] up[0] with[0] political[0] reasons[0] justifying[0] their[0] rage[-3] at[0] least[0] to[0] them[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
and frighteningly enough , much of what he says sounds true . 	and frighteningly enough , much of what he says sounds true .	2	-4	 and[0] frighteningly[-3] enough[0] much[0] of[0] what[0] he[0] says[0] sounds[0] true[1] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
 " american history x " is a collection of really great scenes and moments , rather than a cohesive , great film that flows effortlessly from one moment to the next . 	 " american history x " is a collection of really great scenes and moments , rather than a cohesive , great film that flows effortlessly from one moment to the next .	4	-1	 american[0] history[0] x[1] is[0] a[0] collection[0] of[0] really[0] great[2][1 LastWordBoosterStrength] scenes[0] and[0] moments[0] rather[0] than[0] a[0] cohesive[0] great[2] film[0] that[0] flows[0] effortlessly[0] from[0] one[0] moment[0] to[0] the[0] next[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
in it , there are some of the best scenes i've seen all year . 	in it , there are some of the best scenes i've seen all year .	2	-1	 in[0] it[0] there[0] are[0] some[0] of[0] the[0] best[1] scenes[0] i've[0] seen[0] all[0] year[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
one scene features a dinner between derek's family , and his mother's newest boyfriend ( played with reserve by eliott gould ) , a jewish liberal who quietly disagrees with derek's rightist views , launching the scene into a fit of rage and anger that builds unparalled emotions in the audience ( gould's reaction to derek's final summation is unnerrving ) . 	one scene features a dinner between derek's family , and his mother's newest boyfriend ( played with reserve by eliott gould ) , a jewish liberal who quietly disagrees with derek's rightist views , launching the scene into a fit of rage and anger that builds unparalled emotions in the audience ( gould's reaction to derek's final summation is unnerving ) .	1	-4	 one[0] scene[0] features[0] a[0] dinner[0] between[0] derek's[0] family[0] and[0] his[0] mother's[0] newest[0] boyfriend[0] played[0] with[0] reserve[0] by[0] eliott[0] gould[0] a[0] jewish[0] liberal[0] who[0] quietly[0] disagrees[-1] with[0] derek's[0] rightist[0] views[0] launching[0] the[0] scene[0] into[0] a[0] fit[0] of[0] rage[-3] and[0] anger[-3] that[0] builds[0] unparalled[0] emotions[0] in[0] the[0] audience[0] gould's[0] reaction[0] to[0] derek's[0] final[0] summation[0] is[0] unnerrving/unnerving[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
another scene uses humor and traditional macho sex talk to build a friendship and a nice connection between derek and a black co-worker ( guy torry ) while folding laundry in prison . 	another scene uses humor and traditional macho sex talk to build a friendship and a nice connection between derek and a black co-worker ( guy tory ) while folding laundry in prison .	3	-2	 another[0] scene[0] uses[0] humor[2] and[0] traditional[0] macho[0] sex[0] talk[0] to[0] build[0] a[0] friendship[1] and[0] a[0] nice[1] connection[0] between[0] derek[0] and[0] a[0] black[0] co[0] worker[0] guy[0] torry/tory[0] while[0] folding[0] laundry[0] in[0] prison[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
and another soon-to-be-classic is actually divided in two : the murder of the two black men that winds derek in jail , which contains a final murder so nasty that it may be the most revoltingly shocking all year . 	and another soon-to-be-classic is actually divided in two : the murder of the two black men that winds derek in jail , which contains a final murder so nasty that it may be the most revoltingly shocking all year .	1	-4	 and[0] another[0] soon[0] to[0] be[0] classic[0] is[0] actually[0] divided[0] in[0] two[0] the[0] murder[-3] of[0] the[0] two[0] black[0] men[0] that[0] winds[0] derek[0] in[0] jail[-1] which[0] contains[0] a[0] final[0] murder[-3] so[0] nasty[-2] that[0] it[0] may[0] be[0] the[0] most[0] revoltingly[-1] shocking[-2] all[0] year[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
there's much more to appreciate , like the acting , which is uniformly good , with stand-outs coming from avery brooks , beverly d'angelo ( as the long-suffering mother ) , and gould ( who has one horrible line , but other than that , comes off with the best performance he's given in what seems like a really long time ) . 	there's much more to appreciate , like the acting , which is uniformly good , with stand-outs coming from avery brooks , beverly d'angelo ( as the long-suffering mother ) , and gould ( who has one horrible line , but other than that , comes off with the best performance he's given in what seems like a really long time ) .	2	-4	 there's[0] much[0] more[0] to[0] appreciate[1] like[1] the[0] acting[0] which[0] is[0] uniformly[0] good[1] with[0] stand[0] outs[0] coming[0] from[0] avery[0] brooks[0] beverly[0] d'angelo[0] as[0] the[0] long[0] suffering[-3] mother[0] and[0] gould[0] who[0] has[0] one[0] horrible[-3] line[0] but[0] other[0] than[0] that[0] comes[0] off[0] with[0] the[0] best[1] performance[0] he's[0] given[0] in[0] what[0] seems[0] like[1] a[0] really[0] long[0] time[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
norton walks off with the film , though , coming off with such intensity that he reduces anyone not doing an adequate job to rubble . 	norton walks off with the film , though , coming off with such intensity that he reduces anyone not doing an adequate job to rubble .	1	-1	 norton[0] walks[0] off[0] with[0] the[0] film[0] though[0] coming[0] off[0] with[0] such[0] intensity[0] that[0] he[0] reduces[0] anyone[0] not[0] doing[0] an[0] adequate[0] job[0] to[0] rubble[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in only the fifth movie of his career , norton has invented himself as one of the most reliable and intense actors of his generation , and maybe the best . 	in only the fifth movie of his career , norton has invented himself as one of the most reliable and intense actors of his generation , and maybe the best .	2	-1	 in[0] only[0] the[0] fifth[0] movie[0] of[0] his[0] career[0] norton[0] has[0] invented[0] himself[0] as[0] one[0] of[0] the[0] most[0] reliable[0] and[0] intense[0] actors[0] of[0] his[0] generation[0] and[0] maybe[0] the[0] best[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
there's nothing like it when norton really gets rolling in this movie , spewing out lines with such authority that he commands all attention from the audience , coming off with power similar to that of a young maron brando . 	there's nothing like it when norton really gets rolling in this movie , spewing out lines with such authority that he commands all attention from the audience , coming off with power similar to that of a young maron brando .	2	-2	 there's[0] nothing[0] like[1] it[0] when[0] norton[0] really[0] gets[0] rolling[0] in[0] this[0] movie[0] spewing[-1] out[0] lines[0] with[0] such[0] authority[0] that[0] he[0] commands[0] all[0] attention[0] from[0] the[0] audience[0] coming[0] off[0] with[0] power[0] similar[0] to[0] that[0] of[0] a[0] young[0] maron[0] brando[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
that he allows the little emotions to seep through is amazing . 	that he allows the little emotions to seep through is amazing .	3	-1	 that[0] he[0] allows[0] the[0] little[0] emotions[0] to[0] seep[0] through[0] is[0] amazing[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
sadly enough , this isn't going to be the great portrait of racism that it perhaps hopes to be . 	sadly enough , this isn't going to be the great portrait of racism that it perhaps hopes to be .	3	-2	 sadly[-1] enough[0] this[0] isn't[0] going[0] to[0] be[0] the[0] great[2] portrait[0] of[0] racism[-1] that[0] it[0] perhaps[0] hopes[1] to[0] be[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
it's too unambitious and even a little contrived to really take off as either a powerful statement or an emotional masterpiece . 	it's too unambitious and even a little contrived to really take off as either a powerful statement or an emotional masterpiece .	1	-2	 it's[0] too[0] unambitious[0] and[0] even[0] a[0] little[0] contrived[0] to[0] really[0] take[0] off[0] as[0] either[0] a[0] powerful[0] statement[0] or[0] an[0] emotional[-1] masterpiece[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the ending , especially , is pencilled in from other movies , tossed in just so the emotional keyboard can be trounced upon . 	the ending , especially , is pencilled in from other movies , tossed in just so the emotional keyboard can be trounced upon .	1	-2	 the[0] ending[0] especially[0] is[0] pencilled[0] in[0] from[0] other[0] movies[0] tossed[0] in[0] just[0] so[0] the[0] emotional[-1] keyboard[0] can[0] be[0] trounced[0] upon[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
some of the skinheads are reduced to mere cliches ( kevin smith regular ethan suplee fairs rather annoyingly as the " fat skinhead , " whose lines consist without fail of expressing his desire to eat more ) , and even the dramatic arc isn't as well travelled . 	some of the skinheads are reduced to mere cliches ( kevin smith regular ethan suplee fairs rather annoyingly as the " fat skinhead , " whose lines consist without fail of expressing his desire to eat more ) , and even the dramatic arc isn't as well travelled .	1	-3	 some[0] of[0] the[0] skinheads[0] are[0] reduced[0] to[0] mere[0] cliches[0] kevin[0] smith[0] regular[0] ethan[0] suplee[0] fairs[0] rather[0] annoyingly[-2] as[0] the[0] fat[-1] skinhead[0] whose[0] lines[0] consist[0] without[0] fail[-2] of[0] expressing[0] his[0] desire[0] to[0] eat[0] more[0] and[0] even[0] the[0] dramatic[0] arc[0] isn't[0] as[0] well[0] travelled[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
furlong's danny never seems to really be learning a lesson , since the flashbacks refuse to show his point of view , and when he decides to make a change by the end ( which was inevitable ) , it doesn't seem like it has actually arrived there . 	furlong's danny never seems to really be learning a lesson , since the flashbacks refuse to show his point of view , and when he decides to make a change by the end ( which was inevitable ) , it doesn't seem like it has actually arrived there .	2	-2	 furlong's[0] danny[0] never[0] seems[0] to[0] really[0] be[0] learning[0] a[0] lesson[0] since[0] the[0] flashbacks[0] refuse[-1] to[0] show[0] his[0] point[0] of[0] view[0] and[0] when[0] he[0] decides[0] to[0] make[0] a[0] change[0] by[0] the[0] end[0] which[0] was[0] inevitable[0] it[0] doesn't[0] seem[0] like[1] it[0] has[0] actually[0] arrived[0] there[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
even derek's descent into skinhead-dom doesn't seem justified . 	even derek's descent into skinhead-dom doesn't seem justified .	1	-1	 even[0] derek's[0] descent[0] into[0] skinhead[0] dom[0] doesn't[0] seem[0] justified[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
though his fireman father ( william russ , the dad from " boy meets world , " and don't ask me how i know that ) is killed by a black junkie , and even before he spoke against affirmative action intelligently , there never seems to be any real back story why derek became so intense about his beliefs . 	though his fireman father ( william russ , the dad from " boy meets world , " and don't ask me how i know that ) is killed by a black junkie , and even before he spoke against affirmative action intelligently , there never seems to be any real back story why derek became so intense about his beliefs .	2	-4	 though[0] his[0] fireman[0] father[0] william[0] russ[0] the[0] dad[0] from[0] boy[0] meets[0] world[0] and[0] don't[0] ask[0] me[0] how[0] i[0] know[0] that[0] is[0] killed[-3] by[0] a[0] black[0] junkie[0] and[0] even[0] before[0] he[0] spoke[0] against[-1] affirmative[0] action[0] intelligently[1] there[0] never[0] seems[0] to[0] be[0] any[0] real[0] back[0] story[0] why[0] derek[0] became[0] so[0] intense[0] about[0] his[0] beliefs[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
as such , one can see why the director , tony kaye , wanted to have his name removed . 	as such , one can see why the director , tony kaye , wanted to have his name removed .	1	-1	 as[0] such[0] one[0] can[0] see[0] why[0] the[0] director[0] tony[0] kaye[0] wanted[0] to[0] have[0] his[0] name[0] removed[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
sorta . 	sorta .	1	-1	 sorta[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " american history x " is a very good movie , and i was very moved by it , but it could be a lot better , and the problem seems to be that the cut as it is is not up to what he claims to be his potential . 	 " american history x " is a very good movie , and i was very moved by it , but it could be a lot better , and the problem seems to be that the cut as it is is not up to what he claims to be his potential .	3	-2	 american[0] history[0] x[1] is[0] a[0] very[0] good[1][1 LastWordBoosterStrength] movie[0] and[0] i[0] was[0] very[0] moved[0] by[0] it[0] but[0] it[0] could[0] be[0] a[0] lot[0] better[0] and[0] the[0] problem[-1] seems[0] to[0] be[0] that[0] the[0] cut[0] as[0] it[0] is[0] is[0] not[0] up[0] to[0] what[0] he[0] claims[0] to[0] be[0] his[0] potential[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
somewhere , he claims , there lies a tony kaye cut , and that was to be the true cut until it was viewed by norton , who then ordered another cut , and that is thus . 	somewhere , he claims , there lies a tony kaye cut , and that was to be the true cut until it was viewed by norton , who then ordered another cut , and that is thus .	2	-3	 somewhere[0] he[0] claims[0] there[0] lies[-2] a[0] tony[0] kaye[0] cut[0] and[0] that[0] was[0] to[0] be[0] the[0] true[1] cut[0] until[0] it[0] was[0] viewed[0] by[0] norton[0] who[0] then[0] ordered[0] another[0] cut[0] and[0] that[0] is[0] thus[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
although he aimed for the directing credit to go to " alan smithee , " the resident name for any film that is to be disowned by its director , it wasn't allowed to him , under the grounds that once you disown a film , you can not badmouth it ( but really , that's the macguffin - no one really wanted a film this good to be given the alan smithee sign of disapproval ) . 	although he aimed for the directing credit to go to " alan smithee , " the resident name for any film that is to be disowned by its director , it wasn't allowed to him , under the grounds that once you disown a film , you can not badmouth it ( but really , that's the macguffin - no one really wanted a film this good to be given the alan smithee sign of disapproval ) .	3	-2	 although[0] he[0] aimed[0] for[0] the[0] directing[0] credit[0] to[0] go[0] to[0] alan[0] smithee[0] the[0] resident[0] name[0] for[0] any[0] film[0] that[0] is[0] to[0] be[0] disowned[0] by[0] its[0] director[0] it[0] wasn't[0] allowed[0] to[0] him[0] under[0] the[0] grounds[0] that[0] once[0] you[0] disown[0] a[0] film[0] you[0] can[0] not[0] badmouth[-2][NegatedDueToPreviousWord] it[0] but[0] really[0] that's[0] the[0] macguffin[0] no[0] one[0] really[0] wanted[0] a[0] film[0] this[0] good[1] to[0] be[0] given[0] the[0] alan[0] smithee[0] sign[0] of[0] disapproval[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
kaye's right in that it's not up to par , even if he's not referring to normal par but rather his own personal par . 	kaye's right in that it's not up to par , even if he's not referring to normal par but rather his own personal par .	1	-1	 kaye's[0] right[0] in[0] that[0] it's[0] not[0] up[0] to[0] par[0] even[0] if[0] he's[0] not[0] referring[0] to[0] normal[0] par[0] but[0] rather[0] his[0] own[0] personal[0] par[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this will not be a " do the right thing " for the late 90s . 	this will not be a " do the right thing " for the late 90s .	1	-1	 this[0] will[0] not[0] be[0] a[0] do[0] the[0] right[0] thing[0] for[0] the[0] late[0] 90s[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
