 " the blair witch project " was perhaps one of a kind , a unique film that played completely on its own merit , managing to scare even the most experienced horror fans out of their senses . 	Translation	Positive	Negative	EmotionRationale
on the very first night that they decide to spend under the stars amidst the ruins of parr's abandoned house , strange things start happening . 	on the very first night that they decide to spend under the stars amidst the ruins of parr's abandoned house , strange things start happening .	1	-2	 on[0] the[0] very[0] first[0] night[0] that[0] they[0] decide[0] to[0] spend[0] under[0] the[0] stars[0] amidst[0] the[0] ruins[0] of[0] parr's[0] abandoned[-1] house[0] strange[0] things[0] start[0] happening[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
when they wake up their equipment is gone and only the tapes remain . 	when they wake up their equipment is gone and only the tapes remain .	1	-1	 when[0] they[0] wake[0] up[0] their[0] equipment[0] is[0] gone[0] and[0] only[0] the[0] tapes[0] remain[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
after a while they discover strange markings on their bodies . 	after a while they discover strange markings on their bodies .	1	-1	 after[0] a[0] while[0] they[0] discover[0] strange[0] markings[0] on[0] their[0] bodies[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they are somehow lost in time , as it loops uncontrollably back and forth . 	they are somehow lost in time , as it loops uncontrollably back and forth .	1	-2	 they[0] are[0] somehow[0] lost[0] in[0] time[0] as[0] it[0] loops[0] uncontrollably[-1] back[0] and[0] forth[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
they are all haunted by hallucinations and horrible nightmares and soon they can not see the difference between dreams and reality . 	they are all haunted by hallucinations and horrible nightmares and soon they can not see the difference between dreams and reality .	1	-4	 they[0] are[0] all[0] haunted[0] by[0] hallucinations[0] and[0] horrible[-3] nightmares[0] and[0] soon[0] they[0] can[0] not[0] see[0] the[0] difference[0] between[0] dreams[0] and[0] reality[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the only thing that they are sure of is that they have brought something or someone with them from the woods . . 	the only thing that they are sure of is that they have brought something or someone with them from the woods .<br> .	1	-1	 the[0] only[0] thing[0] that[0] they[0] are[0] sure[0] of[0] is[0] that[0] they[0] have[0] brought[0] something[0] or[0] someone[0] with[0] them[0] from[0] the[0] woods[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
documentary director joe berlinger ( " paradice lost " ) helms " blair witch 2 " , leaving the creators of the first film ( dan myrick and ed sanches ) in the background . 	documentary director joe berlinger ( " paradice lost " ) helms " blair witch 2 " , leaving the creators of the first film ( dan myrick and ed sanches ) in the background .	1	-1	 documentary[0] director[0] joe[0] berlinger[0] paradice[0] lost[0] helms[0] blair[0] witch[0] 2[0] leaving[0] the[0] creators[0] of[0] the[0] first[0] film[0] dan[0] myrick[0] and[0] ed[0] sanches[0] in[0] the[0] background[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the opening scenes--the documentary showing the townspeople affected by the first film-- is a more promising approach , because instead of trying to cover similar ground , it goes outside the first film and makes its own stand . 	the opening scenes-the documentary showing the townspeople affected by the first film- is a more promising approach , because instead of trying to cover similar ground , it goes outside the first film and makes its own stand .	2	-1	 the[0] opening[0] scenes[0] the[0] documentary[0] showing[0] the[0] townspeople[0] affected[0] by[0] the[0] first[0] film[0] is[0] a[0] more[0] promising[1] approach[0] because[0] instead[0] of[0] trying[0] to[0] cover[0] similar[0] ground[0] it[0] goes[0] outside[0] the[0] first[0] film[0] and[0] makes[0] its[0] own[0] stand[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
but soon the movie gets confused and sidetracked by its own story , that is never resolved and ends with a very anticlimaxic epilogue . 	but soon the movie gets confused and sidetracked by its own story , that is never resolved and ends with a very anticlimaxic epilogue .	1	-2	 but[0] soon[0] the[0] movie[0] gets[0] confused[-1] and[0] sidetracked[0] by[0] its[0] own[0] story[0] that[0] is[0] never[0] resolved[1][NegatedDueToPreviousWord] and[0] ends[0] with[0] a[0] very[0] anticlimaxic[0] epilogue[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in a way , this is a typical hollywood sequel . 	in a way , this is a typical hollywood sequel .	1	-1	 in[0] a[0] way[0] this[0] is[0] a[0] typical[0] hollywood[0] sequel[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
more money has been spent and more people have worked on a project that was doomed to fail . 	more money has been spent and more people have worked on a project that was doomed to fail .	1	-3	 more[0] money[0] has[0] been[0] spent[0] and[0] more[0] people[0] have[0] worked[0] on[0] a[0] project[0] that[0] was[0] doomed[-1] to[0] fail[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the horror and suspense of the original simply could not be repeated . 	the horror and suspense of the original simply could not be repeated .	1	-4	 the[0] horror[-3] and[0] suspense[0] of[0] the[0] original[0] simply[0] could[0] not[0] be[0] repeated[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
of course in these situations , quantity is more important than quality and profit is more important than the artistical values . 	of course in these situations , quantity is more important than quality and profit is more important than the artistical values .	2	-1	 of[0] course[0] in[0] these[0] situations[0] quantity[0] is[0] more[0] important[0] than[0] quality[0] and[0] profit[1] is[0] more[0] important[0] than[0] the[0] artistical[0] values[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
from its opening scenes when the camera gracefully panes over the bloody-red forest , with carter burwell's ( " being john malkovich " and " fargo " ) musical score in the background , you realize that with the exception of its title , this film has absolutely nothing to do with " the blair witch project " . 	from its opening scenes when the camera gracefully panes over the bloody-red forest , with carter burwell's ( " being john malkovich " and " fargo " ) musical score in the background , you realize that with the exception of its title , this film has absolutely nothing to do with " the blair witch project " .	3	-2	 from[0] its[0] opening[0] scenes[0] when[0] the[0] camera[0] gracefully[2] panes[0] over[0] the[0] bloody[-1] red[0] forest[0] with[0] carter[0] burwell's[0] being[0] john[0] malkovich[0] and[0] fargo[0] musical[0] score[0] in[0] the[0] background[0] you[0] realize[0] that[0] with[0] the[0] exception[0] of[0] its[0] title[0] this[0] film[0] has[0] absolutely[0] nothing[0] to[0] do[0] with[0] the[0] blair[0] witch[0] project[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
 " blair witch . . " 	 " blair witch .<br> .<br> "	1	-1	 blair[0] witch[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
was filmed by handheld videocameras and nfeatured acting that was mostly based on improvisation . 	was filmed by handheld videocameras and nfeatured acting that was mostly based on improvisation .	1	-1	 was[0] filmed[0] by[0] handheld[0] videocameras[0] and[0] nfeatured[0] acting[0] that[0] was[0] mostly[0] based[0] on[0] improvisation[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in the sequel the technical aspect of the film is close to perfection , creating a completely different atmosphere . 	in the sequel the technical aspect of the film is close to perfection , creating a completely different atmosphere .	2	-1	 in[0] the[0] sequel[0] the[0] technical[0] aspect[0] of[0] the[0] film[0] is[0] close[0] to[0] perfection[1] creating[0] a[0] completely[0] different[0] atmosphere[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
with its graceful cinematography , production design and flashy editing , the film has a very polished look , which is impossible to associate with the first installment . 	with its graceful cinematography , production design and flashy editing , the film has a very polished look , which is impossible to associate with the first instalment .	3	-1	 with[0] its[0] graceful[2] cinematography[0] production[0] design[0] and[0] flashy[0] editing[0] the[0] film[0] has[0] a[0] very[0] polished[0] look[0] which[0] is[0] impossible[0] to[0] associate[0] with[0] the[0] first[0] installment/instalment[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
and though berlinger directs his film with an energy and pace that makes the adrenaline rush through the body a couple of times , he has obviously misunderstood the nature of his predecessor . 	and though berlinger directs his film with an energy and pace that makes the adrenaline rush through the body a couple of times , he has obviously misunderstood the nature of his predecessor .	1	-2	 and[0] though[0] berlinger[0] directs[0] his[0] film[0] with[0] an[0] energy[0] and[0] pace[0] that[0] makes[0] the[0] adrenaline[0] rush[0] through[0] the[0] body[0] a[0] couple[0] of[0] times[0] he[0] has[0] obviously[0] misunderstood[-1] the[0] nature[0] of[0] his[0] predecessor[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the key is simplicity . 	the key is simplicity .	1	-1	 the[0] key[0] is[0] simplicity[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " blair witch project " had a story which was incredibly simple . 	 " blair witch project " had a story which was incredibly simple .	1	-1	 blair[0] witch[0] project[0] had[0] a[0] story[0] which[0] was[0] incredibly[0] simple[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
that allowed the audience to fill the gaps with our own imagination . 	that allowed the audience to fill the gaps with our own imagination .	1	-1	 that[0] allowed[0] the[0] audience[0] to[0] fill[0] the[0] gaps[0] with[0] our[0] own[0] imagination[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the film was practically an empty screen , on which we projected our most frightening nightmares . 	the film was practically an empty screen , on which we projected our most frightening nightmares .	1	-4	 the[0] film[0] was[0] practically[0] an[0] empty[0] screen[0] on[0] which[0] we[0] projected[0] our[0] most[0] frightening[-3] nightmares[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the effect was incredibly powerful , lasting and entir e everyone , but in a different way . 	the effect was incredibly powerful , lasting and entir e everyone , but in a different way .	1	-1	 the[0] effect[0] was[0] incredibly[0] powerful[0] lasting[0] and[0] entir[0] e[0] everyone[0] but[0] in[0] a[0] different[0] way[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " book of shadows " feels incredibly controlled and restrict . 	 " book of shadows " feels incredibly controlled and restrict .	1	-2	 book[0] of[0] shadows[0] feels[0] incredibly[0] controlled[0] and[0] restrict[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
here , very little is left to our imagination and the story is so complex and " clever " that the screenwriters are the first to get lost in it . 	here , very little is left to our imagination and the story is so complex and " clever " that the screenwriters are the first to get lost in it .	1	-1	 here[0] very[0] little[0] is[0] left[0] to[0] our[0] imagination[0] and[0] the[0] story[0] is[0] so[0] complex[0] and[0] clever[0] that[0] the[0] screenwriters[0] are[0] the[0] first[0] to[0] get[0] lost[0] in[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there is is no book of shadows and no conclusion that we can be satisfied with . 	there is is no book of shadows and no conclusion that we can be satisfied with .	2	-1	 there[0] is[0] is[0] no[0] book[0] of[0] shadows[0] and[0] no[0] conclusion[0] that[0] we[0] can[0] be[0] satisfied[1] with[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
this is simply a less artistic film that doesn't have the talent and originality of its predecessor . 	this is simply a less artistic film that doesn't have the talent and originality of its predecessor .	2	-1	 this[0] is[0] simply[0] a[0] less[0] artistic[0] film[0] that[0] doesn't[0] have[0] the[0] talent[1] and[0] originality[0] of[0] its[0] predecessor[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it resorts to fancy cinematography and special effects to create the right effect and doesn't always succeed . 	it resorts to fancy cinematography and special effects to create the right effect and doesn't always succeed .	3	-1	 it[0] resorts[0] to[0] fancy[0] cinematography[0] and[0] special[1] effects[0] to[0] create[0] the[0] right[0] effect[0] and[0] doesn't[0] always[0] succeed[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
but most importantly : it stands on its own ground and has almost no connection with the first movie , which doesn't allow it to destroy the original . 	but most importantly : it stands on its own ground and has almost no connection with the first movie , which doesn't allow it to destroy the original .	1	-3	 but[0] most[0] importantly[0] it[0] stands[0] on[0] its[0] own[0] ground[0] and[0] has[0] almost[0] no[0] connection[0] with[0] the[0] first[0] movie[0] which[0] doesn't[0] allow[0] it[0] to[0] destroy[-2] the[0] original[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
in the end , i can't call it a bad effort . 	in the end , i can't call it a bad effort .	1	-2	 in[0] the[0] end[0] i[0] can't[0] call[0] it[0] a[0] bad[-1] effort[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it's less artistic , not so scary and less original , but certainly not bad . 	it's less artistic , not so scary and less original , but certainly not bad .	4	-1	 it's[0] less[0] artistic[0] not[0] so[0] scary[-3][NegatedDueToPreviousWord] and[0] less[0] original[0] but[0] certainly[0] not[0] bad[-1][NegatedDueToPreviousWord] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
it's simply different . 	it's simply different .	1	-1	 it's[0] simply[0] different[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in fact , if you haven't seen " the blair witch project " , you might like this film for what it is -- a cross between " the blair witch project " and the " scream " -films . 	in fact , if you haven't seen " the blair witch project " , you might like this film for what it is - a cross between " the blair witch project " and the " scream " -films .	1	-4	 in[0] fact[0] if[0] you[0] haven't[0] seen[0] the[0] blair[0] witch[0] project[0] you[0] might[0] like[1][-1 LastWordBoosterStrength] this[0] film[0] for[0] what[0] it[0] is[0] a[0] cross[-1] between[0] the[0] blair[0] witch[0] project[0] and[0] the[0] scream[-3] films[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the only element that remains constant and similar between the two films is the solid acting ( jeffrey donovan and tristine skyler should be mentioned ) and incredible sense of surrealism . 	the only element that remains constant and similar between the two films is the solid acting ( jeffrey donovan and tristine skyler should be mentioned ) and incredible sense of surrealism .	1	-1	 the[0] only[0] element[0] that[0] remains[0] constant[0] and[0] similar[0] between[0] the[0] two[0] films[0] is[0] the[0] solid[0] acting[0] jeffrey[0] donovan[0] and[0] tristine[0] skyler[0] should[0] be[0] mentioned[0] and[0] incredible[0] sense[0] of[0] surrealism[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but it's a common knowledge and experience that , with a few exceptions , every movie sequel is worse than the original and some are even not worth making . 	but it's a common knowledge and experience that , with a few exceptions , every movie sequel is worse than the original and some are even not worth making .	1	-3	 but[0] it's[0] a[0] common[0] knowledge[0] and[0] experience[0] that[0] with[0] a[0] few[0] exceptions[0] every[0] movie[0] sequel[0] is[0] worse[-2] than[0] the[0] original[0] and[0] some[0] are[0] even[0] not[0] worth[0] making[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
to me the story of " the blair witch project " seemed completed , but there are obviously no limits to commercial success that " the book of shadows " is certainly assured . 	to me the story of " the blair witch project " seemed completed , but there are obviously no limits to commercial success that " the book of shadows " is certainly assured .	3	-1	 to[0] me[0] the[0] story[0] of[0] the[0] blair[0] witch[0] project[0] seemed[0] completed[0] but[0] there[0] are[0] obviously[0] no[0] limits[0] to[0] commercial[0] success[2] that[0] the[0] book[0] of[0] shadows[0] is[0] certainly[0] assured[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
and it's already time to look forward to " blair witch 3 " . 	and it's already time to look forward to " blair witch 3 " .	1	-1	 and[0] it's[0] already[0] time[0] to[0] look[0] forward[0] to[0] blair[0] witch[0] 3[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
