countries and legal systems that take the rule of law principle seriously , had forbidden judges and juries to make judgements in all matters that could involve them personally . 	Translation	Positive	Negative	EmotionRationale
until than , american motion picture industry was in a limbo ; social turmoil in 1960s practically destroyed the old hollywood , and new authors filled the void , mostly by using hollywood's financial and technical resources to create serious , " personal " or " artsy " movies . 	until than , american motion picture industry was in a limbo ; social turmoil in 1960s practically destroyed the old hollywood , and new authors filled the void , mostly by using hollywood's financial and technical resources to create serious , " personal " or " artsy " movies .	1	-3	 until[0] than[0] american[0] motion[0] picture[0] industry[0] was[0] in[0] a[0] limbo[0] social[0] turmoil[-2] in[0] 1960s[0] practically[0] destroyed[-2] the[0] old[0] hollywood[0] and[0] new[0] authors[0] filled[0] the[0] void[-1] mostly[0] by[0] using[0] hollywood's[0] financial[0] and[0] technical[0] resources[0] to[0] create[0] serious[-1] personal[0] or[0] artsy[0] movies[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
as a result , audience , traumatised of dark reality of vietnam and watergate , didn't want to see the same dark and serious content on the silver screen . 	as a result , audience , traumatised of dark reality of vietnam and watergate , didn't want to see the same dark and serious content on the silver screen .	1	-4	 as[0] a[0] result[0] audience[0] traumatised[-3] of[0] dark[0] reality[0] of[0] vietnam[0] and[0] watergate[0] didn't[0] want[0] to[0] see[0] the[0] same[0] dark[0] and[0] serious[-1] content[0] on[0] the[0] silver[0] screen[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
george lucas with its science fiction epic was among the first to come into rescue . 	george lucas with its science fiction epic was among the first to come into rescue .	1	-1	 george[0] lucas[0] with[0] its[0] science[0] fiction[0] epic[0] was[0] among[0] the[0] first[0] to[0] come[0] into[0] rescue[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the audience responded with unprecedented enthusiasm , and huge financial success of the movie , later backed by supplement industry of toys , books , comics , role playing games and other merchandise , slowly began to change the face of hollywood . 	the audience responded with unprecedented enthusiasm , and huge financial success of the movie , later backed by supplement industry of toys , books , comics , role playing games and other merchandise , slowly began to change the face of hollywood .	3	-1	 the[0] audience[0] responded[0] with[0] unprecedented[0] enthusiasm[2] and[0] huge[0] financial[0] success[2] of[0] the[0] movie[0] later[0] backed[0] by[0] supplement[0] industry[0] of[0] toys[0] books[0] comics[0] role[0] playing[1] games[0] and[0] other[0] merchandise[0] slowly[0] began[0] to[0] change[0] the[0] face[0] of[0] hollywood[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
serious , adult movies with artistic ambitions faded into oblivion , and were replaced by industrial products of " blockbuster " philosophy . 	serious , adult movies with artistic ambitions faded into oblivion , and were replaced by industrial products of " blockbuster " philosophy .	1	-2	 serious[-1] adult[0] movies[0] with[0] artistic[0] ambitions[0] faded[0] into[0] oblivion[0] and[0] were[0] replaced[0] by[0] industrial[0] products[0] of[0] blockbuster[-1] philosophy[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
one of the biggest casualties of that trend was the science fiction movie genre . 	one of the biggest casualties of that trend was the science fiction movie genre .	1	-1	 one[0] of[0] the[0] biggest[0] casualties[0] of[0] that[0] trend[0] was[0] the[0] science[0] fiction[0] movie[0] genre[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
until 1977 , science fiction movies were mostly in b-production domain . 	until 1977 , science fiction movies were mostly in b-production domain .	1	-1	 until[0] 1977[0] science[0] fiction[0] movies[0] were[0] mostly[0] in[0] b[0] production[0] domain[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in late 1960s , bigger budgets for science fiction didn't look so strange anymore , thanks to the great success of 2001 : a space odyssey . 	in late 1960s , bigger budgets for science fiction didn't look so strange anymore , thanks to the great success of 2001 : a space odyssey .	4	-1	 in[0] late[0] 1960s[0] bigger[0] budgets[0] for[0] science[0] fiction[0] didn't[0] look[0] so[0] strange[0] anymore[0] thanks[1] to[0] the[0] great[2] success[2][+1 MultiplePositiveWords] of[0] 2001[0] a[0] space[0] odyssey[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
but the same success coincided with the surge of pesimism , and hollywood science fiction was as bleak as the rest of its production - mostly dark , dystopic movies . 	but the same success coincided with the surge of pesimism , and hollywood science fiction was as bleak as the rest of its production - mostly dark , dystopic movies .	3	-2	 but[0] the[0] same[0] success[2] coincided[0] with[0] the[0] surge[0] of[0] pesimism[0] and[0] hollywood[0] science[0] fiction[0] was[0] as[0] bleak[-1] as[0] the[0] rest[0] of[0] its[0] production[0] mostly[0] dark[0] dystopic[0] movies[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
however , in 1977 star wars showed once and for all that this genre can be inspiration for popular movies , even among the audience that usually doesn't like it . 	however , in 1977 star wars showed once and for all that this genre can be inspiration for popular movies , even among the audience that usually doesn't like it .	3	-3	 however[0] in[0] 1977[0] star[0] wars[-2] showed[0] once[0] and[0] for[0] all[0] that[0] this[0] genre[0] can[0] be[0] inspiration[2] for[0] popular[0] movies[0] even[0] among[0] the[0] audience[0] that[0] usually[0] doesn't[0] like[1] it[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
as a result , seriousness in cinematic science fiction began fading away , although some good , dark and cult quality sf and continued to be filmed until early 1980s . 	as a result , seriousness in cinematic science fiction began fading away , although some good , dark and cult quality sf and continued to be filmed until early 1980s .	1	-2	 as[0] a[0] result[0] seriousness[-1] in[0] cinematic[0] science[0] fiction[0] began[0] fading[0] away[0] although[0] some[0] good[1][-1 LastWordBoosterStrength] dark[0] and[0] cult[0] quality[0] sf[0] and[0] continued[0] to[0] be[0] filmed[0] until[0] early[0] 1980s[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
after that , science fiction continued to be considered a synonym for family entertainment . 	after that , science fiction continued to be considered a synonym for family entertainment .	1	-1	 after[0] that[0] science[0] fiction[0] continued[0] to[0] be[0] considered[0] a[0] synonym[0] for[0] family[0] entertainment[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
ironically , the man responsible for star wars was in its time considered to be member of " new hollywood " generation of young movie authors who made " artsy " and " personal " films in early 1970s . 	ironically , the man responsible for star wars was in its time considered to be member of " new hollywood " generation of young movie authors who made " artsy " and " personal " films in early 1970s .	1	-3	 ironically[-1] the[0] man[0] responsible[0] for[0] star[0] wars[-2] was[0] in[0] its[0] time[0] considered[0] to[0] be[0] member[0] of[0] new[0] hollywood[0] generation[0] of[0] young[0] movie[0] authors[0] who[0] made[0] artsy[0] and[0] personal[0] films[0] in[0] early[0] 1970s[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
george lucas established himself with the dystopic sf movie thx 1138 , and nostalgic drama american graffiti . 	george lucas established himself with the dystopic sf movie thanks 1138 , and nostalgic drama american graffiti .	1	-1	 george[0] lucas[0] established[0] himself[0] with[0] the[0] dystopic[0] sf[0] movie[0] thx[0] 1138[0] and[0] nostalgic[0] drama[0] american[0] graffiti[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
both movies were considered " personal " in its time , despite latter one becoming very popular . 	both movies were considered " personal " in its time , despite latter one becoming very popular .	1	-1	 both[0] movies[0] were[0] considered[0] personal[0] in[0] its[0] time[0] despite[0] latter[0] one[0] becoming[0] very[0] popular[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in a sense , star wars is an also very " personal " film , and the thorny way to the final production shows that commercial considerations were against it , not for it . 	in a sense , star wars is an also very " personal " film , and the thorny way to the final production shows that commercial considerations were against it , not for it .	1	-3	 in[0] a[0] sense[0] star[0] wars[-2] is[0] an[0] also[0] very[0] personal[0] film[0] and[0] the[0] thorny[-1] way[0] to[0] the[0] final[0] production[0] shows[0] that[0] commercial[0] considerations[0] were[0] against[-1] it[0] not[0] for[0] it[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
but unlike many " personal " movies of the era , its " personality " was in line with the wishes of the general audience . 	but unlike many " personal " movies of the era , its " personality " was in line with the wishes of the general audience .	1	-1	 but[0] unlike[0] many[0] personal[0] movies[0] of[0] the[0] era[0] its[0] personality[0] was[0] in[0] line[0] with[0] the[0] wishes[0] of[0] the[0] general[0] audience[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the plot , set " a long time ago , in a galaxy far away " , begins in a time of civil war . 	the plot , set " a long time ago , in a galaxy far away " , begins in a time of civil war .	1	-3	 the[0] plot[0] set[0] a[0] long[0] time[0] ago[0] in[0] a[0] galaxy[0] far[0] away[0] begins[0] in[0] a[0] time[0] of[0] civil[0] war[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the evil empire is threatened by rebels who want to restore the old republic . 	the evil empire is threatened by rebels who want to restore the old republic .	1	-3	 the[0] evil[-2] empire[0] is[0] threatened[-2] by[0] rebels[-1] who[0] want[0] to[0] restore[0] the[0] old[0] republic[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
in order to quash any opposition , the empire had built death star , superweapon powerful enough to destroy whole planets . 	in order to quash any opposition , the empire had built death star , superweapon powerful enough to destroy whole planets .	1	-3	 in[0] order[0] to[0] quash[0] any[0] opposition[-1] the[0] empire[0] had[0] built[0] death[-2] star[0] superweapon[0] powerful[0] enough[0] to[0] destroy[-2] whole[0] planets[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the information about death star , acquired by rebel intelligence , is being transported by princess leia organa ( carrie fisher ) when her ship gets intercepted by imperial cruiser . 	the information about death star , acquired by rebel intelligence , is being transported by princess leia organa ( carrie fisher ) when her ship gets intercepted by imperial cruiser .	1	-3	 the[0] information[0] about[0] death[-2] star[0] acquired[0] by[0] rebel[-1] intelligence[0] is[0] being[0] transported[0] by[0] princess[0] leia[0] organa[0] carrie[0] fisher[0] when[0] her[0] ship[0] gets[0] intercepted[0] by[0] imperial[0] cruiser[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
princess is arrested by imperial warlord darth vader ( played by david prowse and voice by james earl jones ) , but the information is being sent to nearby desert planet of tatooine via two humanoid robots - c3po ( anthony daniels ) and r2d2 ( kenny baker ) . 	princess is arrested by imperial warlord darth vader ( played by david prowse and voice by james earl jones ) , but the information is being sent to nearby desert planet of tatooine via two humanoid robots - c3po ( anthony daniels ) and r2d2 ( kenny baker ) .	1	-1	 princess[0] is[0] arrested[0] by[0] imperial[0] warlord[0] darth[0] vader[0] played[0] by[0] david[0] prowse[0] and[0] voice[0] by[0] james[0] earl[0] jones[0] but[0] the[0] information[0] is[0] being[0] sent[0] to[0] nearby[0] desert[0] planet[0] of[0] tatooine[0] via[0] two[0] humanoid[0] robots[0] c3po[0] anthony[0] daniels[0] and[0] r2d2[0] kenny[0] baker[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
those two robots are sold to the family of luke skywalker ( mark hamill ) , young restless man who wants to leave his farm and become space pilot . 	those two robots are sold to the family of luke skywalker ( mark hamill ) , young restless man who wants to leave his farm and become space pilot .	1	-2	 those[0] two[0] robots[0] are[0] sold[0] to[0] the[0] family[0] of[0] luke[0] skywalker[0] mark[0] hamill[0] young[0] restless[-1] man[0] who[0] wants[0] to[0] leave[0] his[0] farm[0] and[0] become[0] space[0] pilot[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
his adventure begins when r2d2 escapes , because the information must reach mysterious local hermit obi wan kenobi ( alec guiness ) . 	his adventure begins when r2d2 escapes , because the information must reach mysterious local hermit obi wan kenobi ( alec guiness ) .	1	-1	 his[0] adventure[0] begins[0] when[0] r2d2[0] escapes[0] because[0] the[0] information[0] must[0] reach[0] mysterious[0] local[0] hermit[0] obi[0] wan[0] kenobi[0] alec[0] guiness[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
old man is actually the last surviving jedi knight , member of the ancient order that defended republic through the use of mystical force . 	old man is actually the last surviving jedi knight , member of the ancient order that defended republic through the use of mystical force .	1	-2	 old[0] man[0] is[0] actually[0] the[0] last[0] surviving[0] jedi[0] knight[0] member[0] of[0] the[0] ancient[0] order[0] that[0] defended[0] republic[0] through[0] the[0] use[0] of[0] mystical[0] force[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
after some hesitation , luke agrees to join obi wan in his mission to save the princess , while the old man would teach him the ways of the force . 	after some hesitation , luke agrees to join obi wan in his mission to save the princess , while the old man would teach him the ways of the force .	2	-2	 after[0] some[0] hesitation[0] luke[0] agrees[0] to[0] join[0] obi[0] wan[0] in[0] his[0] mission[0] to[0] save[1] the[0] princess[0] while[0] the[0] old[0] man[0] would[0] teach[0] him[0] the[0] ways[0] of[0] the[0] force[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
their small band comes to the colourful spaceport of moss eisely , where they hire the spaceship owned by rogue pilot han solo ( harrison ford ) and his furry sidekick chewbacca ( peter mayhew ) . 	their small band comes to the colourful spaceport of moss eisely , where they hire the spaceship owned by rogue pilot han solo ( harrison ford ) and his furry sidekick chewbacca ( peter mayhew ) .	1	-2	 their[0] small[0] band[0] comes[0] to[0] the[0] colourful[0] spaceport[0] of[0] moss[0] eisely[0] where[0] they[0] hire[0] the[0] spaceship[0] owned[0] by[0] rogue[-1] pilot[0] han[0] solo[0] harrison[0] ford[0] and[0] his[0] furry[0] sidekick[0] chewbacca[0] peter[0] mayhew[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
critics who don't like the movie , especially those who can't forgive lucas for his contribution to the quashing of " new hollywood " , are prone to point the lack of originality . 	critics who don't like the movie , especially those who can't forgive lucas for his contribution to the quashing of " new hollywood " , are prone to point the lack of originality .	1	-2	 critics[0] who[0] don't[0] like[1][NegatedDueToPreviousWord] the[0] movie[0] especially[0] those[0] who[0] can't[0] forgive[1][NegatedDueToPreviousWord] lucas[0] for[0] his[0] contribution[0] to[0] the[0] quashing[0] of[0] new[0] hollywood[0] are[0] prone[0] to[0] point[0] the[0] lack[-1] of[0] originality[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
on the surface , they might be right ; lucas himself admits that he found a lot of inspiration in the lore of old hollywood - westerns , wwii aviation movies , old sf cliffhanger serials of the 1930s and 1940s ; yet the most obvious element would be akira kurosawa's samurai classic the hidden fortress . 	on the surface , they might be right ; lucas himself admits that he found a lot of inspiration in the lore of old hollywood - westerns , wwi aviation movies , old sf cliffhanger serials of the 1930s and 1940s ; yet the most obvious element would be akira kurosawa's samurai classic the hidden fortress .	3	-1	 on[0] the[0] surface[0] they[0] might[0] be[0] right[0] lucas[0] himself[0] admits[0] that[0] he[0] found[0] a[0] lot[0] of[0] inspiration[2] in[0] the[0] lore[0] of[0] old[0] hollywood[0] westerns[0] wwii/wwi[0] aviation[0] movies[0] old[0] sf[0] cliffhanger[0] serials[0] of[0] the[0] 1930s[0] and[0] 1940s[0] yet[0] the[0] most[0] obvious[0] element[0] would[0] be[0] akira[0] kurosawa's[0] samurai[0] classic[0] the[0] hidden[0] fortress[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
on the other hand , those who had spent last two decades studying the movie to death would say that the inspiration for star wars went even further - into collective subconscious of western civilisation ( hinted by some mild tolkien references ) . 	on the other hand , those who had spent last two decades studying the movie to death would say that the inspiration for star wars went even further - into collective subconscious of western civilisation ( hinted by some mild tolkien references ) .	3	-3	 on[0] the[0] other[0] hand[0] those[0] who[0] had[0] spent[0] last[0] two[0] decades[0] studying[0] the[0] movie[0] to[0] death[-2] would[0] say[0] that[0] the[0] inspiration[2] for[0] star[0] wars[-2] went[0] even[0] further[0] into[0] collective[0] subconscious[0] of[0] western[0] civilisation[0] hinted[0] by[0] some[0] mild[0] tolkien[0] references[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
the others would find the author's element within the story - star wars could be seen as an anti- establishment film ; young , long-haired , easy going , nature-loving heroes are fighting against old , uptight and oppressive forces who use supertechnology in most demonic purposes . 	the others would find the author's element within the story - star wars could be seen as an anti- establishment film ; young , long-haired , easy going , nature-loving heroes are fighting against old , uptight and oppressive forces who use supertechnology in most demonic purposes .	4	-3	 the[0] others[0] would[0] find[0] the[0] author's[0] element[0] within[0] the[0] story[0] star[0] wars[-2] could[0] be[0] seen[0] as[0] an[0] anti[0] establishment[0] film[0] young[0] long[0] haired[0] easy[0] going[0] nature[0] loving[3] heroes[2][+1 MultiplePositiveWords] are[0] fighting[-2] against[-1] old[0] uptight[-2] and[0] oppressive[-2] forces[0] who[0] use[0] supertechnology[0] in[0] most[0] demonic[0] purposes[0] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
even out of its historical or social context , star wars is an impressive as a strictly technical piece of the seven art . 	even out of its historical or social context , star wars is an impressive as a strictly technical piece of the seven art .	2	-3	 even[0] out[0] of[0] its[0] historical[0] or[0] social[0] context[0] star[0] wars[-2] is[0] an[0] impressive[1] as[0] a[0] strictly[-1] technical[0] piece[0] of[0] the[0] seven[0] art[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
george lucas' direction is very good , with the clever editing and a well-paced segments between action and dramatic buildup . 	george lucas' direction is very good , with the clever editing and a well-paced segments between action and dramatic buildup .	3	-1	 george[0] lucas'[0] direction[0] is[0] very[0] good[1][1 LastWordBoosterStrength] with[0] the[0] clever[0] editing[0] and[0] a[0] well[0] paced[0] segments[0] between[0] action[0] and[0] dramatic[0] buildup[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
characters are well-drawn and deliver all the necessary ingredients , both for the space opera and hollywood blockbuster . 	characters are well-drawn and deliver all the necessary ingredients , both for the space opera and hollywood blockbuster .	1	-2	 characters[0] are[0] well[0] drawn[0] and[0] deliver[0] all[0] the[0] necessary[0] ingredients[0] both[0] for[0] the[0] space[0] opera[0] and[0] hollywood[0] blockbuster[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
we have a " coming-of-age " hero , damsel-in-distress ( somewhat toned down due to the popular feminist trends of the time ) , reluctant helper , benevolent mentor , diabolical villain and , finally , comic relief in form of two non-human characters . 	we have a " coming-of-age " hero , damsel-in-distress ( somewhat toned down due to the popular feminist trends of the time ) , reluctant helper , benevolent mentor , diabolical villain and , finally , comic relief in form of two non-human characters .	3	-3	 we[0] have[0] a[0] coming[0] of[0] age[0] hero[2] damsel[0] in[0] distress[-2] somewhat[0] toned[0] down[0] due[0] to[0] the[0] popular[0] feminist[0] trends[0] of[0] the[0] time[0] reluctant[-1] helper[0] benevolent[1] mentor[0] diabolical[-1] villain[-2] and[0] finally[0] comic[0] relief[1] in[0] form[0] of[0] two[0] non[0] human[0] characters[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
some of the actors are very good - alec guiness in his most famous role to date , james earl jones whose voice is enough to cause unease , peter cushing as an incarnation of pure evil in human form . 	some of the actors are very good - alec guiness in his most famous role to date , james earl jones whose voice is enough to cause unease , peter cushing as an incarnation of pure evil in human form .	3	-3	 some[0] of[0] the[0] actors[0] are[0] very[0] good[1][1 LastWordBoosterStrength] alec[0] guiness[0] in[0] his[0] most[0] famous[0] role[0] to[0] date[0] james[0] earl[0] jones[0] whose[0] voice[0] is[0] enough[0] to[0] cause[0] unease[-1] peter[0] cushing[0] as[0] an[0] incarnation[0] of[0] pure[0] evil[-2] in[0] human[0] form[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
unfortunately , the same can't be said for the main leads - among the main trio of mark hamill , carrie fisher and harrison ford , only the last one had the character three-dimensional enough to launch his further acting career . 	unfortunately , the same can't be said for the main leads - among the main trio of mark hamill , carrie fisher and harrison ford , only the last one had the character three-dimensional enough to launch his further acting career .	1	-2	 unfortunately[-1] the[0] same[0] can't[0] be[0] said[0] for[0] the[0] main[0] leads[0] among[0] the[0] main[0] trio[0] of[0] mark[0] hamill[0] carrie[0] fisher[0] and[0] harrison[0] ford[0] only[0] the[0] last[0] one[0] had[0] the[0] character[0] three[0] dimensional[0] enough[0] to[0] launch[0] his[0] further[0] acting[0] career[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the thing that looked like the most important segment of star wars phenomena during its initial release was the new level of special effects technology . 	the thing that looked like the most important segment of star wars phenomena during its initial release was the new level of special effects technology .	2	-3	 the[0] thing[0] that[0] looked[0] like[1] the[0] most[0] important[0] segment[0] of[0] star[0] wars[-2] phenomena[0] during[0] its[0] initial[0] release[0] was[0] the[0] new[0] level[0] of[0] special[1] effects[0] technology[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
often comparisons with 2001 : space odyssey , another ground-breaking sf film , were citing the sheer number of effects as a proof of the lucas' superiority over kubrick . 	often comparisons with 2001 : space odyssey , another ground-breaking sf film , were citing the sheer number of effects as a proof of the lucas' superiority over kubrick .	1	-1	 often[0] comparisons[0] with[0] 2001[0] space[0] odyssey[0] another[0] ground[0] breaking[0] sf[0] film[0] were[0] citing[0] the[0] sheer[0] number[0] of[0] effects[0] as[0] a[0] proof[0] of[0] the[0] lucas'[0] superiority[0] over[0] kubrick[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
