available in an all new video edition from arrow entertainment ( $29 . 95 ) , with an introduction by david carradine , written & produced by wayne j . keeley 	Translation	Positive	Negative	EmotionRationale
the cover art features a red-tinted , hairy , goateed vampire staring straight at you , his fanged mouth agape , while the bodies of two sexy , writhing women entice you below . 	the cover art features a red-tinted , hairy , goateed vampire staring straight at you , his fanged mouth agape , while the bodies of two sexy , writhing women entice you below .	3	-1	 the[0] cover[0] art[0] features[0] a[0] red[0] tinted[0] hairy[0] goateed[0] vampire[0] staring[0] straight[0] at[0] you[0] his[0] fanged[0] mouth[0] agape[0] while[0] the[0] bodies[0] of[0] two[0] sexy[2] writhing[0] women[0] entice[0] you[0] below[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
trouble is , murnau's monster is pale-faced , bald , pointy-eared , and non-goateed , and there isn't a single sexy , writhing woman to be found in his movie . 	trouble is , murnau's monster is pale-faced , bald , pointy-eared , and non-goateed , and there isn't a single sexy , writhing woman to be found in his movie .	3	-2	 trouble[-1] is[0] murnau's[0] monster[-1] is[0] pale[0] faced[0] bald[0] pointy[0] eared[0] and[0] non[0] goateed[0] and[0] there[0] isn't[0] a[0] single[0] sexy[2] writhing[0] woman[0] to[0] be[0] found[0] in[0] his[0] movie[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
this sort of misleading packaging makes little sense when one recalls the countless number of ghouslish scenes in the film from which cool cover art could have been extracted . 	this sort of misleading packaging makes little sense when one recalls the countless number of ghouslish scenes in the film from which cool cover art could have been extracted .	2	-1	 this[0] sort[0] of[0] misleading[0] packaging[0] makes[0] little[0] sense[0] when[0] one[0] recalls[0] the[0] countless[0] number[0] of[0] ghouslish[0] scenes[0] in[0] the[0] film[0] from[0] which[0] cool[1] cover[0] art[0] could[0] have[0] been[0] extracted[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
additionally , notifying the viewer that this is in fact murnau's film seems like afterthought since his name and the genuine title are written in small print below our goateed vampire . 	additionally , notifying the viewer that this is in fact murnau's film seems like afterthought since his name and the genuine title are written in small print below our goateed vampire .	2	-1	 additionally[0] notifying[0] the[0] viewer[0] that[0] this[0] is[0] in[0] fact[0] murnau's[0] film[0] seems[0] like[1] afterthought[0] since[0] his[0] name[0] and[0] the[0] genuine[0] title[0] are[0] written[0] in[0] small[0] print[0] below[0] our[0] goateed[0] vampire[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
that said , a good mastering job has been performed on the film itself . 	that said , a good mastering job has been performed on the film itself .	2	-1	 that[0] said[0] a[0] good[1] mastering[0] job[0] has[0] been[0] performed[0] on[0] the[0] film[0] itself[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the original elements are not in the best condition--non-studio silents were unlucky in their preservation-- so we're still dealing with a slightly washed out , scratched , jittering image . 	the original elements are not in the best condition-non-studio silents were unlucky in their preservation- so we're still dealing with a slightly washed out , scratched , jittering image .	2	-2	 the[0] original[0] elements[0] are[0] not[0] in[0] the[0] best[1] condition[0] non[0] studio[0] silents[0] were[0] unlucky[-1] in[0] their[0] preservation[0] so[0] we're[0] still[0] dealing[0] with[0] a[0] slightly[0] washed[0] out[0] scratched[0] jittering[0] image[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
but at least the day and night scenes are tinted sepia and blue , respectively , especially helpful to an audience who may question nosferatu's waltzing around during what seems like sunlight ( it took a lot of light to expose stock in the twenties ) . 	but at least the day and night scenes are tinted sepia and blue , respectively , especially helpful to an audience who may question nosferatu's waltzing around during what seems like sunlight ( it took a lot of light to expose stock in the twenties ) .	3	-2	 but[0] at[0] least[0] the[0] day[0] and[0] night[0] scenes[0] are[0] tinted[0] sepia[0] and[0] blue[0] respectively[2] especially[0] helpful[1][1 LastWordBoosterStrength] to[0] an[0] audience[0] who[0] may[0] question[0] nosferatu's[0] waltzing[0] around[0] during[0] what[0] seems[0] like[1] sunlight[0] it[0] took[0] a[0] lot[0] of[0] light[0] to[0] expose[-1] stock[0] in[0] the[0] twenties[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the title cards have been redone , and they are legible , accurate , and digitally altered to flicker--a very nice touch . 	the title cards have been redone , and they are legible , accurate , and digitally altered to flicker-a very nice touch .	3	-1	 the[0] title[0] cards[0] have[0] been[0] redone[0] and[0] they[0] are[0] legible[0] accurate[0] and[0] digitally[0] altered[0] to[0] flicker[0] a[0] very[0] nice[1][1 LastWordBoosterStrength] touch[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
 ( even the opening copyright warning flickers ! ) 	 ( even the opening copyright warning flickers !<br> )	1	-1	 even[0] the[0] opening[0] copyright[0] warning[0] flickers[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the score has been replaced by music from type o negative , a hard-rock group , arguably gothic , and their songs underscore the film nicely-- certainly the coolest video a band can ask for . 	the score has been replaced by music from type o negative , a hard-rock group , arguably gothic , and their songs underscore the film nicely- certainly the coolest video a band can ask for .	3	-2	 the[0] score[0] has[0] been[0] replaced[0] by[0] music[0] from[0] type[0] o[0] negative[-1] a[0] hard[0] rock[1] group[0] arguably[-1] gothic[0] and[0] their[0] songs[0] underscore[0] the[0] film[0] nicely[1] certainly[0] the[0] coolest[2] video[0] a[0] band[0] can[0] ask[0] for[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
when our hero , hutter , first steps onto the doomed carriage to count orlock's castle , we hear a well-timed " now you're dead ! " 	when our hero , hutter , first steps onto the doomed carriage to count orlock's castle , we hear a well-timed " now you're dead !<br> "	3	-3	 when[0] our[0] hero[2] hutter[0] first[0] steps[0] onto[0] the[0] doomed[-1] carriage[0] to[0] count[0] orlock's[0] castle[0] we[0] hear[0] a[0] well[0] timed[0] now[0] you're[0] dead[-2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
from lead singer peter steele . 	from lead singer peter steele .	1	-1	 from[0] lead[0] singer[0] peter[0] steele[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
david carradine makes an appropriately vampiric host ; he fiddles with a blade and cane while introducing the film . 	david carradine makes an appropriately vampiric host ; he fiddles with a blade and cane while introducing the film .	1	-1	 david[0] carradine[0] makes[0] an[0] appropriately[0] vampiric[0] host[0] he[0] fiddles[0] with[0] a[0] blade[0] and[0] cane[0] while[0] introducing[0] the[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
after the feature , which runs about 63 minutes , is included a new music video from type o negative , the black-and-white fang-fest " black no . 1 " . 	after the feature , which runs about 63 minutes , is included a new music video from type o negative , the black-and-white fang-fest " black no .<br> 1 " .	1	-2	 after[0] the[0] feature[0] which[0] runs[0] about[0] 63[0] minutes[0] is[0] included[0] a[0] new[0] music[0] video[0] from[0] type[0] o[0] negative[-1] the[0] black[0] and[0] white[0] fang[0] fest[0] black[0] no[0] [[Sentence=-2,1=word max, 1-5]] 1[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
of course , " nosferatu : a symphony of horror " is the main attraction , and while my latest viewing raised questions ( why is the woman called emily in the title cards but " mina " --as bram stoker called her--in hutter's letters ? , for instance ) , it made me realize how much this movie has inspired and been stolen from . 	of course , " nosferatu : a symphony of horror " is the main attraction , and while my latest viewing raised questions ( why is the woman called emily in the title cards but " mina " -as bram stoker called her-in hutter's letters ?<br> , for instance ) , it made me realize how much this movie has inspired and been stolen from .	3	-4	 of[0] course[0] nosferatu[0] a[0] symphony[0] of[0] horror[-3] is[0] the[0] main[0] attraction[1] and[0] while[0] my[0] latest[0] viewing[0] raised[0] questions[0] why[0] is[0] the[0] woman[0] called[0] emily[0] in[0] the[0] title[0] cards[0] but[0] mina[0] as[0] bram[0] stoker[0] called[0] her[0] in[0] hutter's[0] letters[0] [[Sentence=-4,2=word max, 1-5]] for[0] instance[0] it[0] made[0] me[0] realize[0] how[0] much[0] this[0] movie[0] has[0] inspired[2] and[0] been[0] stolen[-1] from[0] [[Sentence=-2,3=word max, 1-5]][[[3,-4 max of sentences]]]
coppola's 1992 " bram stoker's dracula " owes a great stylistic debt to murnau's masterpiece , but the one thing it couldn't thieve was the original's abstract charms . 	coppola's 1992 " bram stoker's dracula " owes a great stylistic debt to murnau's masterpiece , but the one thing it couldn't thieve was the original's abstract charms .	3	-1	 coppola's[0] 1992[0] bram[0] stoker's[0] dracula[0] owes[0] a[0] great[2] stylistic[0] debt[0] to[0] murnau's[0] masterpiece[0] but[0] the[0] one[0] thing[0] it[0] couldn't[0] thieve[-1][NegatedDueToPreviousWord] was[0] the[0] original's[0] abstract[0] charms[1] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
this latest incarnation from arrow will probably- -like the rescored " metropolis " a few years back--turn a silent film into more palpable entertainment for the latest generation of film freaks . 	this latest incarnation from arrow will probably- -like the rescored " metropolis " a few years back-turn a silent film into more palpable entertainment for the latest generation of film freaks .	2	-2	 this[0] latest[0] incarnation[0] from[0] arrow[0] will[0] probably[0] like[1] the[0] rescored[0] metropolis[0] a[0] few[0] years[0] back[0] turn[0] a[0] silent[0] film[0] into[0] more[0] palpable[0] entertainment[0] for[0] the[0] latest[0] generation[0] of[0] film[0] freaks[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
