the bond series is an island in the film world ; where else would we look forward to cliches , and all of the other things that occur in most of these films ? 	Translation	Positive	Negative	EmotionRationale
james is sent all around the world , trying to do research on carver , fighting with his men , and running into ( on more than one occasion ) a chinese secret agent like him : wai lin ( michelle yeoh , asian action star extraordinaire . . . and 	james is sent all around the world , trying to do research on carver , fighting with his men , and running into ( on more than one occasion ) a chinese secret agent like him : wai lin ( michelle yeoh , asian action star extraordinaire .<br> .<br> .<br> and	2	-3	 james[0] is[0] sent[0] all[0] around[0] the[0] world[0] trying[0] to[0] do[0] research[0] on[0] carver[0] fighting[-2] with[0] his[0] men[0] and[0] running[0] into[0] on[0] more[0] than[0] one[0] occasion[0] a[0] chinese[0] secret[0] agent[0] like[1] him[0] wai[0] lin[0] michelle[0] yeoh[0] asian[0] action[0] star[0] extraordinaire[0] [[Sentence=-3,2=word max, 1-5]] and[0] [[Sentence=-1,1=word max, 1-5]][[[2,-3 max of sentences]]]
co-star of " supercop , " nearly stealing the screen from jackie chan in that one ) . 	co-star of " supercop , " nearly stealing the screen from jackie chan in that one ) .	1	-3	 co[0] star[0] of[0] supercop[0] nearly[0] stealing[-2] the[0] screen[0] from[0] jackie[0] chan[0] in[0] that[0] one[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the two eventually , and predictably of course , begin working together , and yes , there is some sexual tension between the two . 	the two eventually , and predictably of course , begin working together , and yes , there is some sexual tension between the two .	1	-3	 the[0] two[0] eventually[0] and[0] predictably[0] of[0] course[0] begin[0] working[0] together[0] and[0] yes[0] there[0] is[0] some[0] sexual[0] tension[-2] between[0] the[0] two[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
luckily , their relationship is never strained , and she never gives into his cassanova-ness until the finale . 	luckily , their relationship is never strained , and she never gives into his casanova-ness until the finale .	3	-1	 luckily[2] their[0] relationship[0] is[0] never[0] strained[-1][NegatedDueToPreviousWord] and[0] she[0] never[0] gives[0] into[0] his[0] cassanova/casanova[0] ness[0] until[0] the[0] finale[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
thank god again . 	thank god again .	2	-1	 thank[1] god[0] again[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
in every bond film , james bags , on average , three women ( sometimes more , sometimes less - the latter being more potent towards the aids-cautionary dalton ) , and he doesn't spoil this one ( though we never see them , of course - i mean , they need to stay around a pg-13 rating ) . 	in every bond film , james bags , on average , three women ( sometimes more , sometimes less - the latter being more potent towards the aids-cautionary dalton ) , and he doesn't spoil this one ( though we never see them , of course - i mean , they need to stay around a pg-13 rating ) .	1	-2	 in[0] every[0] bond[0] film[0] james[0] bags[0] on[0] average[0] three[0] women[0] sometimes[0] more[0] sometimes[0] less[0] the[0] latter[0] being[0] more[0] potent[0] towards[0] the[0] aids[0] cautionary[0] dalton[0] and[0] he[0] doesn't[0] spoil[-1] this[0] one[0] though[0] we[0] never[0] see[0] them[0] of[0] course[0] i[0] mean[0] they[0] need[0] to[0] stay[0] around[0] a[0] pg[0] -13[0] rating[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
there's always one at the beginning with some chick we never see again , the big bond girl ( yeoh ) , and this time we have an almost-cameo by teri hatcher as carver's wife , paris , who , it seems , was once one of the girls he bags at the beginning . 	there's always one at the beginning with some chick we never see again , the big bond girl ( yeoh ) , and this time we have an almost-cameo by teri hatcher as carver's wife , paris , who , it seems , was once one of the girls he bags at the beginning .	1	-1	 there's[0] always[0] one[0] at[0] the[0] beginning[0] with[0] some[0] chick[0] we[0] never[0] see[0] again[0] the[0] big[0] bond[0] girl[0] yeoh[0] and[0] this[0] time[0] we[0] have[0] an[0] almost[0] cameo[0] by[0] teri[0] hatcher[0] as[0] carver's[0] wife[0] paris[0] who[0] it[0] seems[0] was[0] once[0] one[0] of[0] the[0] girls[0] he[0] bags[0] at[0] the[0] beginning[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
yes , teri's very attractive , but she seems kind of dull . 	yes , teri's very attractive , but she seems kind of dull .	3	-2	 yes[0] teri's[0] very[0] attractive[1][1 LastWordBoosterStrength] but[0] she[0] seems[0] kind[1] of[0] dull[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
of course , it's not really her fault ; her part is under-written , and she's only in a small part of it . 	of course , it's not really her fault ; her part is under-written , and she's only in a small part of it .	2	-1	 of[0] course[0] it's[0] not[0] really[0] her[0] fault[-1][NegatedDueToPreviousWord] her[0] part[0] is[0] under[0] written[0] and[0] she's[0] only[0] in[0] a[0] small[0] part[0] of[0] it[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
oh well . 	oh well .	1	-1	 oh[0] well[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and there are always the big henchmen , the guys who do the dirty work for the polished big villains . 	and there are always the big henchmen , the guys who do the dirty work for the polished big villains .	1	-3	 and[0] there[0] are[0] always[0] the[0] big[0] henchmen[0] the[0] guys[0] who[0] do[0] the[0] dirty[-1] work[0] for[0] the[0] polished[0] big[0] villains[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
this time we get a tall , arian-looking ( not to mention robert shaw in " from russia with love " -looking ) guy named stamper ( goetz otto ) , who is pretty awesome , although a bit stiff ( well , mostly his posture , really ) . 	this time we get a tall , arian-looking ( not to mention robert shaw in " from russia with love " -looking ) guy named stamper ( goetz otto ) , who is pretty awesome , although a bit stiff ( well , mostly his posture , really ) .	4	-1	 this[0] time[0] we[0] get[0] a[0] tall[0] arian[0] looking[0] not[0] to[0] mention[0] robert[0] shaw[0] in[0] from[0] russia[0] with[0] love[2] looking[0] guy[0] named[0] stamper[0] goetz[0] otto[0] who[0] is[0] pretty[2] awesome[2][+1 MultiplePositiveWords] although[0] a[0] bit[0] stiff[0] well[0] mostly[0] his[0] posture[0] really[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
and for a bit of comedy , we get a cameo from vincent shiavelli as a german or austrian assassin who is ordered to do in bond at one point . 	and for a bit of comedy , we get a cameo from vincent shiavelli as a german or austrian assassin who is ordered to do in bond at one point .	1	-3	 and[0] for[0] a[0] bit[0] of[0] comedy[0] we[0] get[0] a[0] cameo[0] from[0] vincent[0] shiavelli[0] as[0] a[0] german[-1] or[0] austrian[0] assassin[-2] who[0] is[0] ordered[0] to[0] do[0] in[0] bond[0] at[0] one[0] point[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the government people have small parts , as usual , with q ( desmond llewelyn , looking near death , sadly ) getting only one scene ( in a more grouchy mood than usual ) , and m ( judi dench ) , getting more than m usually gets ( i mean , it is judi dench ) . 	the government people have small parts , as usual , with q ( desmond llewelyn , looking near death , sadly ) getting only one scene ( in a more grouchy mood than usual ) , and m ( judi dench ) , getting more than m usually gets ( i mean , it is judi dench ) .	1	-3	 the[0] government[0] people[0] have[0] small[0] parts[0] as[0] usual[0] with[0] q[0] desmond[0] llewelyn[0] looking[0] near[0] death[-2] sadly[-1] getting[0] only[0] one[0] scene[0] in[0] a[0] more[0] grouchy[-1] mood[0] than[0] usual[0] and[0] m[0] judi[0] dench[0] getting[0] more[0] than[0] m[0] usually[0] gets[0] i[0] mean[0] it[0] is[0] judi[0] dench[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
and for no reason whatsoever , except 'cause he was so good in " goldeneye , " joe don baker shows up again as wade , admitting he has no reason for being there , and is this time more annoying . 	and for no reason whatsoever , except 'cause he was so good in " goldeneye , " joe don baker shows up again as wade , admitting he has no reason for being there , and is this time more annoying .	2	-3	 and[0] for[0] no[0] reason[0] whatsoever[0] except[0] 'cause[0] he[0] was[0] so[0] good[1] in[0] goldeneye[0] joe[0] don[0] baker[0] shows[0] up[0] again[0] as[0] wade[0] admitting[0] he[0] has[0] no[0] reason[0] for[0] being[0] there[0] and[0] is[0] this[0] time[0] more[0] annoying[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
again , oh well . 	again , oh well .	1	-1	 again[0] oh[0] well[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the action sequences are not a let-down , although sometimes go on too long . 	the action sequences are not a let-down , although sometimes go on too long .	1	-1	 the[0] action[0] sequences[0] are[0] not[0] a[0] let[0] down[0] although[0] sometimes[0] go[0] on[0] too[0] long[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they pop up every now and then , mainly because they have to ( for the sake of the series ) , and some significant ones are the opening one , one in a garage with a bmw that runs on remote control , and a motorcylce chase ( on a bmw cycle , nonetheless ) through china streets ( or was it vietnam . . . the 	they pop up every now and then , mainly because they have to ( for the sake of the series ) , and some significant ones are the opening one , one in a garage with a bmw that runs on remote control , and a motorcylce chase ( on a bmw cycle , nonetheless ) through china streets ( or was it vietnam .<br> .<br> .<br> the	1	-2	 they[0] pop[0] up[0] every[0] now[0] and[0] then[0] mainly[0] because[0] they[0] have[0] to[0] for[0] the[0] sake[0] of[0] the[0] series[0] and[0] some[0] significant[0] ones[0] are[0] the[0] opening[0] one[0] one[0] in[0] a[0] garage[0] with[0] a[0] bmw[0] that[0] runs[0] on[0] remote[0] control[0] and[0] a[0] motorcylce[0] chase[-1] on[0] a[0] bmw[0] cycle[0] nonetheless[0] through[0] china[0] streets[0] or[0] was[0] it[0] vietnam[0] [[Sentence=-2,1=word max, 1-5]] the[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
plot's not really essential ) . 	plot's not really essential ) .	1	-1	 plot's[0] not[0] really[0] essential[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they're more high-tech , and feature much more laughs , which , yeah , i dig . 	they're more high-tech , and feature much more laughs , which , yeah , i dig .	2	-1	 they're[0] more[0] high[0] tech[0] and[0] feature[0] much[0] more[0] laughs[1] which[0] yeah[0] i[0] dig[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
so what if they're distracting ; they're supposed to be ! 	so what if they're distracting ; they're supposed to be !	1	-2	 so[0] what[0] if[0] they're[0] distracting[-1] they're[0] supposed[0] to[0] be[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the acting , from most around is great . 	the acting , from most around is great .	3	-1	 the[0] acting[0] from[0] most[0] around[0] is[0] great[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
yeoh is , actually , one of the better bond girls , mainly because she's so unique . 	yeoh is , actually , one of the better bond girls , mainly because she's so unique .	1	-1	 yeoh[0] is[0] actually[0] one[0] of[0] the[0] better[0] bond[0] girls[0] mainly[0] because[0] she's[0] so[0] unique[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the better bond girls are more independent , and have a certain wily-ness to them . 	the better bond girls are more independent , and have a certain wily-ness to them .	1	-2	 the[0] better[0] bond[0] girls[0] are[0] more[0] independent[0] and[0] have[0] a[0] certain[0] wily[-1] ness[0] to[0] them[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
pussy galore , with her homoerotic undertones and all , is one of the best , and diana rigg , who married bond at the end of " on her majesty's secret service " only to be killed , added some emotional depth . 	pussy galore , with her homoerotic undertones and all , is one of the best , and diana rig , who married bond at the end of " on her majesty's secret service " only to be killed , added some emotional depth .	2	-4	 pussy[0] galore[0] with[0] her[0] homoerotic[0] undertones[0] and[0] all[0] is[0] one[0] of[0] the[0] best[1] and[0] diana[0] rigg/rig[0] who[0] married[0] bond[0] at[0] the[0] end[0] of[0] on[0] her[0] majesty's[0] secret[0] service[0] only[0] to[0] be[0] killed[-3] added[0] some[0] emotional[-1][--1 LastWordBoosterStrength] depth[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
yeoh is notable since she's so active , and has great chemistry with brosnan . 	yeoh is notable since she's so active , and has great chemistry with brosnan .	3	-1	 yeoh[0] is[0] notable[0] since[0] she's[0] so[0] active[0] and[0] has[0] great[2] chemistry[0] with[0] brosnan[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
pryce is an awesome villain , being slimy and lovable at the same time . 	pryce is an awesome villain , being slimy and lovable at the same time .	3	-3	 pryce[-1] is[0] an[0] awesome[2] villain[-2] being[0] slimy[0] and[0] lovable[0] at[0] the[0] same[0] time[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
and brosnan is , once again , the mack daddy . 	and brosnan is , once again , the mack daddy .	1	-1	 and[0] brosnan[0] is[0] once[0] again[0] the[0] mack[0] daddy[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the bond series is built on cliches , mainly because they're so fun and add to the escapism . 	the bond series is built on cliches , mainly because they're so fun and add to the escapism .	2	-1	 the[0] bond[0] series[0] is[0] built[0] on[0] cliches[0] mainly[0] because[0] they're[0] so[0] fun[1] and[0] add[0] to[0] the[0] escapism[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
if you can remember the dalton years , and they're serious direction , you remember how unsuccessful they were , both financially and aesthetically . 	if you can remember the dalton years , and they're serious direction , you remember how unsuccessful they were , both financially and aesthetically .	1	-3	 if[0] you[0] can[0] remember[0] the[0] dalton[0] years[0] and[0] they're[0] serious[-1] direction[0] you[0] remember[0] how[0] unsuccessful[-2] they[0] were[0] both[0] financially[0] and[0] aesthetically[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the series would falter if bogged down with too much plot , too many themes , and too much characterization . 	the series would falter if bogged down with too much plot , too many themes , and too much characterization .	1	-1	 the[0] series[0] would[0] falter[-1][--1 LastWordBoosterStrength] if[0] bogged[0] down[0] with[0] too[0] much[0] plot[0] too[0] many[0] themes[0] and[0] too[0] much[0] characterization[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i don't really understand it myself , yet i'm one of the bigger fans of the series in the northeast united states . 	i don't really understand it myself , yet i'm one of the bigger fans of the series in the northeast united states .	1	-1	 i[0] don't[0] really[0] understand[0] it[0] myself[0] yet[0] i'm[0] one[0] of[0] the[0] bigger[0] fans[0] of[0] the[0] series[0] in[0] the[0] northeast[0] united[0] states[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
having seen all of them more than once ( yes , i've seen this twice already ) , you can tell i adore them . 	having seen all of them more than once ( yes , i've seen this twice already ) , you can tell i adore them .	4	-1	 having[0] seen[0] all[0] of[0] them[0] more[0] than[0] once[0] yes[0] i've[0] seen[0] this[0] twice[0] already[0] you[0] can[0] tell[0] i[0] adore[3] them[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
while it's not one of the best , like " goldfinger " or " from russia with love , " " tomorrow never dies " is nonetheless a truly awesome installment , even if not being as fully amazing as some of the better ones . 	while it's not one of the best , like " goldfinger " or " from russia with love , " " tomorrow never dies " is nonetheless a truly awesome instalment , even if not being as fully amazing as some of the better ones .	3	-1	 while[0] it's[0] not[0] one[0] of[0] the[0] best[1] like[1] goldfinger[0] or[0] from[0] russia[0] with[0] love[2] tomorrow[0] never[0] dies[0] is[0] nonetheless[0] a[0] truly[1] awesome[2] installment/instalment[0] even[0] if[0] not[0] being[0] as[0] fully[0] amazing[2] as[0] some[0] of[0] the[0] better[0] ones[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
