if you had a chance to create a genetically perfect child , would you do it ? 	Translation	Positive	Negative	EmotionRationale
but one day , he finds out that it's probably possible that his desires can come true in the form of a business deal brought out by a black market geneticist ( or something ) , german ( " wings " ' tony shalhoub , who did like hundreds of cameos in films back in '97 : " men in black , " " a life less ordinary " . . . ) , who's client is a genetically perfect man , jerome morrow ( jude law ) , who has unfortunately been crippled . 	but one day , he finds out that it's probably possible that his desires can come true in the form of a business deal brought out by a black market geneticist ( or something ) , german ( " wings " ' tony shalhoub , who did like hundreds of cameos in films back in '97 : " men in black , " " a life less ordinary " .<br> .<br> .<br> ) , who's client is a genetically perfect man , jerome morrow ( jude law ) , who has unfortunately been crippled .	2	-2	 but[0] one[0] day[0] he[0] finds[0] out[0] that[0] it's[0] probably[0] possible[0] that[0] his[0] desires[0] can[0] come[0] true[1] in[0] the[0] form[0] of[0] a[0] business[0] deal[0] brought[0] out[0] by[0] a[0] black[0] market[0] geneticist[0] or[0] something[0] german[-1] wings[0] '[0] tony[0] shalhoub[0] who[0] did[0] like[1][-1 LastWordBoosterStrength] hundreds[0] of[0] cameos[0] in[0] films[0] back[0] in[0] '97[0] men[0] in[0] black[0] a[0] life[0] less[0] ordinary[0] [[Sentence=-2,2=word max, 1-5]] who's[0] client[0] is[0] a[0] genetically[0] perfect[1] man[0] jerome[0] morrow[0] jude[0] law[0] who[0] has[0] unfortunately[-1] been[0] crippled[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
fortunately , though , there's no record of the accident , and he's willing to give someone else his life . 	fortunately , though , there's no record of the accident , and he's willing to give someone else his life .	1	-2	 fortunately[0] though[0] there's[0] no[0] record[0] of[0] the[0] accident[-1] and[0] he's[0] willing[0] to[0] give[0] someone[0] else[0] his[0] life[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
since vincent looks a bit like him . . . 	since vincent looks a bit like him .<br> .<br> .	2	-1	 since[0] vincent[0] looks[0] a[0] bit[0] like[1] him[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
after a couple alterations ( some minor , some really major ) , he has donned the life of jerome , and is doing his job . 	after a couple alterations ( some minor , some really major ) , he has donned the life of jerome , and is doing his job .	1	-1	 after[0] a[0] couple[0] alterations[0] some[0] minor[0] some[0] really[0] major[0] he[0] has[0] donned[0] the[0] life[0] of[0] jerome[0] and[0] is[0] doing[0] his[0] job[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there , he meets a genetically imperfect woman , irene ( uma thurman , who's genetically perfect in real life anyway , hee hee ) , and the two begin a kind of relationship , albeit a very shallow one since romance is deemed by how great a man's stats are . 	there , he meets a genetically imperfect woman , irene ( uma thurman , who's genetically perfect in real life anyway , he he ) , and the two begin a kind of relationship , albeit a very shallow one since romance is deemed by how great a man's stats are .	4	-3	 there[0] he[0] meets[0] a[0] genetically[0] imperfect[-1] woman[0] irene[0] uma[0] thurman[0] who's[0] genetically[0] perfect[1] in[0] real[0] life[0] anyway[0] hee/he[0] hee/he[0] and[0] the[0] two[0] begin[0] a[0] kind[1] of[0] relationship[0] albeit[0] a[0] very[0] shallow[-1][-1 LastWordBoosterStrength] one[0] since[0] romance[3] is[0] deemed[0] by[0] how[0] great[2] a[0] man's[0] stats[0] are[0] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
however , a murder of a high-level worker at his office is killed , and one of vincent/jerome's eyelashes is found by the anal retentive investigators headed by a semi-wily inspector , hugo , ( alan arkin ) , and none other than vincent's long lost brother , anton , who hasn't seen him since they were teenagers . 	however , a murder of a high-level worker at his office is killed , and one of vincent/jerome's eyelashes is found by the anal retentive investigators headed by a semi-wily inspector , hugo , ( alan arkin ) , and none other than vincent's long lost brother , anton , who hasn't seen him since they were teenagers .	1	-4	 however[0] a[0] murder[-3] of[0] a[0] high[0] level[0] worker[0] at[0] his[0] office[0] is[0] killed[-3] and[0] one[0] of[0] vincent/jerome's[0] eyelashes[0] is[0] found[0] by[0] the[0] anal[0] retentive[0] investigators[0] headed[0] by[0] a[0] semi[0] wily[-1] inspector[0] hugo[0] alan[0] arkin[0] and[0] none[0] other[0] than[0] vincent's[0] long[0] lost[0] brother[0] anton[0] who[0] hasn't[0] seen[0] him[0] since[0] they[0] were[0] teenagers[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
we know vincent/jerome didn't do it , but with his older picture being posted everywhere , not only vincent/jerome's in trouble , but also the real jerome , who's as much in it as he is . 	we know vincent/jerome didn't do it , but with his older picture being posted everywhere , not only vincent/jerome's in trouble , but also the real jerome , who's as much in it as he is .	1	-2	 we[0] know[0] vincent/jerome[0] didn't[0] do[0] it[0] but[0] with[0] his[0] older[0] picture[0] being[0] posted[0] everywhere[0] not[0] only[0] vincent/jerome's[0] in[0] trouble[-1] but[0] also[0] the[0] real[0] jerome[0] who's[0] as[0] much[0] in[0] it[0] as[0] he[0] is[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
however , there isn't many big suspense set pieces , which is actually a blessing because if they were tossed in , the film would lose it's message and descend into just being a sci-fi thriller a la william gibson . 	however , there isn't many big suspense set pieces , which is actually a blessing because if they were tossed in , the film would lose it's message and descend into just being a sci-fi thriller a la william gibson .	2	-1	 however[0] there[0] isn't[0] many[0] big[0] suspense[0] set[0] pieces[0] which[0] is[0] actually[0] a[0] blessing[1] because[0] if[0] they[0] were[0] tossed[0] in[0] the[0] film[0] would[0] lose[-1][--1 LastWordBoosterStrength] it's[0] message[0] and[0] descend[0] into[0] just[0] being[0] a[0] sci[0] fi[0] thriller[1] a[0] la[0] william[0] gibson[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the suspense in the film comes from the idea that vincent and jerome can easily be captured just by dropping a hair or dead skin . 	the suspense in the film comes from the idea that vincent and jerome can easily be captured just by dropping a hair or dead skin .	1	-3	 the[0] suspense[0] in[0] the[0] film[0] comes[0] from[0] the[0] idea[0] that[0] vincent[0] and[0] jerome[0] can[0] easily[0] be[0] captured[-1] just[0] by[0] dropping[0] a[0] hair[0] or[0] dead[-2] skin[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
while there are several scenes which are pretty frightening , there are no big distractions from the point of the film , much to the dismay of commercial audiences . 	while there are several scenes which are pretty frightening , there are no big distractions from the point of the film , much to the dismay of commercial audiences .	3	-4	 while[0] there[0] are[0] several[0] scenes[0] which[0] are[0] pretty[2] frightening[-3] there[0] are[0] no[0] big[0] distractions[-1] from[0] the[0] point[0] of[0] the[0] film[0] much[0] to[0] the[0] dismay[-2] of[0] commercial[0] audiences[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
what is actually portrayed is the lack of life in the utopian society that is created . 	what is actually portrayed is the lack of life in the utopian society that is created .	1	-2	 what[0] is[0] actually[0] portrayed[0] is[0] the[0] lack[-1] of[0] life[0] in[0] the[0] utopian[0] society[0] that[0] is[0] created[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
irene has no real spunk in her life , and is rather amazed by the sheer beauty of a sunrise rather than genetically perfect people . 	irene has no real spunk in her life , and is rather amazed by the sheer beauty of a sunrise rather than genetically perfect people .	3	-1	 irene[0] has[0] no[0] real[0] spunk[0] in[0] her[0] life[0] and[0] is[0] rather[0] amazed[2] by[0] the[0] sheer[0] beauty[2] of[0] a[0] sunrise[0] rather[0] than[0] genetically[0] perfect[1] people[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
and the genetically flawless jerome is in actuality a bitter man , claiming that his accident was really no accident . 	and the genetically flawless jerome is in actuality a bitter man , claiming that his accident was really no accident .	2	-2	 and[0] the[0] genetically[0] flawless[1] jerome[0] is[0] in[0] actuality[0] a[0] bitter[-1] man[0] claiming[0] that[0] his[0] accident[-1] was[0] really[0] no[0] accident[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
what jerome has done is fool the system in giving a man who yearns for better things a chance at that , and the ending is shocking as it's a definite work of dystopian propaganda , but doesn't have the down ending of other works of this kind . 	what jerome has done is fool the system in giving a man who yearns for better things a chance at that , and the ending is shocking as it's a definite work of dystopian propaganda , but doesn't have the down ending of other works of this kind .	2	-3	 what[0] jerome[0] has[0] done[0] is[0] fool[-1] the[0] system[0] in[0] giving[0] a[0] man[0] who[0] yearns[-1] for[0] better[0] things[0] a[0] chance[0] at[0] that[0] and[0] the[0] ending[0] is[0] shocking[-2] as[0] it's[0] a[0] definite[0] work[0] of[0] dystopian[0] propaganda[-1] but[0] doesn't[0] have[0] the[0] down[0] ending[0] of[0] other[0] works[0] of[0] this[0] kind[1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the production design of this film is probably the best i've seen this year : it's stunning , very pleasing to the eye , but still very cold . 	the production design of this film is probably the best i've seen this year : it's stunning , very pleasing to the eye , but still very cold .	4	-3	 the[0] production[0] design[0] of[0] this[0] film[0] is[0] probably[0] the[0] best[1] i've[0] seen[0] this[0] year[0] it's[0] stunning[0] very[0] pleasing[2][1 LastWordBoosterStrength] to[0] the[0] eye[0] but[0] still[0] very[0] cold[-1][-1 LastWordBoosterStrength] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
since genetics has ruled out any chance of improvement , the world has cooled into a state of inhumanity , and the sets echo a sense of shallow misery . 	since genetics has ruled out any chance of improvement , the world has cooled into a state of inhumanity , and the sets echo a sense of shallow misery .	2	-3	 since[0] genetics[0] has[0] ruled[0] out[0] any[0] chance[0] of[0] improvement[1] the[0] world[0] has[0] cooled[0] into[0] a[0] state[0] of[0] inhumanity[-2] and[0] the[0] sets[0] echo[0] a[0] sense[0] of[0] shallow[-1] misery[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
and the sequence of all the high-level workers doing their jobs has a kind of gilliam-esque feel to it , showing the nightmare of slipping into a routine zombie-like life . 	and the sequence of all the high-level workers doing their jobs has a kind of gilliam-esque feel to it , showing the nightmare of slipping into a routine zombie-like life .	2	-3	 and[0] the[0] sequence[0] of[0] all[0] the[0] high[0] level[0] workers[0] doing[0] their[0] jobs[0] has[0] a[0] kind[1] of[0] gilliam[0] esque[0] feel[0] to[0] it[0] showing[0] the[0] nightmare[-2] of[0] slipping[0] into[0] a[0] routine[0] zombie[0] like[1] life[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the ability to perfect people has left humanity cold and generally unhappy . 	the ability to perfect people has left humanity cold and generally unhappy .	2	-3	 the[0] ability[0] to[0] perfect[1] people[0] has[0] left[0] humanity[0] cold[-1] and[0] generally[0] unhappy[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the acting from everyone is great , with thurman giving a wonderfully cold performance , and hawke creating a character who has been beaten down by the system but has found a new sense of optimism by a bitter man who was willing to give it out anyway ( interesting pointless fact : uma and ethan started dating after this film , and currently she is pregnant with his child ) . 	the acting from everyone is great , with thurman giving a wonderfully cold performance , and hawke creating a character who has been beaten down by the system but has found a new sense of optimism by a bitter man who was willing to give it out anyway ( interesting pointless fact : uma and ethan started dating after this film , and currently she is pregnant with his child ) .	3	-2	 the[0] acting[0] from[0] everyone[0] is[0] great[2] with[0] thurman[0] giving[0] a[0] wonderfully[2] cold[-1] performance[0] and[0] hawke[0] creating[0] a[0] character[0] who[0] has[0] been[0] beaten[0] down[0] by[0] the[0] system[0] but[0] has[0] found[0] a[0] new[0] sense[0] of[0] optimism[1] by[0] a[0] bitter[-1] man[0] who[0] was[0] willing[0] to[0] give[0] it[0] out[0] anyway[0] interesting[1] pointless[-1] fact[0] uma[0] and[0] ethan[0] started[0] dating[0] after[0] this[0] film[0] and[0] currently[0] she[0] is[0] pregnant[0] with[0] his[0] child[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
but the best performance belongs to jude law , who steals every scene he's in , and creates a character filled with the pessimism over having such a horrible burden placed on his burden . 	but the best performance belongs to jude law , who steals every scene he's in , and creates a character filled with the pessimism over having such a horrible burden placed on his burden .	2	-4	 but[0] the[0] best[1] performance[0] belongs[0] to[0] jude[0] law[0] who[0] steals[-2] every[0] scene[0] he's[0] in[0] and[0] creates[0] a[0] character[0] filled[0] with[0] the[0] pessimism[-2] over[0] having[0] such[0] a[0] horrible[-3] burden[-1] placed[0] on[0] his[0] burden[-1] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
i think that people are generally tempted by the fact that genetics can actually create perfection in a child , but whether or not they would actually act on this temptation is something i'm not sure of . 	i think that people are generally tempted by the fact that genetics can actually create perfection in a child , but whether or not they would actually act on this temptation is something i'm not sure of .	2	-2	 i[0] think[0] that[0] people[0] are[0] generally[0] tempted[0] by[0] the[0] fact[0] that[0] genetics[0] can[0] actually[0] create[0] perfection[1] in[0] a[0] child[0] but[0] whether[0] or[0] not[0] they[0] would[0] actually[0] act[0] on[0] this[0] temptation[-1] is[0] something[0] i'm[0] not[0] sure[0] of[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
 " gattaca " warns us not to go any farther , chiefly because we'll create a world of elitism where the elite are shallow and unhappy , and as bitter and angry as the lesser people are . 	 " gattaca " warns us not to go any farther , chiefly because we'll create a world of elitism where the elite are shallow and unhappy , and as bitter and angry as the lesser people are .	1	-4	 gattaca[0] warns[0] us[0] not[0] to[0] go[0] any[0] farther[0] chiefly[0] because[0] we'll[0] create[0] a[0] world[0] of[0] elitism[0] where[0] the[0] elite[0] are[0] shallow[-1] and[0] unhappy[-2] and[0] as[0] bitter[-1] and[0] angry[-3] as[0] the[0] lesser[0] people[0] are[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
and when i see a possible future featuring a 12-fingered piano player , well folks , that just creeps me out . 	and when i see a possible future featuring a 12-fingered piano player , well folks , that just creeps me out .	1	-1	 and[0] when[0] i[0] see[0] a[0] possible[0] future[0] featuring[0] a[0] 12[0] fingered[0] piano[0] player[0] well[0] folks[0] that[0] just[0] creeps[0] me[0] out[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
