perhaps it's time for me to say a little about my reading habits . 	Translation	Positive	Negative	EmotionRationale
i had originally written george clooney off as a one-note actor , incapable of depth but occasionally showing a little flair . 	i had originally written george clooney off as a one-note actor , incapable of depth but occasionally showing a little flair .	1	-2	 i[0] had[0] originally[0] written[0] george[0] clooney[0] off[0] as[0] a[0] one[0] note[0] actor[0] incapable[-1] of[0] depth[0] but[0] occasionally[0] showing[0] a[0] little[0] flair[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
after seeing his latest performance in this film , i've changed my mind -- this guy can act , but he also has that forceful presence that most certainly will make him one of those  20 million superstars . 	after seeing his latest performance in this film , i've changed my mind - this guy can act , but he also has that forceful presence that most certainly will make him one of those  20 million superstars .	1	-1	 after[0] seeing[0] his[0] latest[0] performance[0] in[0] this[0] film[0] i've[0] changed[0] my[0] mind[0] this[0] guy[0] can[0] act[0] but[0] he[0] also[0] has[0] that[0] forceful[0] presence[0] that[0] most[0] certainly[0] will[0] make[0] him[0] one[0] of[0] those[0] 20[0] million[0] superstars[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
here , he plays jack foley , a middle aged guy who robs banks for a living . 	here , he plays jack foley , a middle aged guy who robs banks for a living .	2	-1	 here[0] he[0] plays[1] jack[0] foley[0] a[0] middle[0] aged[0] guy[0] who[0] robs[0] banks[0] for[0] a[0] living[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
he does it because it's fun , i think , but the film opens with him getting caught because his car won't start . 	he does it because it's fun , i think , but the film opens with him getting caught because his car won't start .	2	-1	 he[0] does[0] it[0] because[0] it's[0] fun[1] i[0] think[0] but[0] the[0] film[0] opens[0] with[0] him[0] getting[0] caught[0] because[0] his[0] car[0] won't[0] start[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
he goes to jail -- which is interesting -- only to break out five cinematic minutes later with the help of his friend , buddy ( ving rhames ) . 	he goes to jail - which is interesting - only to break out five cinematic minutes later with the help of his friend , buddy ( ving rhames ) .	2	-2	 he[0] goes[0] to[0] jail[-1] which[0] is[0] interesting[1] only[0] to[0] break[0] out[0] five[0] cinematic[0] minutes[0] later[0] with[0] the[0] help[0] of[0] his[0] friend[1] buddy[0] ving[0] rhames[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
we're then introduced to karen sisco ( jennifer lopez ) , a u . s . marshall who , conveniently , is waiting with a shotgun as jack escapes . 	we're then introduced to karen sisco ( jennifer lopez ) , a you .<br> s .<br> marshal who , conveniently , is waiting with a shotgun as jack escapes .	1	-1	 we're[0] then[0] introduced[0] to[0] karen[0] sisco[0] jennifer[0] lopez[0] a[0] u[0] [[Sentence=-1,1=word max, 1-5]] s[0] [[Sentence=-1,1=word max, 1-5]] marshall/marshal[0] who[0] conveniently[0] is[0] waiting[0] with[0] a[0] shotgun[0] as[0] jack[0] escapes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
fortunately , they take her hostage , and she and jack spend some quality time in the trunk together as buddy drives them to safety . 	fortunately , they take her hostage , and she and jack spend some quality time in the trunk together as buddy drives them to safety .	2	-1	 fortunately[0] they[0] take[0] her[0] hostage[0] and[0] she[0] and[0] jack[0] spend[0] some[0] quality[0] time[0] in[0] the[0] trunk[0] together[0] as[0] buddy[0] drives[0] them[0] to[0] safety[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the central conflict arises when both jack and karen become obsessed with one another , though their respective jobs make them superficially incompatible . 	the central conflict arises when both jack and karen become obsessed with one another , though their respective jobs make them superficially incompatible .	3	-3	 the[0] central[0] conflict[-1] arises[0] when[0] both[0] jack[0] and[0] karen[0] become[0] obsessed[-2] with[0] one[0] another[0] though[0] their[0] respective[2] jobs[0] make[0] them[0] superficially[-1] incompatible[-2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
we soon learn that the film is not told in sequence ( and , since this is a gritty crime comedy , flashbacks of pulp fiction should arise ) . 	we soon learn that the film is not told in sequence ( and , since this is a gritty crime comedy , flashbacks of pulp fiction should arise ) .	1	-2	 we[0] soon[0] learn[0] that[0] the[0] film[0] is[0] not[0] told[0] in[0] sequence[0] and[0] since[0] this[0] is[0] a[0] gritty[0] crime[-1] comedy[0] flashbacks[0] of[0] pulp[0] fiction[0] should[0] arise[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
at first , i kind of felt that it was a gimmick , but i guess it was a gimmick in pulp fiction , too . 	at first , i kind of felt that it was a gimmick , but i guess it was a gimmick in pulp fiction , too .	2	-1	 at[0] first[0] i[0] kind[1] of[0] felt[0] that[0] it[0] was[0] a[0] gimmick[0] but[0] i[0] guess[0] it[0] was[0] a[0] gimmick[0] in[0] pulp[0] fiction[0] too[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it's a fun gimmick , though , and soderbergh treats the material with enough humor that everything comes off naturally . 	it's a fun gimmick , though , and soderbergh treats the material with enough humor that everything comes off naturally .	3	-1	 it's[0] a[0] fun[1] gimmick[0] though[0] and[0] soderbergh[0] treats[0] the[0] material[0] with[0] enough[0] humor[2] that[0] everything[0] comes[0] off[0] naturally[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
i've only seen a few of soderbergh's films ( i was impressed both with kafka and sex , lies , and videotape ) , but i think he's excellent at what he does . 	i've only seen a few of soderbergh's films ( i was impressed both with kafka and sex , lies , and videotape ) , but i think he's excellent at what he does .	4	-3	 i've[0] only[0] seen[0] a[0] few[0] of[0] soderbergh's[0] films[0] i[0] was[0] impressed[1] both[0] with[0] kafka[0] and[0] sex[0] lies[-2] and[0] videotape[0] but[0] i[0] think[0] he's[0] excellent[3] at[0] what[0] he[0] does[0] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
he's an artist without making it obvious , and without being pretentious , which is always admirable . 	he's an artist without making it obvious , and without being pretentious , which is always admirable .	3	-2	 he's[0] an[0] artist[0] without[0] making[0] it[0] obvious[0] and[0] without[0] being[0] pretentious[-1] which[0] is[0] always[0] admirable[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
he uses tricks , yes ( lots of freeze-frame stuff here ) , but it all adds to the smooth and quirky currents in the film . 	he uses tricks , yes ( lots of freeze-frame stuff here ) , but it all adds to the smooth and quirky currents in the film .	1	-2	 he[0] uses[0] tricks[-1] yes[0] lots[0] of[0] freeze[0] frame[0] stuff[0] here[0] but[0] it[0] all[0] adds[0] to[0] the[0] smooth[0] and[0] quirky[0] currents[0] in[0] the[0] film[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
as i said , clooney is terrific , and he's matched by lopez . 	as i said , clooney is terrific , and he's matched by lopez .	4	-1	 as[0] i[0] said[0] clooney[0] is[0] terrific[3] and[0] he's[0] matched[0] by[0] lopez[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
lopez is , of course , beautiful , but she can act , too . 	lopez is , of course , beautiful , but she can act , too .	3	-1	 lopez[0] is[0] of[0] course[0] beautiful[2] but[0] she[0] can[0] act[0] too[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
i can sense that she's honing in on her skills , for she comes off more natural here than she has in any of her previous ventures ( not that stone gave her much help in the loathsome u-turn ) . 	i can sense that she's honing in on her skills , for she comes off more natural here than she has in any of her previous ventures ( not that stone gave her much help in the loathsome you-turn ) .	1	-1	 i[0] can[0] sense[0] that[0] she's[0] honing[0] in[0] on[0] her[0] skills[0] for[0] she[0] comes[0] off[0] more[0] natural[0] here[0] than[0] she[0] has[0] in[0] any[0] of[0] her[0] previous[0] ventures[0] not[0] that[0] stone[0] gave[0] her[0] much[0] help[0] in[0] the[0] loathsome[0] u[0] turn[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the two actors have arresting chemistry with one another -- the best scene in the film , by far , is the seduction scene . 	the two actors have arresting chemistry with one another - the best scene in the film , by far , is the seduction scene .	2	-1	 the[0] two[0] actors[0] have[0] arresting[0] chemistry[0] with[0] one[0] another[0] the[0] best[1] scene[0] in[0] the[0] film[0] by[0] far[0] is[0] the[0] seduction[0] scene[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the brilliance of this scene is also due , in part , to soderbergh , for he cuts back and forth from their quiet discussion in a bar to the physical act which takes place a few minutes later . 	the brilliance of this scene is also due , in part , to soderbergh , for he cuts back and forth from their quiet discussion in a bar to the physical act which takes place a few minutes later .	2	-1	 the[0] brilliance[1] of[0] this[0] scene[0] is[0] also[0] due[0] in[0] part[0] to[0] soderbergh[0] for[0] he[0] cuts[0] back[0] and[0] forth[0] from[0] their[0] quiet[0] discussion[0] in[0] a[0] bar[0] to[0] the[0] physical[0] act[0] which[0] takes[0] place[0] a[0] few[0] minutes[0] later[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the scene is a series of soft nuances and glances , layered upon light dialogue , and the result is one of the better love scenes in recent cinema -- meaningful and engrossing . 	the scene is a series of soft nuances and glances , layered upon light dialogue , and the result is one of the better love scenes in recent cinema - meaningful and engrossing .	3	-1	 the[0] scene[0] is[0] a[0] series[0] of[0] soft[0] nuances[0] and[0] glances[0] layered[0] upon[0] light[0] dialogue[0] and[0] the[0] result[0] is[0] one[0] of[0] the[0] better[0] love[2] scenes[0] in[0] recent[0] cinema[0] meaningful[0] and[0] engrossing[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the supporting cast is strong , led by the always-reliable ving rhames . 	the supporting cast is strong , led by the always-reliable ving rhames .	2	-1	 the[0] supporting[1] cast[0] is[0] strong[0] led[0] by[0] the[0] always[0] reliable[0] ving[0] rhames[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
dennis farina , who plays karen's father , is good , as is don cheadle as the profoundly stupid villain . 	dennis farina , who plays karen's father , is good , as is don cheadle as the profoundly stupid villain .	2	-3	 dennis[0] farina[0] who[0] plays[1] karen's[0] father[0] is[0] good[1] as[0] is[0] don[0] cheadle[0] as[0] the[0] profoundly[0] stupid[-1] villain[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
steve zahn , who plays jack's nearly-brain dead accomplice glenn , steals all of his scenes ( and that's in a film where every scene is already at a high level ) . 	steve zahn , who plays jack's nearly-brain dead accomplice glen , steals all of his scenes ( and that's in a film where every scene is already at a high level ) .	2	-3	 steve[0] zahn[0] who[0] plays[1] jack's[0] nearly[0] brain[0] dead[-2] accomplice[0] glenn/glen[0] steals[-2] all[0] of[0] his[0] scenes[0] and[0] that's[0] in[0] a[0] film[0] where[0] every[0] scene[0] is[0] already[0] at[0] a[0] high[0] level[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
all of the actors are helped by the dialogue and the intelligently-constructed script by scott frank . 	all of the actors are helped by the dialogue and the intelligently-constructed script by scot frank .	2	-1	 all[0] of[0] the[0] actors[0] are[0] helped[0] by[0] the[0] dialogue[0] and[0] the[0] intelligently[1] constructed[0] script[0] by[0] scott/scot[0] frank[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
out of sight is certainly a light film , although there are a few heavy moments that will linger in the memory . 	out of sight is certainly a light film , although there are a few heavy moments that will linger in the memory .	1	-1	 out[0] of[0] sight[0] is[0] certainly[0] a[0] light[0] film[0] although[0] there[0] are[0] a[0] few[0] heavy[0] moments[0] that[0] will[0] linger[0] in[0] the[0] memory[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
overall , i can recommend it simply as great entertainment . 	overall , i can recommend it simply as great entertainment .	3	-1	 overall[0] i[0] can[0] recommend[0] it[0] simply[0] as[0] great[2] entertainment[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
not every film has to change your life , and it's nice to see a movie that uses the art to tell a great story and simply to entertain its viewers . 	not every film has to change your life , and it's nice to see a movie that uses the art to tell a great story and simply to entertain its viewers .	3	-1	 not[0] every[0] film[0] has[0] to[0] change[0] your[0] life[0] and[0] it's[0] nice[1] to[0] see[0] a[0] movie[0] that[0] uses[0] the[0] art[0] to[0] tell[0] a[0] great[2] story[0] and[0] simply[0] to[0] entertain[0] its[0] viewers[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
as for the book , this film is good enough to make me believe that there might be something in the text worth looking at . 	as for the book , this film is good enough to make me believe that there might be something in the text worth looking at .	2	-1	 as[0] for[0] the[0] book[0] this[0] film[0] is[0] good[1] enough[0] to[0] make[0] me[0] believe[0] that[0] there[0] might[0] be[0] something[0] in[0] the[0] text[0] worth[0] looking[0] at[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
