once again , the battle is dreamworks versus disney : earlier this year , the mammoth companies fought to the death with their end-of-the-world asteroid flicks , deep impact and armageddon . 	Translation	Positive	Negative	EmotionRationale
he heads to the city ( the city being a house a few miles away ) , where he finds a colorful bunch of circus bugs : a ladybug ( denis leary , who is spectacular ) , a black widow ( bonnie hunt ) , a caterpillar ( joe ranft ) , a butterfly ( madeline kahn ) , a rhinoceros beetle ( michael mcshane ) , and a stick ( david hyde-pierce , also giving a hilarious performance ) . 	he heads to the city ( the city being a house a few miles away ) , where he finds a colorful bunch of circus bugs : a ladybug ( denis leary , who is spectacular ) , a black widow ( bonnie hunt ) , a caterpillar ( joe ranft ) , a butterfly ( madeline kahn ) , a rhinoceros beetle ( michael mcshane ) , and a stick ( david hyde-pierce , also giving a hilarious performance ) .	3	-1	 he[0] heads[0] to[0] the[0] city[0] the[0] city[0] being[0] a[0] house[0] a[0] few[0] miles[0] away[0] where[0] he[0] finds[0] a[0] colorful[0] bunch[0] of[0] circus[0] bugs[0] a[0] ladybug[0] denis[0] leary[0] who[0] is[0] spectacular[0] a[0] black[0] widow[0] bonnie[0] hunt[0] a[0] caterpillar[0] joe[0] ranft[0] a[0] butterfly[0] madeline[0] kahn[0] a[0] rhinoceros[0] beetle[0] michael[0] mcshane[0] and[0] a[0] stick[0] david[0] hyde[0] pierce[0] also[0] giving[0] a[0] hilarious[2] performance[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
flick doesn't know they're actors , and they don't know that flick needs them to kill a bunch of grasshoppers , so they return to the colony with flick and find themselves in an unusual position . 	flick doesn't know they're actors , and they don't know that flick needs them to kill a bunch of grasshoppers , so they return to the colony with flick and find themselves in an unusual position .	1	-2	 flick[0] doesn't[0] know[0] they're[0] actors[0] and[0] they[0] don't[0] know[0] that[0] flick[0] needs[0] them[0] to[0] kill[-1] a[0] bunch[0] of[0] grasshoppers[0] so[0] they[0] return[0] to[0] the[0] colony[0] with[0] flick[0] and[0] find[0] themselves[0] in[0] an[0] unusual[0] position[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the most obvious element of a bug's life is the quality of animation . 	the most obvious element of a bug's life is the quality of animation .	1	-1	 the[0] most[0] obvious[0] element[0] of[0] a[0] bug's[0] life[0] is[0] the[0] quality[0] of[0] animation[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
created by pixar , the same people who brought us toy story , a bug's life has some of the most amazing visuals i've ever seen . 	created by pixar , the same people who brought us toy story , a bug's life has some of the most amazing visuals i've ever seen .	3	-1	 created[0] by[0] pixar[0] the[0] same[0] people[0] who[0] brought[0] us[0] toy[0] story[0] a[0] bug's[0] life[0] has[0] some[0] of[0] the[0] most[0] amazing[2] visuals[0] i've[0] ever[0] seen[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the bugs seem to inhabit a three-dimensional space , and occasionally there will be a shot that is indistinguishable from live action . 	the bugs seem to inhabit a three-dimensional space , and occasionally there will be a shot that is indistinguishable from live action .	1	-2	 the[0] bugs[0] seem[0] to[0] inhabit[0] a[0] three[0] dimensional[0] space[0] and[0] occasionally[0] there[0] will[0] be[0] a[0] shot[-1] that[0] is[0] indistinguishable[0] from[0] live[0] action[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this is a lush , colorful world , full of life and imagination : the way the animators insert the things all of us see in our daily lives ( matches , bottlecaps , tin cans , etc . ) and make them active objects in the bugs' world is innovative . 	this is a lush , colorful world , full of life and imagination : the way the animators insert the things all of us see in our daily lives ( matches , bottlecaps , tin cans , etc .<br> ) and make them active objects in the bugs' world is innovative .	1	-1	 this[0] is[0] a[0] lush[0] colorful[0] world[0] full[0] of[0] life[0] and[0] imagination[0] the[0] way[0] the[0] animators[0] insert[0] the[0] things[0] all[0] of[0] us[0] see[0] in[0] our[0] daily[0] lives[0] matches[0] bottlecaps[0] tin[0] cans[0] etc[0] [[Sentence=-1,1=word max, 1-5]] and[0] make[0] them[0] active[0] objects[0] in[0] the[0] bugs'[0] world[0] is[0] innovative[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the film is also mercilessly exciting , particularly in a superbly-staged scene involving our heroes' escape from a bird ( a little bird never seemed so huge and threatening ) . 	the film is also mercilessly exciting , particularly in a superbly-staged scene involving our heroes' escape from a bird ( a little bird never seemed so huge and threatening ) .	3	-3	 the[0] film[0] is[0] also[0] mercilessly[-1] exciting[2] particularly[0] in[0] a[0] superbly[0] staged[0] scene[0] involving[0] our[0] heroes'[2] escape[0] from[0] a[0] bird[0] a[0] little[0] bird[0] never[0] seemed[0] so[0] huge[0] and[0] threatening[-2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
but the makers of a bug's life know where the importance lies : story and characters . 	but the makers of a bug's life know where the importance lies : story and characters .	1	-3	 but[0] the[0] makers[0] of[0] a[0] bug's[0] life[0] know[0] where[0] the[0] importance[0] lies[-2] story[0] and[0] characters[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
flick , with solid voice work from foley , is a great guy to lead the story . 	flick , with solid voice work from foley , is a great guy to lead the story .	3	-1	 flick[0] with[0] solid[0] voice[0] work[0] from[0] foley[0] is[0] a[0] great[2] guy[0] to[0] lead[0] the[0] story[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
but the real treat comes with the circus bugs ; they're such a likable group of characters -- the standouts are the stick ( hyde-pierce is so good ) , francis the ladybug , and the big fat caterpillar . 	but the real treat comes with the circus bugs ; they're such a likable group of characters - the standouts are the stick ( hyde-pierce is so good ) , francis the ladybug , and the big fat caterpillar .	2	-2	 but[0] the[0] real[0] treat[1] comes[0] with[0] the[0] circus[0] bugs[0] they're[0] such[0] a[0] likable[0] group[0] of[0] characters[0] the[0] standouts[0] are[0] the[0] stick[0] hyde[0] pierce[0] is[0] so[0] good[1] francis[0] the[0] ladybug[0] and[0] the[0] big[0] fat[-1] caterpillar[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
all of these bugs have more than a token personality , which makes the suspenseful scenes work because we care about the bugs , and it also keeps the tear-jerking scenes from seeming obligatory . 	all of these bugs have more than a token personality , which makes the suspenseful scenes work because we care about the bugs , and it also keeps the tear-jerking scenes from seeming obligatory .	2	-2	 all[0] of[0] these[0] bugs[0] have[0] more[0] than[0] a[0] token[0] personality[0] which[0] makes[0] the[0] suspenseful[0] scenes[0] work[0] because[0] we[0] care[1] about[0] the[0] bugs[0] and[0] it[0] also[0] keeps[0] the[0] tear[-1] jerking[0] scenes[0] from[0] seeming[0] obligatory[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
in my review of antz , i said that the film is a clever cop-out because it presents a bunch of little humans reacting to an ant-like existence . 	in my review of antz , i said that the film is a clever cop-out because it presents a bunch of little humans reacting to an ant-like existence .	2	-1	 in[0] my[0] review[0] of[0] antz[0] i[0] said[0] that[0] the[0] film[0] is[0] a[0] clever[0] cop[0] out[0] because[0] it[0] presents[0] a[0] bunch[0] of[0] little[0] humans[0] reacting[0] to[0] an[0] ant[0] like[1] existence[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
in concept , a bug's life is basically the same movie , except that i was never given enough time to find things that i didn't like about it . 	in concept , a bug's life is basically the same movie , except that i was never given enough time to find things that i didn't like about it .	2	-1	 in[0] concept[0] a[0] bug's[0] life[0] is[0] basically[0] the[0] same[0] movie[0] except[0] that[0] i[0] was[0] never[0] given[0] enough[0] time[0] to[0] find[0] things[0] that[0] i[0] didn't[0] like[1] about[0] it[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
with such strong work in both animation and script , a bug's life is nothing but a joy to sit through . 	with such strong work in both animation and script , a bug's life is nothing but a joy to sit through .	3	-1	 with[0] such[0] strong[0] work[0] in[0] both[0] animation[0] and[0] script[0] a[0] bug's[0] life[0] is[0] nothing[0] but[0] a[0] joy[2] to[0] sit[0] through[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
it really is too bad that it had to come out so close to that other bug movie , but a bug's life is so good that i'm sure it will find its audience . 	it really is too bad that it had to come out so close to that other bug movie , but a bug's life is so good that i'm sure it will find its audience .	2	-2	 it[0] really[0] is[0] too[0] bad[-1] that[0] it[0] had[0] to[0] come[0] out[0] so[0] close[0] to[0] that[0] other[0] bug[-1] movie[0] but[0] a[0] bug's[0] life[0] is[0] so[0] good[1] that[0] i'm[0] sure[0] it[0] will[0] find[0] its[0] audience[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
after a slew of endlessly violent and cynical movies , it's downright refreshing to sit through an innocent picture like this and laugh without feeling guilty . 	after a slew of endlessly violent and cynical movies , it's downright refreshing to sit through an innocent picture like this and laugh without feeling guilty .	2	-4	 after[0] a[0] slew[0] of[0] endlessly[0] violent[-2] and[0] cynical[-1] movies[0] it's[0] downright[0] refreshing[0] to[0] sit[0] through[0] an[0] innocent[1] picture[0] like[1] this[0] and[0] laugh[1] without[0] feeling[0] guilty[-3] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
