i actually am a fan of the original 1961 or so live-action-disney flick of the same name starring hayley mills twice as a pair of twins , separated at birth by divorcing parents , never to come in contact with the other so the parents never have to meet again . 	Translation	Positive	Negative	EmotionRationale
and ( i'm repeating myself ) because it's cute and innocent fun . 	and ( i'm repeating myself ) because it's cute and innocent fun .	2	-1	 and[0] i'm[0] repeating[0] myself[0] because[0] it's[0] cute[1] and[0] innocent[1] fun[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
there's nothing too risque about it , save the plot ( the idea of separating twins and denying them the truth for years is ominously selfish , but that is precisely the point of the movie ) , and it's aimed directly at either kids , adults who want to remember the original , or young adults who want to remember what it was like to be a kid . 	there's nothing too risque about it , save the plot ( the idea of separating twins and denying them the truth for years is ominously selfish , but that is precisely the point of the movie ) , and it's aimed directly at either kids , adults who want to remember the original , or young adults who want to remember what it was like to be a kid .	2	-5	 there's[0] nothing[0] too[0] risque[0] about[0] it[0] save[1] the[0] plot[0] the[0] idea[0] of[0] separating[0] twins[0] and[0] denying[0] them[0] the[0] truth[1] for[0] years[0] is[0] ominously[-2] selfish[-3][-1 MultiplePositiveWords] but[0] that[0] is[0] precisely[0] the[0] point[0] of[0] the[0] movie[0] and[0] it's[0] aimed[0] directly[0] at[0] either[0] kids[0] adults[0] who[0] want[0] to[0] remember[0] the[0] original[0] or[0] young[0] adults[0] who[0] want[0] to[0] remember[0] what[0] it[0] was[0] like[1] to[0] be[0] a[0] kid[0] [[Sentence=-5,2=word max, 1-5]][[[2,-5 max of sentences]]]
i , personally , am somewhere between the second and third . 	i , personally , am somewhere between the second and third .	1	-1	 i[0] personally[0] am[0] somewhere[0] between[0] the[0] second[0] and[0] third[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i can vividly remember when my taste in movies wasn't so weird or diverse ( the names godard and kubrick weren't even a glimmer in my right eye back then ) , when i would tune in every sunday night for a couple years to see abc's " wonderful world of disney , " where they'd show you a live-action and/or made-for-tv disney flick an hour per week . 	i can vividly remember when my taste in movies wasn't so weird or diverse ( the names godard and kubrick weren't even a glimmer in my right eye back then ) , when i would tune in every sunday night for a couple years to see abc's " wonderful world of disney , " where they'd show you a live-action and/or made-for-tv disney flick an hour per week .	3	-2	 i[0] can[0] vividly[0] remember[0] when[0] my[0] taste[0] in[0] movies[0] wasn't[0] so[0] weird[-1] or[0] diverse[0] the[0] names[0] godard[0] and[0] kubrick[0] weren't[0] even[0] a[0] glimmer[0] in[0] my[0] right[0] eye[0] back[0] then[0] when[0] i[0] would[0] tune[0] in[0] every[0] sunday[0] night[0] for[0] a[0] couple[0] years[0] to[0] see[0] abc's[0] wonderful[2] world[0] of[0] disney[0] where[0] they'd[0] show[0] you[0] a[0] live[0] action[0] and/or[0] made[0] for[0] tv[0] disney[0] flick[0] an[0] hour[0] per[0] week[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
i can remember my mom taking my sister and i along with all my friends and their mothers to see all the rereleased disney films ( like " lady and the tramp " and " pinnochio " ) . 	i can remember my mom taking my sister and i along with all my friends and their mothers to see all the rereleased disney films ( like " lady and the tramp " and " pinnochio " ) .	2	-2	 i[0] can[0] remember[0] my[0] mom[0] taking[0] my[0] sister[0] and[0] i[0] along[0] with[0] all[0] my[0] friends[1] and[0] their[0] mothers[0] to[0] see[0] all[0] the[0] rereleased[0] disney[0] films[0] like[1] lady[0] and[0] the[0] tramp[-1] and[0] pinnochio[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
and , most sadly , i remember every single christmas , without fail , there were a barage of children's animated half-hour shows , made exclusively for the christmas season , that i wouldn't dare missing . 	and , most sadly , i remember every single christmas , without fail , there were a barage of children's animated half-hour shows , made exclusively for the christmas season , that i wouldn't dare missing .	1	-3	 and[0] most[0] sadly[-1] i[0] remember[0] every[0] single[0] christmas[0] without[0] fail[-2] there[0] were[0] a[0] barage[0] of[0] children's[0] animated[0] half[0] hour[0] shows[0] made[0] exclusively[0] for[0] the[0] christmas[0] season[0] that[0] i[0] wouldn't[0] dare[0] missing[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
i can even remember seeing the made-for-tv " parent trap ii " on tv one night , and after i had seen that one over and over and over again , i saw the original " parent trap . " 	i can even remember seeing the made-for-tv " parent trap i " on tv one night , and after i had seen that one over and over and over again , i saw the original " parent trap .<br> "	1	-2	 i[0] can[0] even[0] remember[0] seeing[0] the[0] made[0] for[0] tv[0] parent[0] trap[-1] ii/i[0] on[0] tv[0] one[0] night[0] and[0] after[0] i[0] had[0] seen[0] that[0] one[0] over[0] and[0] over[0] and[0] over[0] again[0] i[0] saw[0] the[0] original[0] parent[0] trap[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it's more of a late childhood movie , because it deals with the issue of divorce , but it deals with it in a disney-ized version . 	it's more of a late childhood movie , because it deals with the issue of divorce , but it deals with it in a disney-ized version .	1	-2	 it's[0] more[0] of[0] a[0] late[0] childhood[0] movie[0] because[0] it[0] deals[0] with[0] the[0] issue[0] of[0] divorce[-1] but[0] it[0] deals[0] with[0] it[0] in[0] a[0] disney[0] ized[0] version[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it's playful , and witty , and charming , and if i saw it for the first time right now , having never experienced that part of my childhood , i'd probably dismiss it . 	it's playful , and witty , and charming , and if i saw it for the first time right now , having never experienced that part of my childhood , i'd probably dismiss it .	2	-2	 it's[0] playful[1] and[0] witty[0] and[0] charming[1] and[0] if[0] i[0] saw[0] it[0] for[0] the[0] first[0] time[0] right[0] now[0] having[0] never[0] experienced[0] that[0] part[0] of[0] my[0] childhood[0] i'd[0] probably[0] dismiss[-1] it[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
i'd probably do the same for the new version of the same movie if i hadn't seen the original at such a perfect age . 	i'd probably do the same for the new version of the same movie if i hadn't seen the original at such a perfect age .	2	-1	 i'd[0] probably[0] do[0] the[0] same[0] for[0] the[0] new[0] version[0] of[0] the[0] same[0] movie[0] if[0] i[0] hadn't[0] seen[0] the[0] original[0] at[0] such[0] a[0] perfect[1] age[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
watching it , i could remember what fun it was to watch a disney film , and how divorce for me started to get me thinking about the possibilities of my seemingly-perfect parents splitting up , and how it affected my adolescence . 	watching it , i could remember what fun it was to watch a disney film , and how divorce for me started to get me thinking about the possibilities of my seemingly-perfect parents splitting up , and how it affected my adolescence .	2	-2	 watching[0] it[0] i[0] could[0] remember[0] what[0] fun[1] it[0] was[0] to[0] watch[0] a[0] disney[0] film[0] and[0] how[0] divorce[-1] for[0] me[0] started[0] to[0] get[0] me[0] thinking[0] about[0] the[0] possibilities[0] of[0] my[0] seemingly[0] perfect[1] parents[0] splitting[0] up[0] and[0] how[0] it[0] affected[0] my[0] adolescence[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
and also how it brushed that fear off with a smooth stroke , and pointed out that even in the most fucked-up of situations , things could always work out if you , well , manipulate things a bit , at least for the better . 	and also how it brushed that fear off with a smooth stroke , and pointed out that even in the most fucked-up of situations , things could always work out if you , well , manipulate things a bit , at least for the better .	1	-4	 and[0] also[0] how[0] it[0] brushed[0] that[0] fear[-3] off[0] with[0] a[0] smooth[0] stroke[0] and[0] pointed[0] out[0] that[0] even[0] in[0] the[0] most[0] fucked[-2] up[0] of[0] situations[0] things[0] could[0] always[0] work[0] out[0] if[0] you[0] well[0] manipulate[-1] things[0] a[0] bit[0] at[0] least[0] for[0] the[0] better[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
this new version did that for me , but it's also charming in its own way . 	this new version did that for me , but it's also charming in its own way .	2	-1	 this[0] new[0] version[0] did[0] that[0] for[0] me[0] but[0] it's[0] also[0] charming[1] in[0] its[0] own[0] way[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it has a new cast , a contemporary feel , and , for the first time in awhile for a live-action-disney flick , a tone that isn't corny or condescending , but just right . 	it has a new cast , a contemporary feel , and , for the first time in awhile for a live-action-disney flick , a tone that isn't corny or condescending , but just right .	1	-3	 it[0] has[0] a[0] new[0] cast[0] a[0] contemporary[0] feel[0] and[0] for[0] the[0] first[0] time[0] in[0] awhile[0] for[0] a[0] live[0] action[0] disney[0] flick[0] a[0] tone[0] that[0] isn't[0] corny[0] or[0] condescending[-2] but[0] just[0] right[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the moments that would otherwise seem corny are actually affecting in a safe kind of way . 	the moments that would otherwise seem corny are actually affecting in a safe kind of way .	2	-1	 the[0] moments[0] that[0] would[0] otherwise[0] seem[0] corny[0] are[0] actually[0] affecting[0] in[0] a[0] safe[1] kind[1] of[0] way[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
and for the first time since the original film , the kids actually know better than the foolish adults . 	and for the first time since the original film , the kids actually know better than the foolish adults .	1	-2	 and[0] for[0] the[0] first[0] time[0] since[0] the[0] original[0] film[0] the[0] kids[0] actually[0] know[0] better[0] than[0] the[0] foolish[-1] adults[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the story is basically classic by now , repeated almost as many times as kurosawa's " the seven samurai " : a pair of twins ( played here by lindsay lohan , just like they were played by hayley mills in the original ) are separated at birth by their divorcing parents . 	the story is basically classic by now , repeated almost as many times as kurosawa's " the seven samurai " : a pair of twins ( played here by lindsay lohan , just like they were played by hayley mills in the original ) are separated at birth by their divorcing parents .	1	-1	 the[0] story[0] is[0] basically[0] classic[0] by[0] now[0] repeated[0] almost[0] as[0] many[0] times[0] as[0] kurosawa's[0] the[0] seven[0] samurai[0] a[0] pair[0] of[0] twins[0] played[0] here[0] by[0] lindsay[0] lohan[0] just[0] like[1][-1 LastWordBoosterStrength] they[0] were[0] played[0] by[0] hayley[0] mills[0] in[0] the[0] original[0] are[0] separated[0] at[0] birth[0] by[0] their[0] divorcing[0] parents[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
one , annie , is sent to live with the mother ( natasha richardson , resembling her mother , vanessa redgrave , more than i had ever noticed ) in london , where she lives with her parents and her devoted , foppish butler ( simon kunz ) , as she works as a swingin' fashion designer . 	one , annie , is sent to live with the mother ( natasha richardson , resembling her mother , vanessa redgrave , more than i had ever noticed ) in london , where she lives with her parents and her devoted , foppish butler ( simon kunz ) , as she works as a swingin' fashion designer .	3	-1	 one[0] annie[0] is[0] sent[0] to[0] live[0] with[0] the[0] mother[0] natasha[0] richardson[0] resembling[0] her[0] mother[0] vanessa[0] redgrave[0] more[0] than[0] i[0] had[0] ever[0] noticed[0] in[0] london[0] where[0] she[0] lives[0] with[0] her[0] parents[0] and[0] her[0] devoted[2] foppish[0] butler[0] simon[0] kunz[0] as[0] she[0] works[0] as[0] a[0] swingin'[0] fashion[0] designer[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
she grows up refined and classy , but also with a keen knowledge in sports and poker-playing . 	she grows up refined and classy , but also with a keen knowledge in sports and poker-playing .	2	-1	 she[0] grows[0] up[0] refined[0] and[0] classy[0] but[0] also[0] with[0] a[0] keen[0] knowledge[0] in[0] sports[0] and[0] poker[0] playing[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the other , hallie , is sent to northern california with her father ( dennis quaid ) to live on a vineyard with their pseudo-maid ( lisa ann walter ) , and grows up rugged yet charming . 	the other , hallie , is sent to northern california with her father ( dennis quaid ) to live on a vineyard with their pseudo-maid ( lisa an walter ) , and grows up rugged yet charming .	2	-1	 the[0] other[0] hallie[0] is[0] sent[0] to[0] northern[0] california[0] with[0] her[0] father[0] dennis[0] quaid[0] to[0] live[0] on[0] a[0] vineyard[0] with[0] their[0] pseudo[0] maid[0] lisa[0] ann/an[0] walter[0] and[0] grows[0] up[0] rugged[0] yet[0] charming[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
they both meet at the same camp , one that annie wants to go to to become more rugged . 	they both meet at the same camp , one that annie wants to go to to become more rugged .	1	-1	 they[0] both[0] meet[0] at[0] the[0] same[0] camp[0] one[0] that[0] annie[0] wants[0] to[0] go[0] to[0] to[0] become[0] more[0] rugged[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they feud because they look all-too similar , and are thus in tight competition , which results in some nasty pranks , which winds them in seclusion together in a private , out-of-the-way cabin . 	they feud because they look all-too similar , and are thus in tight competition , which results in some nasty pranks , which winds them in seclusion together in a private , out-of-the-way cabin .	1	-3	 they[0] feud[-2] because[0] they[0] look[0] all[0] too[0] similar[0] and[0] are[0] thus[0] in[0] tight[0] competition[0] which[0] results[0] in[0] some[0] nasty[-2][--1 LastWordBoosterStrength] pranks[0] which[0] winds[0] them[0] in[0] seclusion[0] together[0] in[0] a[0] private[0] out[0] of[0] the[0] way[0] cabin[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
there , they become friends , then learn about eachother . 	there , they become friends , then learn about eachother .	2	-1	 there[0] they[0] become[0] friends[1] then[0] learn[0] about[0] eachother[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
once they know everything , they concoct a scheme to switch places so the one can meet the other parent , whom they've only heard of . 	once they know everything , they concoct a scheme to switch places so the one can meet the other parent , whom they've only heard of .	1	-1	 once[0] they[0] know[0] everything[0] they[0] concoct[0] a[0] scheme[0] to[0] switch[0] places[0] so[0] the[0] one[0] can[0] meet[0] the[0] other[0] parent[0] whom[0] they've[0] only[0] heard[0] of[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they learn about eachother's lives in detail , they make sure they look alike ( which requires hair cutting and , notoriously , ear-piercing - a scene which is like the kiddie version of the hypodermic needle scene in " pulp fiction " ) , and when the end of summer comes , they switch and hope for the best . 	they learn about eachother's lives in detail , they make sure they look alike ( which requires hair cutting and , notoriously , ear-piercing - a scene which is like the kiddie version of the hypodermic needle scene in " pulp fiction " ) , and when the end of summer comes , they switch and hope for the best .	3	-2	 they[0] learn[0] about[0] eachother's[0] lives[0] in[0] detail[0] they[0] make[0] sure[0] they[0] look[0] alike[0] which[0] requires[0] hair[0] cutting[0] and[0] notoriously[-1] ear[0] piercing[0] a[0] scene[0] which[0] is[0] like[1] the[0] kiddie[0] version[0] of[0] the[0] hypodermic[0] needle[0] scene[0] in[0] pulp[0] fiction[0] and[0] when[0] the[0] end[0] of[0] summer[0] comes[0] they[0] switch[0] and[0] hope[2] for[0] the[0] best[1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
lindsay lohan doesn't necessarily copy the acting style of hayley mills in the original . 	lindsay lohan doesn't necessarily copy the acting style of hayley mills in the original .	1	-1	 lindsay[0] lohan[0] doesn't[0] necessarily[0] copy[0] the[0] acting[0] style[0] of[0] hayley[0] mills[0] in[0] the[0] original[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but she comes off just as appealing as she did once . 	but she comes off just as appealing as she did once .	1	-1	 but[0] she[0] comes[0] off[0] just[0] as[0] appealing[0] as[0] she[0] did[0] once[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
she does , though , add a couple new things : she makes the california twin a little more appealing and the london twin a bit more frank and snobbish than the snotty and proper original , respectively . 	she does , though , add a couple new things : she makes the california twin a little more appealing and the london twin a bit more frank and snobbish than the snotty and proper original , respectively .	3	-3	 she[0] does[0] though[0] add[0] a[0] couple[0] new[0] things[0] she[0] makes[0] the[0] california[0] twin[0] a[0] little[0] more[0] appealing[0] and[0] the[0] london[0] twin[0] a[0] bit[0] more[0] frank[0] and[0] snobbish[-2] than[0] the[0] snotty[0] and[0] proper[0] original[0] respectively[2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
she also adds on an american and british accent to each one , with one faking the other accent throughout , and if you really take notice , you can see that the fake ones' accents aren't exactly perfect . 	she also adds on an american and british accent to each one , with one faking the other accent throughout , and if you really take notice , you can see that the fake ones' accents aren't exactly perfect .	1	-2	 she[0] also[0] adds[0] on[0] an[0] american[0] and[0] british[0] accent[0] to[0] each[0] one[0] with[0] one[0] faking[0] the[0] other[0] accent[0] throughout[0] and[0] if[0] you[0] really[0] take[0] notice[0] you[0] can[0] see[0] that[0] the[0] fake[-1] ones'[0] accents[0] aren't[0] exactly[0] perfect[1][NegatedDueToPreviousWord] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
she's also incredibly appealing , not merely cute , which is especially notable since this is her first feature film , and we know how notorious child actors are , especially in their first films . 	she's also incredibly appealing , not merely cute , which is especially notable since this is her first feature film , and we know how notorious child actors are , especially in their first films .	1	-2	 she's[0] also[0] incredibly[0] appealing[0] not[0] merely[0] cute[1][NegatedDueToPreviousWord] which[0] is[0] especially[0] notable[0] since[0] this[0] is[0] her[0] first[0] feature[0] film[0] and[0] we[0] know[0] how[0] notorious[-1] child[0] actors[0] are[0] especially[0] in[0] their[0] first[0] films[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
she makes a great protagonist , and it only helps that the supporting cast is equally appealing . 	she makes a great protagonist , and it only helps that the supporting cast is equally appealing .	3	-1	 she[0] makes[0] a[0] great[2] protagonist[0] and[0] it[0] only[0] helps[0] that[0] the[0] supporting[1] cast[0] is[0] equally[0] appealing[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
dennis quaid , in fact , hasn't been this likable in about a decade - his big dumb smile and near cocky attitude is what has made him a notable actor in the past , not just that he's mr . meg ryan . 	dennis quaid , in fact , hasn't been this likable in about a decade - his big dumb smile and near cocky attitude is what has made him a notable actor in the past , not just that he's mr .<br> meg ryan .	3	-2	 dennis[0] quaid[0] in[0] fact[0] hasn't[0] been[0] this[0] likable[0] in[0] about[0] a[0] decade[0] his[0] big[0] dumb[-1] smile[2] and[0] near[0] cocky[-1] attitude[0] is[0] what[0] has[0] made[0] him[0] a[0] notable[0] actor[0] in[0] the[0] past[0] not[0] just[0] that[0] he's[0] mr[0] [[Sentence=-2,3=word max, 1-5]] meg[0] ryan[0] [[Sentence=-1,1=word max, 1-5]][[[3,-2 max of sentences]]]
ditto natasha richardson ( except that she just hasn't ever been this likable period ) . 	ditto natasha richardson ( except that she just hasn't ever been this likable period ) .	1	-1	 ditto[0] natasha[0] richardson[0] except[0] that[0] she[0] just[0] hasn't[0] ever[0] been[0] this[0] likable[0] period[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the two make a winning couple , maybe not so winning as maureen o'hara and the late brian keith in the original , but they still work for this film . 	the two make a winning couple , maybe not so winning as maureen o'hara and the late brian keith in the original , but they still work for this film .	2	-2	 the[0] two[0] make[0] a[0] winning[1] couple[0] maybe[0] not[0] so[0] winning[1][NegatedDueToPreviousWord] as[0] maureen[0] o'hara[0] and[0] the[0] late[0] brian[0] keith[0] in[0] the[0] original[0] but[0] they[0] still[0] work[0] for[0] this[0] film[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
instead of the bickering that ensued in the original , the film adds another dimension and another angle to their characters that was amiss in the original : during the opening credits , we see glimpses from their courtship on the qe2 , where they fall quickly and madly in love with eachother , and when back together again , the film's more smarmy scenes come off as actually sentimental , but in that great way , not the migraine-inducing way as in many such films . 	instead of the bickering that ensued in the original , the film adds another dimension and another angle to their characters that was amiss in the original : during the opening credits , we see glimpses from their courtship on the qe2 , where they fall quickly and madly in love with eachother , and when back together again , the film's more smarmy scenes come off as actually sentimental , but in that great way , not the migraine-inducing way as in many such films .	3	-2	 instead[0] of[0] the[0] bickering[0] that[0] ensued[0] in[0] the[0] original[0] the[0] film[0] adds[0] another[0] dimension[0] and[0] another[0] angle[0] to[0] their[0] characters[0] that[0] was[0] amiss[-1] in[0] the[0] original[0] during[0] the[0] opening[0] credits[0] we[0] see[0] glimpses[0] from[0] their[0] courtship[0] on[0] the[0] qe2[0] where[0] they[0] fall[0] quickly[0] and[0] madly[1] in[0] love[2] with[0] eachother[0] and[0] when[0] back[0] together[0] again[0] the[0] film's[0] more[0] smarmy[0] scenes[0] come[0] off[0] as[0] actually[0] sentimental[2] but[0] in[0] that[0] great[2] way[0] not[0] the[0] migraine[0] inducing[0] way[0] as[0] in[0] many[0] such[0] films[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
this all brings this new " parent trap " to a level of entertainment that hasn't really existed since , well , the original film years ago , still my money the best live-action-disney flick of all time . 	this all brings this new " parent trap " to a level of entertainment that hasn't really existed since , well , the original film years ago , still my money the best live-action-disney flick of all time .	2	-2	 this[0] all[0] brings[0] this[0] new[0] parent[0] trap[-1] to[0] a[0] level[0] of[0] entertainment[0] that[0] hasn't[0] really[0] existed[0] since[0] well[0] the[0] original[0] film[0] years[0] ago[0] still[0] my[0] money[0] the[0] best[1] live[0] action[0] disney[0] flick[0] of[0] all[0] time[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
this is because it has a form of intelligence and wit that makes such plot points as an otherwise standard villainous love interest subplot ( a gold-digging sharon stone type , played by elaine hendrix , who's deliciously tormented by the twins later on in the film ) a treat instead of a bore . 	this is because it has a form of intelligence and wit that makes such plot points as an otherwise standard villainous love interest subplot ( a gold-digging sharon stone type , played by elaine hendrix , who's deliciously tormented by the twins later on in the film ) a treat instead of a bore .	3	-3	 this[0] is[0] because[0] it[0] has[0] a[0] form[0] of[0] intelligence[0] and[0] wit[0] that[0] makes[0] such[0] plot[0] points[0] as[0] an[0] otherwise[0] standard[0] villainous[-2] love[2] interest[1] subplot[0] a[0] gold[0] digging[0] sharon[0] stone[0] type[0] played[0] by[0] elaine[0] hendrix[0] who's[0] deliciously[2] tormented[0] by[0] the[0] twins[0] later[0] on[0] in[0] the[0] film[0] a[0] treat[1] instead[0] of[0] a[0] bore[-1] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
like the original , this film transcends all the crap that it very well could be ( case in point : " it takes two " starring the olsen twins ) because it treats the children as the smart ones , and the adults as the silly ones , not the other way around . 	like the original , this film transcends all the crap that it very well could be ( case in point : " it takes two " starring the olsen twins ) because it treats the children as the smart ones , and the adults as the silly ones , not the other way around .	2	-3	 like[1] the[0] original[0] this[0] film[0] transcends[0] all[0] the[0] crap[-2] that[0] it[0] very[0] well[0] could[0] be[0] case[0] in[0] point[0] it[0] takes[0] two[0] starring[0] the[0] olsen[0] twins[0] because[0] it[0] treats[0] the[0] children[0] as[0] the[0] smart[1] ones[0] and[0] the[0] adults[0] as[0] the[0] silly[-1] ones[0] not[0] the[0] other[0] way[0] around[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
and because , above everything , it knows exactly how to be charming without biting off more than it can chew . 	and because , above everything , it knows exactly how to be charming without biting off more than it can chew .	2	-1	 and[0] because[0] above[0] everything[0] it[0] knows[0] exactly[0] how[0] to[0] be[0] charming[1] without[0] biting[0] off[0] more[0] than[0] it[0] can[0] chew[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
however , in comparison with the original , it could be a bit better . 	however , in comparison with the original , it could be a bit better .	1	-1	 however[0] in[0] comparison[0] with[0] the[0] original[0] it[0] could[0] be[0] a[0] bit[0] better[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
