since 1990 , the dramatic picture has undergone a certain change of style . 	Translation	Positive	Negative	EmotionRationale
october sky is a skillfully crafted film , and most of that credit must go to director joe johnston . 	october sky is a skilfully crafted film , and most of that credit must go to director joe johnston .	1	-1	 october[0] sky[0] is[0] a[0] skillfully/skilfully[0] crafted[0] film[0] and[0] most[0] of[0] that[0] credit[0] must[0] go[0] to[0] director[0] joe[0] johnston[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
johnston -- whose career in the film industry includes everything from directing well-known titles like jumanji and the rocketeer down to an uncredited role as a death star trooper in star wars -- certainly knows what he's doing here . 	johnston - whose career in the film industry includes everything from directing well-known titles like jumanji and the rocketeer down to an uncredited role as a death star trooper in star wars - certainly knows what he's doing here .	2	-3	 johnston[0] whose[0] career[0] in[0] the[0] film[0] industry[0] includes[0] everything[0] from[0] directing[0] well[0] known[0] titles[0] like[1] jumanji[0] and[0] the[0] rocketeer[0] down[0] to[0] an[0] uncredited[0] role[0] as[0] a[0] death[-2] star[0] trooper[0] in[0] star[0] wars[-2] certainly[0] knows[0] what[0] he's[0] doing[0] here[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
he molds characters which are true to life and also fun to watch into a plot that is straightforward and robust . 	he molds characters which are true to life and also fun to watch into a plot that is straightforward and robust .	2	-1	 he[0] molds[0] characters[0] which[0] are[0] true[1] to[0] life[0] and[0] also[0] fun[1] to[0] watch[0] into[0] a[0] plot[0] that[0] is[0] straightforward[0] and[0] robust[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
he does not push any barriers , but instead adopts a conservative style of filmmaking which enhances the film's charm . 	he does not push any barriers , but instead adopts a conservative style of filmmaking which enhances the film's charm .	2	-2	 he[0] does[0] not[0] push[0] any[0] barriers[-1] but[0] instead[0] adopts[0] a[0] conservative[0] style[0] of[0] filmmaking[0] which[0] enhances[0] the[0] film's[0] charm[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
his finesse brings out elements which might otherwise be lost -- such as the relationships between homer and various mine workers , or the silent struggle between homer's mother and father . 	his finesse brings out elements which might otherwise be lost - such as the relationships between homer and various mine workers , or the silent struggle between homer's mother and father .	1	-2	 his[0] finesse[0] brings[0] out[0] elements[0] which[0] might[0] otherwise[0] be[0] lost[0] such[0] as[0] the[0] relationships[0] between[0] homer[0] and[0] various[0] mine[0] workers[0] or[0] the[0] silent[0] struggle[-1] between[0] homer's[0] mother[0] and[0] father[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the cast is well chosen , although the true bright spots are the supporting roles . 	the cast is well chosen , although the true bright spots are the supporting roles .	2	-1	 the[0] cast[0] is[0] well[0] chosen[0] although[0] the[0] true[1] bright[0] spots[0] are[0] the[0] supporting[1] roles[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
laura dern ( jurassic park ) lends a strong performance in the role of the history teacher , giving the boys the support and guidance they need . 	laura dern ( jurassic park ) lends a strong performance in the role of the history teacher , giving the boys the support and guidance they need .	2	-1	 laura[0] dern[0] jurassic[0] park[0] lends[0] a[0] strong[0] performance[0] in[0] the[0] role[0] of[0] the[0] history[0] teacher[0] giving[0] the[0] boys[0] the[0] support[1] and[0] guidance[0] they[0] need[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
her role is instantly likeable . 	her role is instantly likeable .	3	-1	 her[0] role[0] is[0] instantly[0] likeable[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
chris cooper ( the horse whisperer ) , as homer's father , is less likeable -- even downright despicable at times -- but his turn here gives gravity to the movie . 	chris cooper ( the horse whisperer ) , as homer's father , is less likeable - even downright despicable at times - but his turn here gives gravity to the movie .	3	-4	 chris[0] cooper[0] the[0] horse[0] whisperer[0] as[0] homer's[0] father[0] is[0] less[0] likeable[2] even[0] downright[0] despicable[-3] at[0] times[0] but[0] his[0] turn[0] here[0] gives[0] gravity[0] to[0] the[0] movie[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
he's definitely a driving force in homer's life , and his more humane moments give the piece a certain dynamic that is commendable . 	he's definitely a driving force in homer's life , and his more humane moments give the piece a certain dynamic that is commendable .	2	-2	 he's[0] definitely[0] a[0] driving[0] force[-1] in[0] homer's[0] life[0] and[0] his[0] more[0] humane[0] moments[0] give[0] the[0] piece[0] a[0] certain[0] dynamic[1] that[0] is[0] commendable[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the script is generally cheerful , projecting the boys' endeavors in a lighthearted manner . 	the script is generally cheerful , projecting the boys' endeavors in a lighthearted manner .	3	-1	 the[0] script[0] is[0] generally[0] cheerful[2] projecting[0] the[0] boys'[0] endeavors[0] in[0] a[0] lighthearted[0] manner[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
there are moments when it becomes predictable -- such as the train tracks scene -- and there are moments when it sacrifices orginality for the need to come up with an emotional plot twist . 	there are moments when it becomes predictable - such as the train tracks scene - and there are moments when it sacrifices orginality for the need to come up with an emotional plot twist .	1	-2	 there[0] are[0] moments[0] when[0] it[0] becomes[0] predictable[0] such[0] as[0] the[0] train[0] tracks[0] scene[0] and[0] there[0] are[0] moments[0] when[0] it[0] sacrifices[0] orginality[0] for[0] the[0] need[0] to[0] come[0] up[0] with[0] an[0] emotional[-1] plot[0] twist[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it highlights the essence of youth , however , and for its exceptional job at this it can be forgiven other missteps . 	it highlights the essence of youth , however , and for its exceptional job at this it can be forgiven other missteps .	2	-1	 it[0] highlights[0] the[0] essence[0] of[0] youth[0] however[0] and[0] for[0] its[0] exceptional[0] job[0] at[0] this[0] it[0] can[0] be[0] forgiven[1] other[0] missteps[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
october sky should be a success with audiences . 	october sky should be a success with audiences .	3	-1	 october[0] sky[0] should[0] be[0] a[0] success[2] with[0] audiences[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
although it doesn't have the appeal of current teen flicks like varsity blues or she's all that , it certainly holds an undeniable quality that older crowds will lean towards . 	although it doesn't have the appeal of current teen flicks like varsity blues or she's all that , it certainly holds an undeniable quality that older crowds will lean towards .	2	-1	 although[0] it[0] doesn't[0] have[0] the[0] appeal[0] of[0] current[0] teen[0] flicks[0] like[1] varsity[0] blues[0] or[0] she's[0] all[0] that[0] it[0] certainly[0] holds[0] an[0] undeniable[0] quality[0] that[0] older[0] crowds[0] will[0] lean[0] towards[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it's a welcome change to the dramatic genre , and one that everyone should see . 	it's a welcome change to the dramatic genre , and one that everyone should see .	2	-1	 it's[0] a[0] welcome[1] change[0] to[0] the[0] dramatic[0] genre[0] and[0] one[0] that[0] everyone[0] should[0] see[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
