anastasia contains something that has been lacking from all of the recent disney releases . . . 	Translation	Positive	Negative	EmotionRationale
there are a lot of complexities that may have to be explained to the kids later , but it moves along fast enough that they'll never have time to be bored . 	there are a lot of complexities that may have to be explained to the kids later , but it moves along fast enough that they'll never have time to be bored .	1	-2	 there[0] are[0] a[0] lot[0] of[0] complexities[0] that[0] may[0] have[0] to[0] be[0] explained[0] to[0] the[0] kids[0] later[0] but[0] it[0] moves[0] along[0] fast[0] enough[0] that[0] they'll[0] never[0] have[0] time[0] to[0] be[0] bored[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
what this really means is that the adults won't be bored by it either . 	what this really means is that the adults won't be bored by it either .	2	-1	 what[0] this[0] really[0] means[0] is[0] that[0] the[0] adults[0] won't[0] be[0] bored[-1][NegatedDueToPreviousWord] by[0] it[0] either[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
there is a great deal of banter between anya and dimitri that is very funny , and their relationship develops quite naturally as the film progresses . 	there is a great deal of banter between anya and dimitri that is very funny , and their relationship develops quite naturally as the film progresses .	3	-1	 there[0] is[0] a[0] great[2] deal[0] of[0] banter[0] between[0] anya[0] and[0] dimitri[0] that[0] is[0] very[0] funny[1][1 LastWordBoosterStrength] and[0] their[0] relationship[0] develops[0] quite[0] naturally[0] as[0] the[0] film[0] progresses[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
there is , of course , lots of comedy for the kids , including rasputin's pet bat , bartok ( hank azaria ) , who is easily the funniest thing in the film . 	there is , of course , lots of comedy for the kids , including rasputin's pet bat , bartok ( hank azaria ) , who is easily the funniest thing in the film .	2	-1	 there[0] is[0] of[0] course[0] lots[0] of[0] comedy[0] for[0] the[0] kids[0] including[0] rasputin's[0] pet[0] bat[0] bartok[0] hank[0] azaria[0] who[0] is[0] easily[0] the[0] funniest[1] thing[0] in[0] the[0] film[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
however , the comical scenes never distract from the drama , but are worked into the plot almost seamlessly . 	however , the comical scenes never distract from the drama , but are worked into the plot almost seamlessly .	2	-1	 however[0] the[0] comical[0] scenes[0] never[0] distract[-1][NegatedDueToPreviousWord] from[0] the[0] drama[0] but[0] are[0] worked[0] into[0] the[0] plot[0] almost[0] seamlessly[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the animation is gorgeous - the characters seem to come to life through the talented animators . 	the animation is gorgeous - the characters seem to come to life through the talented animators .	3	-1	 the[0] animation[0] is[0] gorgeous[2] the[0] characters[0] seem[0] to[0] come[0] to[0] life[0] through[0] the[0] talented[1] animators[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
not since beauty & the beast have animated characters had so much life to them . 	not since beauty & the beast have animated characters had so much life to them .	1	-3	 not[0] since[0] beauty[2][NegatedDueToPreviousWord] &[0] the[0] beast[0] have[0] animated[0] characters[0] had[0] so[0] much[0] life[0] to[0] them[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
even without the voices , they act . 	even without the voices , they act .	1	-1	 even[0] without[0] the[0] voices[0] they[0] act[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the musical number in paris is a show-stopper , with some of the backgrounds rendered in an impressionist painting style . 	the musical number in paris is a show-stopper , with some of the backgrounds rendered in an impressionist painting style .	1	-1	 the[0] musical[0] number[0] in[0] paris[0] is[0] a[0] show[0] stopper[0] with[0] some[0] of[0] the[0] backgrounds[0] rendered[0] in[0] an[0] impressionist[0] painting[0] style[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as with all recent animated features , there are songs , however , these songs do more than just provide fodder for top-40 singers to get on the radio ( although there are three of them during the end credits ) . 	as with all recent animated features , there are songs , however , these songs do more than just provide fodder for top-40 singers to get on the radio ( although there are three of them during the end credits ) .	1	-1	 as[0] with[0] all[0] recent[0] animated[0] features[0] there[0] are[0] songs[0] however[0] these[0] songs[0] do[0] more[0] than[0] just[0] provide[0] fodder[0] for[0] top[0] -40[0] singers[0] to[0] get[0] on[0] the[0] radio[0] although[0] there[0] are[0] three[0] of[0] them[0] during[0] the[0] end[0] credits[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the songs are all very catchy , and advance the plot , instead of just being showpieces ( except for the paris number , but that's so much fun , it's okay . . . ) . 	the songs are all very catchy , and advance the plot , instead of just being showpieces ( except for the paris number , but that's so much fun , it's okay .<br> .<br> .<br> ) .	2	-1	 the[0] songs[0] are[0] all[0] very[0] catchy[0] and[0] advance[0] the[0] plot[0] instead[0] of[0] just[0] being[0] showpieces[0] except[0] for[0] the[0] paris[0] number[0] but[0] that's[0] so[0] much[0] fun[1] it's[0] okay[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i can't reccomend anastasia highly enough . 	i can't reccomend anastasia highly enough .	1	-1	 i[0] can't[0] reccomend[0] anastasia[0] highly[0] enough[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's a wonderful film that ranks right up there with other animated classics . 	it's a wonderful film that ranks right up there with other animated classics .	3	-1	 it's[0] a[0] wonderful[2] film[0] that[0] ranks[0] right[0] up[0] there[0] with[0] other[0] animated[0] classics[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
kids and adults alike will enjoy it , and it's also nice to have a quality animated feature film from another studio besides disney . 	kids and adults alike will enjoy it , and it's also nice to have a quality animated feature film from another studio besides disney .	3	-1	 kids[0] and[0] adults[0] alike[0] will[0] enjoy[2] it[0] and[0] it's[0] also[0] nice[1] to[0] have[0] a[0] quality[0] animated[0] feature[0] film[0] from[0] another[0] studio[0] besides[0] disney[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
