it's been a good long while since we had a good old fashioned thriller , where mostly everything goes right for the audience and wrong for the characters , but it's been even longer since i saw a thriller that actually * shock * cared for the characters , not merely judged them but actually allowed their human foibles , flaws , and strengths to emerge so radiantly . 	Translation	Positive	Negative	EmotionRationale
so while steps are taken to neatly cover things up , and these subsequent steps go miserably awry , the film choses to never loose the sight that in covering things up to the extent that these characters have to , they are slowly losing their souls and their humanity . 	so while steps are taken to neatly cover things up , and these subsequent steps go miserably awry , the film choses to never loose the sight that in covering things up to the extent that these characters have to , they are slowly losing their souls and their humanity .	1	-3	 so[0] while[0] steps[0] are[0] taken[0] to[0] neatly[0] cover[0] things[0] up[0] and[0] these[0] subsequent[0] steps[0] go[0] miserably[-2] awry[0] the[0] film[0] choses[0] to[0] never[0] loose[0] the[0] sight[0] that[0] in[0] covering[0] things[0] up[0] to[0] the[0] extent[0] that[0] these[0] characters[0] have[0] to[0] they[0] are[0] slowly[0] losing[-2] their[0] souls[0] and[0] their[0] humanity[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
in one early scene , paxton and thornton have to make a trip back to the plane to return some of the money so it doesn't look like it was all stolen ( not a bad idea ) , when thornton screws up ( as he does continuously throughout the movie ) , and paxton has to do some major covering-up ( read : homicide ) . 	in one early scene , paxton and thornton have to make a trip back to the plane to return some of the money so it doesn't look like it was all stolen ( not a bad idea ) , when thornton screws up ( as he does continuously throughout the movie ) , and paxton has to do some major covering-up ( read : homicide ) .	2	-2	 in[0] one[0] early[0] scene[0] paxton[0] and[0] thornton[0] have[0] to[0] make[0] a[0] trip[0] back[0] to[0] the[0] plane[0] to[0] return[0] some[0] of[0] the[0] money[0] so[0] it[0] doesn't[0] look[0] like[1] it[0] was[0] all[0] stolen[-1] not[0] a[0] bad[-1][NegatedDueToPreviousWord] idea[0] when[0] thornton[0] screws[0] up[0] as[0] he[0] does[0] continuously[0] throughout[0] the[0] movie[0] and[0] paxton[0] has[0] to[0] do[0] some[0] major[0] covering[0] up[0] read[0] homicide[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
instead of a quick murder and immeadiate hands-washing , raimi shows a lengthy , painful shot from a low-angle onto paxton's face as he tries to sift through his emotions and reach a conclusion . 	instead of a quick murder and immeadiate hands-washing , raimi shows a lengthy , painful shot from a low-angle onto paxton's face as he tries to sift through his emotions and reach a conclusion .	1	-4	 instead[0] of[0] a[0] quick[0] murder[-3] and[0] immeadiate[0] hands[0] washing[0] raimi[0] shows[0] a[0] lengthy[0] painful[-3] shot[-1] from[0] a[0] low[-1] angle[0] onto[0] paxton's[0] face[0] as[0] he[0] tries[0] to[0] sift[0] through[0] his[0] emotions[0] and[0] reach[0] a[0] conclusion[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
there's a similar shot afterwards of paxton watching the murder he's committing and taking in all the horror which is also wonderfully effective , but the previous shot is even better : more morally complex and more gut-wrenching . 	there's a similar shot afterwards of paxton watching the murder he's committing and taking in all the horror which is also wonderfully effective , but the previous shot is even better : more morally complex and more gut-wrenching .	3	-4	 there's[0] a[0] similar[0] shot[-1] afterwards[0] of[0] paxton[0] watching[0] the[0] murder[-3] he's[0] committing[0] and[0] taking[0] in[0] all[0] the[0] horror[-3] which[0] is[0] also[0] wonderfully[2] effective[0] but[0] the[0] previous[0] shot[-1] is[0] even[0] better[0] more[0] morally[0] complex[0] and[0] more[0] gut[0] wrenching[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
in short , probably the best piece of direction raimi's ever done , demonstrating once again that sometimes the simplest way to do something yields the best results ( for further proof , watch " persona " 's " sex scene " and witness what may be the best scene ingmar bergman's ever done ) . 	in short , probably the best piece of direction raimi's ever done , demonstrating once again that sometimes the simplest way to do something yields the best results ( for further proof , watch " persona " 's " sex scene " and witness what may be the best scene ingmar bergman's ever done ) .	2	-1	 in[0] short[0] probably[0] the[0] best[1] piece[0] of[0] direction[0] raimi's[0] ever[0] done[0] demonstrating[0] once[0] again[0] that[0] sometimes[0] the[0] simplest[0] way[0] to[0] do[0] something[0] yields[0] the[0] best[1] results[0] for[0] further[0] proof[0] watch[0] persona[0] 's[0] sex[0] scene[0] and[0] witness[0] what[0] may[0] be[0] the[0] best[1] scene[0] ingmar[0] bergman's[0] ever[0] done[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
but the film hardly stops here ; it follows completely through and rarely loses sight of its characters humanity and the depletion thereof . 	but the film hardly stops here ; it follows completely through and rarely loses sight of its characters humanity and the depletion thereof .	1	-2	 but[0] the[0] film[0] hardly[0] stops[0] here[0] it[0] follows[0] completely[0] through[0] and[0] rarely[0] loses[-1] sight[0] of[0] its[0] characters[0] humanity[0] and[0] the[0] depletion[0] thereof[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
yet it also moves from step to step in such a graceful method that we never feel like the film is merely stamping out the plot points of the story . 	yet it also moves from step to step in such a graceful method that we never feel like the film is merely stamping out the plot points of the story .	3	-2	 yet[0] it[0] also[0] moves[0] from[0] step[0] to[0] step[0] in[0] such[0] a[0] graceful[2] method[0] that[0] we[0] never[0] feel[0] like[1][NegatedDueToPreviousWord] the[0] film[0] is[0] merely[0] stamping[0] out[0] the[0] plot[0] points[0] of[0] the[0] story[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
when the time comes for paxton to start becoming selfish and thus diabolical ( with aid from his pregnant wife , played by bridget fonda , a pal to raimi ) , he does , and soon the horror of the situation is escalating to tragic heights . 	when the time comes for paxton to start becoming selfish and thus diabolical ( with aid from his pregnant wife , played by bridget fonda , a pal to raimi ) , he does , and soon the horror of the situation is escalating to tragic heights .	1	-4	 when[0] the[0] time[0] comes[0] for[0] paxton[0] to[0] start[0] becoming[0] selfish[-3] and[0] thus[0] diabolical[-1] with[0] aid[0] from[0] his[0] pregnant[0] wife[0] played[0] by[0] bridget[0] fonda[0] a[0] pal[0] to[0] raimi[0] he[0] does[0] and[0] soon[0] the[0] horror[-3] of[0] the[0] situation[0] is[0] escalating[0] to[0] tragic[-2] heights[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
there's at least two grand shootouts , and at least one of them may be one of the greatest shootouts in cinema history , and when they arrive , they don't come with masochistic delight but with cringe-inducing horror . 	there's at least two grand shootouts , and at least one of them may be one of the greatest shootouts in cinema history , and when they arrive , they don't come with masochistic delight but with cringe-inducing horror .	3	-4	 there's[0] at[0] least[0] two[0] grand[1] shootouts[-1] and[0] at[0] least[0] one[0] of[0] them[0] may[0] be[0] one[0] of[0] the[0] greatest[2] shootouts[-1] in[0] cinema[0] history[0] and[0] when[0] they[0] arrive[0] they[0] don't[0] come[0] with[0] masochistic[-2] delight[2] but[0] with[0] cringe[-1] inducing[0] horror[-3] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
during the one , i was actually sinking into my chair , with the mantra " they can't do this , can they ? " 	during the one , i was actually sinking into my chair , with the mantra " they can't do this , can they ?<br> "	1	-1	 during[0] the[0] one[0] i[0] was[0] actually[0] sinking[0] into[0] my[0] chair[0] with[0] the[0] mantra[0] they[0] can't[0] do[0] this[0] can[0] they[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
streeming through my head . 	streeming through my head .	1	-1	 streeming[0] through[0] my[0] head[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in fact , this film , which is getting many comparisons to the coen's [superior , but forget about it] " fargo , " has many similar moments of manic insanity , attributed to the major amount of subtlety and restraint with which the directors direct what , in other hands , would be over-the-top distractedness ( imagine , i suppose , robert rodriguez directing this . . . then 	in fact , this film , which is getting many comparisons to the coen's [superior , but forget about it] " fargo , " has many similar moments of manic insanity , attributed to the major amount of subtlety and restraint with which the directors direct what , in other hands , would be over-the-top distractedness ( imagine , i suppose , robert rodriguez directing this .<br> .<br> .<br> then	1	-2	 in[0] fact[0] this[0] film[0] which[0] is[0] getting[0] many[0] comparisons[0] to[0] the[0] coen's[0] [superior[0] but[0] forget[0] about[0] it][0] fargo[0] has[0] many[0] similar[0] moments[0] of[0] manic[0] insanity[0] attributed[0] to[0] the[0] major[0] amount[0] of[0] subtlety[0] and[0] restraint[0] with[0] which[0] the[0] directors[0] direct[0] what[0] in[0] other[0] hands[0] would[0] be[0] over[0] the[0] top[0] distractedness[-1] imagine[0] i[0] suppose[0] robert[0] rodriguez[0] directing[0] this[0] [[Sentence=-2,1=word max, 1-5]] then[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
again , after seeing the " evil dead " films , i'd hardly assume raimi would be able to pull something like this off , although there are moments of the film which are easily dubbed " raimi " moments , a rifle-shot notwithstanding ) . 	again , after seeing the " evil dead " films , i'd hardly assume raimi would be able to pull something like this off , although there are moments of the film which are easily dubbed " raimi " moments , a rifle-shot notwithstanding ) .	2	-4	 again[0] after[0] seeing[0] the[0] evil[-2] dead[-2][-1 MultiplePositiveWords] films[0] i'd[0] hardly[0] assume[0] raimi[0] would[0] be[0] able[0] to[0] pull[0] something[0] like[1] this[0] off[0] although[0] there[0] are[0] moments[0] of[0] the[0] film[0] which[0] are[0] easily[0] dubbed[0] raimi[0] moments[0] a[0] rifle[0] shot[-1] notwithstanding[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
instead , raimi directs with maturity and a gentle touch , easily letting the story and characters co-exist , while still letting some of the more traditional raimi elements come out , like some offbeat comic touches . 	instead , raimi directs with maturity and a gentle touch , easily letting the story and characters co-exist , while still letting some of the more traditional raimi elements come out , like some offbeat comic touches .	2	-1	 instead[0] raimi[0] directs[0] with[0] maturity[0] and[0] a[0] gentle[1] touch[0] easily[0] letting[0] the[0] story[0] and[0] characters[0] co[0] exist[0] while[0] still[0] letting[0] some[0] of[0] the[0] more[0] traditional[0] raimi[0] elements[0] come[0] out[0] like[1] some[0] offbeat[0] comic[0] touches[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
most particularly , billy bob thornton's character , jacob , is a brilliant creation . 	most particularly , billy bob thornton's character , jacob , is a brilliant creation .	2	-1	 most[0] particularly[0] billy[0] bob[0] thornton's[0] character[0] jacob[0] is[0] a[0] brilliant[1] creation[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
his dim-wittedness is often hilarious ( for most of the film , every line he uttered was greeted with howling laughter ) , but there's authenticity to the performance that strangely enough makes sure that we're not totally laughing at him . 	his dim-wittedness is often hilarious ( for most of the film , every line he uttered was greeted with howling laughter ) , but there's authenticity to the performance that strangely enough makes sure that we're not totally laughing at him .	3	-3	 his[0] dim[-1] wittedness[0] is[0] often[0] hilarious[2] for[0] most[0] of[0] the[0] film[0] every[0] line[0] he[0] uttered[0] was[0] greeted[0] with[0] howling[0] laughter[1] but[0] there's[0] authenticity[0] to[0] the[0] performance[0] that[0] strangely[0] enough[0] makes[0] sure[0] that[0] we're[0] not[0] totally[0] laughing[1][1 LastWordBoosterStrength][NegatedDueToPreviousWord] at[0] him[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
the chuckles he gets are not necessarily ones of full-condescension because thornton is so damn real . 	the chuckles he gets are not necessarily ones of full-condescension because thornton is so damn real .	3	-3	 the[0] chuckles[2] he[0] gets[0] are[0] not[0] necessarily[0] ones[0] of[0] full[0] condescension[-2] because[0] thornton[0] is[0] so[0] damn[-1] real[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
jacob's a multi-dimensional character , and while being stupid , we see that as not so much a flaw , but a strength to his character : his simplicity is endearing and many of the acts he commits are out of a strong inner strength and belief system , primarily towards the middle where his bud and co-conspirator begins to make some heavy waves concerning the money . 	jacob's a multi-dimensional character , and while being stupid , we see that as not so much a flaw , but a strength to his character : his simplicity is endearing and many of the acts he commits are out of a strong inner strength and belief system , primarily towards the middle where his bud and co-conspirator begins to make some heavy waves concerning the money .	1	-2	 jacob's[0] a[0] multi[0] dimensional[0] character[0] and[0] while[0] being[0] stupid[-1] we[0] see[0] that[0] as[0] not[0] so[0] much[0] a[0] flaw[-1] but[0] a[0] strength[0] to[0] his[0] character[0] his[0] simplicity[0] is[0] endearing[0] and[0] many[0] of[0] the[0] acts[0] he[0] commits[0] are[0] out[0] of[0] a[0] strong[0] inner[0] strength[0] and[0] belief[0] system[0] primarily[0] towards[0] the[0] middle[0] where[0] his[0] bud[0] and[0] co[0] conspirator[-1] begins[0] to[0] make[0] some[0] heavy[0] waves[0] concerning[-1] the[0] money[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the final third of the film spends much time with him , and many of the touches upon his character , not only by thornton but also by screenwriter scott b . smith ( adapting his own book , by the way ) are just great . 	the final third of the film spends much time with him , and many of the touches upon his character , not only by thornton but also by screenwriter scot b .<br> smith ( adapting his own book , by the way ) are just great .	2	-1	 the[0] final[0] third[0] of[0] the[0] film[0] spends[0] much[0] time[0] with[0] him[0] and[0] many[0] of[0] the[0] touches[0] upon[0] his[0] character[0] not[0] only[0] by[0] thornton[0] but[0] also[0] by[0] screenwriter[0] scott/scot[0] b[0] [[Sentence=-1,1=word max, 1-5]] smith[0] adapting[0] his[0] own[0] book[0] by[0] the[0] way[0] are[0] just[0] great[2][-1 LastWordBoosterStrength] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i particularly admired a back story about an old high school girlfriend , told by thornton with such sincerity and acception that the cruel story is reversed to near-sweetness and further strength of his saddened character . 	i particularly admired a back story about an old high school girlfriend , told by thornton with such sincerity and acception that the cruel story is reversed to near-sweetness and further strength of his saddened character .	3	-4	 i[0] particularly[0] admired[2] a[0] back[0] story[0] about[0] an[0] old[0] high[0] school[0] girlfriend[0] told[0] by[0] thornton[0] with[0] such[0] sincerity[0] and[0] acception[0] that[0] the[0] cruel[-3] story[0] is[0] reversed[0] to[0] near[0] sweetness[2] and[0] further[0] strength[0] of[0] his[0] saddened[-3] character[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
thornton is absolutely brilliant in this performance , by far the best performance he's ever given and further proof that he's the best character actor in contemporary cinema ( if you don't believe me , go back and watch his wonderful performance in " primary colors , " a performance that would have been nominated for an oscar if this hadn't been in the same year ) because he's easily able to slip into a character , and make him completely and utterly believable . 	thornton is absolutely brilliant in this performance , by far the best performance he's ever given and further proof that he's the best character actor in contemporary cinema ( if you don't believe me , go back and watch his wonderful performance in " primary colors , " a performance that would have been nominated for an oscar if this hadn't been in the same year ) because he's easily able to slip into a character , and make him completely and utterly believable .	3	-1	 thornton[0] is[0] absolutely[0] brilliant[1][1 LastWordBoosterStrength] in[0] this[0] performance[0] by[0] far[0] the[0] best[1] performance[0] he's[0] ever[0] given[0] and[0] further[0] proof[0] that[0] he's[0] the[0] best[1] character[0] actor[0] in[0] contemporary[0] cinema[0] if[0] you[0] don't[0] believe[0] me[0] go[0] back[0] and[0] watch[0] his[0] wonderful[2] performance[0] in[0] primary[0] colors[0] a[0] performance[0] that[0] would[0] have[0] been[0] nominated[0] for[0] an[0] oscar[0] if[0] this[0] hadn't[0] been[0] in[0] the[0] same[0] year[0] because[0] he's[0] easily[0] able[0] to[0] slip[0] into[0] a[0] character[0] and[0] make[0] him[0] completely[0] and[0] utterly[0] believable[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
he brings so much weight to the film that , as it is with most character actors , it's difficult picturing anyone else in the role . 	he brings so much weight to the film that , as it is with most character actors , it's difficult picturing anyone else in the role .	1	-2	 he[0] brings[0] so[0] much[0] weight[0] to[0] the[0] film[0] that[0] as[0] it[0] is[0] with[0] most[0] character[0] actors[0] it's[0] difficult[-1] picturing[0] anyone[0] else[0] in[0] the[0] role[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the rest of the cast is great too , from paxton's declining working man to chelcie ross' amiable town sheriff . 	the rest of the cast is great too , from paxton's declining working man to chelcie ross' amiable town sheriff .	3	-1	 the[0] rest[0] of[0] the[0] cast[0] is[0] great[2] too[0] from[0] paxton's[0] declining[0] working[0] man[0] to[0] chelcie[0] ross'[0] amiable[2] town[0] sheriff[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
even fonda shows off her talents nicely . 	even fonda shows off her talents nicely .	2	-1	 even[0] fonda[0] shows[0] off[0] her[0] talents[1] nicely[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
and if i had any complaints about the film , it's that the plot is almost too simplistic , and that at times , it seems too much like an exercise , like a cruel test on humanity that still pays attention to the humanity involved . 	and if i had any complaints about the film , it's that the plot is almost too simplistic , and that at times , it seems too much like an exercise , like a cruel test on humanity that still pays attention to the humanity involved .	2	-4	 and[0] if[0] i[0] had[0] any[0] complaints[-1] about[0] the[0] film[0] it's[0] that[0] the[0] plot[0] is[0] almost[0] too[0] simplistic[-1] and[0] that[0] at[0] times[0] it[0] seems[0] too[0] much[0] like[1] an[0] exercise[0] like[1] a[0] cruel[-3] test[0] on[0] humanity[0] that[0] still[0] pays[0] attention[0] to[0] the[0] humanity[0] involved[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
and the occasional narration is , as it usually is , annoying ( narration should be used with extreme caution , especially when you're trying to set things up and/or express emotions - didn't raimi watch the first murder scene ? ) . 	and the occasional narration is , as it usually is , annoying ( narration should be used with extreme caution , especially when you're trying to set things up and/or express emotions - didn't raimi watch the first murder scene ?<br> ) .	1	-4	 and[0] the[0] occasional[0] narration[0] is[0] as[0] it[0] usually[0] is[0] annoying[-2] narration[0] should[0] be[0] used[0] with[0] extreme[0] caution[0] especially[0] when[0] you're[0] trying[0] to[0] set[0] things[0] up[0] and/or[0] express[0] emotions[0] didn't[0] raimi[0] watch[0] the[0] first[0] murder[-3] scene[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
and , the thing that can most usually go wrong with a movie , the ending is basically amiss . 	and , the thing that can most usually go wrong with a movie , the ending is basically amiss .	1	-2	 and[0] the[0] thing[0] that[0] can[0] most[0] usually[0] go[0] wrong[-1] with[0] a[0] movie[0] the[0] ending[0] is[0] basically[0] amiss[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i won't reveal it , but it's way too cruel and too much of an outsider set-up , as if the appearance of a plane wasn't already too much of that anyway . 	i won't reveal it , but it's way too cruel and too much of an outsider set-up , as if the appearance of a plane wasn't already too much of that anyway .	1	-4	 i[0] won't[0] reveal[0] it[0] but[0] it's[0] way[0] too[0] cruel[-3] and[0] too[0] much[0] of[0] an[0] outsider[-1] set[0] up[0] as[0] if[0] the[0] appearance[0] of[0] a[0] plane[0] wasn't[0] already[0] too[0] much[0] of[0] that[0] anyway[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
for a film that deals so much and so intimately with the humanity of the characters involved , this is the wrong ending . 	for a film that deals so much and so intimately with the humanity of the characters involved , this is the wrong ending .	1	-2	 for[0] a[0] film[0] that[0] deals[0] so[0] much[0] and[0] so[0] intimately[0] with[0] the[0] humanity[0] of[0] the[0] characters[0] involved[0] this[0] is[0] the[0] wrong[-1] ending[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
