clint eastwood , in his ripe old age , is cashing one talent in for another . 	Translation	Positive	Negative	EmotionRationale
the weird circle of entertainment . 	the weird circle of entertainment .	1	-2	 the[0] weird[-1] circle[0] of[0] entertainment[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this is where the stable of supporting characters comes in . 	this is where the stable of supporting characters comes in .	2	-2	 this[0] is[0] where[0] the[0] stable[-1] of[0] supporting[1] characters[0] comes[0] in[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
there's the requisite sexy woman ( alison " nepotist's daughter " eastwood ) , the strange piano player , the voodoo woman and the transvestite . 	there's the requisite sexy woman ( alison " nepotist's daughter " eastwood ) , the strange piano player , the voodoo woman and the transvestite .	3	-1	 there's[0] the[0] requisite[0] sexy[2] woman[0] alison[0] nepotist's[0] daughter[0] eastwood[0] the[0] strange[0] piano[0] player[0] the[0] voodoo[0] woman[0] and[0] the[0] transvestite[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
miss chablis deserves a paragraph of his/her own , as the stealer of every scene she appears in -- what would this movie be without the castilian scene and her testimony ? 	miss chablis deserves a paragraph of his/her own , as the stealer of every scene she appears in - what would this movie be without the castilian scene and her testimony ?	2	-3	 miss[-1] chablis[0] deserves[0] a[0] paragraph[0] of[0] his/her[0] own[0] as[0] the[0] stealer[-2] of[0] every[0] scene[0] she[0] appears[0] in[0] what[0] would[0] this[0] movie[0] be[0] without[0] the[0] castilian[0] scene[0] and[0] her[0] testimony[0] [[Sentence=-3,1=word max, 1-5]] [[changed to +2 due to 'miss']][[[2,-3 max of sentences]]]
chablis , playing herself , is five times funnier than reigning drag queen rupaul , but never seems exploited as the movie's comic relief or out of place in a basically serious movie . 	chablis , playing herself , is five times funnier than reigning drag queen rupaul , but never seems exploited as the movie's comic relief or out of place in a basically serious movie .	2	-2	 chablis[0] playing[1] herself[0] is[0] five[0] times[0] funnier[1] than[0] reigning[0] drag[-1] queen[0] rupaul[0] but[0] never[0] seems[0] exploited[0] as[0] the[0] movie's[0] comic[0] relief[1] or[0] out[0] of[0] place[0] in[0] a[0] basically[0] serious[-1] movie[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
there are also a fair share of courtroom scenes , which these days almost never seem welcome in a movie , but even here clint manages to keep the movie fascinating . 	there are also a fair share of courtroom scenes , which these days almost never seem welcome in a movie , but even here clint manages to keep the movie fascinating .	1	-2	 there[0] are[0] also[0] a[0] fair[0] share[0] of[0] courtroom[0] scenes[0] which[0] these[0] days[0] almost[0] never[0] seem[0] welcome[1][NegatedDueToPreviousWord] in[0] a[0] movie[0] but[0] even[0] here[0] clint[0] manages[0] to[0] keep[0] the[0] movie[0] fascinating[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
certainly the characterizations of the judge and spacey's lawyer both help immensely , as does having the fly-guy as the jury's foreman . 	certainly the characterizations of the judge and spacey's lawyer both help immensely , as does having the fly-guy as the jury's foreman .	1	-1	 certainly[0] the[0] characterizations[0] of[0] the[0] judge[0] and[0] spacey's[0] lawyer[0] both[0] help[0] immensely[0] as[0] does[0] having[0] the[0] fly[0] guy[0] as[0] the[0] jury's[0] foreman[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's here we realize the case boils down to an indictment of spacey's homosexuality . 	it's here we realize the case boils down to an indictment of spacey's homosexuality .	1	-2	 it's[0] here[0] we[0] realize[0] the[0] case[0] boils[0] down[0] to[0] an[0] indictment[-1] of[0] spacey's[0] homosexuality[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
yes , spacey had a sexual relationship with the dead man -- before he shot him , of course . 	yes , spacey had a sexual relationship with the dead man - before he shot him , of course .	1	-3	 yes[0] spacey[0] had[0] a[0] sexual[0] relationship[0] with[0] the[0] dead[-2] man[0] before[0] he[0] shot[-1] him[0] of[0] course[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
midnight in the garden of good and evil isn't a classic , but it is one of the better celebrity-directed , true-story best-seller adaptations out there . 	midnight in the garden of good and evil isn't a classic , but it is one of the better celebrity-directed , true-story best-seller adaptations out there .	2	-3	 midnight[0] in[0] the[0] garden[0] of[0] good[1] and[0] evil[-2] isn't[0] a[0] classic[0] but[0] it[0] is[0] one[0] of[0] the[0] better[0] celebrity[0] directed[0] true[1] story[0] best[1] seller[0] adaptations[0] out[0] there[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
likewise , no one from this movie will be getting any oscar nominations , but the performances are all great . 	likewise , no one from this movie will be getting any oscar nominations , but the performances are all great .	3	-1	 likewise[0] no[0] one[0] from[0] this[0] movie[0] will[0] be[0] getting[0] any[0] oscar[0] nominations[0] but[0] the[0] performances[0] are[0] all[0] great[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
in fact , i'd almost recommend that the academy add a best supporting transvestite category . 	in fact , i'd almost recommend that the academy add a best supporting transvestite category .	2	-1	 in[0] fact[0] i'd[0] almost[0] recommend[0] that[0] the[0] academy[0] add[0] a[0] best[1] supporting[1] transvestite[0] category[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
serving america for more than 1/25th of a century ! 	serving america for more than 1/25th of a century !	1	-1	 serving[0] america[0] for[0] more[0] than[0] 1/25th[0] of[0] a[0] century[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
