martin scorsese's films used to intimidate me . 	Translation	Positive	Negative	EmotionRationale
scorsese and long-time editor thelma schoonmaker were kind enough to allow the possibility that the child was taking his cues from the monk . 	scorsese and long-time editor thelma schoonmaker were kind enough to allow the possibility that the child was taking his cues from the monk .	2	-1	 scorsese[0] and[0] long[0] time[0] editor[0] thelma[0] schoonmaker[0] were[0] kind[1] enough[0] to[0] allow[0] the[0] possibility[0] that[0] the[0] child[0] was[0] taking[0] his[0] cues[0] from[0] the[0] monk[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
before selecting an item , he would look at the monk , perhaps for some sort of confirmation . 	before selecting an item , he would look at the monk , perhaps for some sort of confirmation .	1	-1	 before[0] selecting[0] an[0] item[0] he[0] would[0] look[0] at[0] the[0] monk[0] perhaps[0] for[0] some[0] sort[0] of[0] confirmation[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
sometimes he picked right the first time , and sometimes he made a second choice . 	sometimes he picked right the first time , and sometimes he made a second choice .	1	-1	 sometimes[0] he[0] picked[0] right[0] the[0] first[0] time[0] and[0] sometimes[0] he[0] made[0] a[0] second[0] choice[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
either way , whether through reincarnation or quick human perception , the tibetans were assured of choosing a boy who could be a wise , perceptive leader . 	either way , whether through reincarnation or quick human perception , the tibetans were assured of choosing a boy who could be a wise , perceptive leader .	1	-1	 either[0] way[0] whether[0] through[0] reincarnation[0] or[0] quick[0] human[0] perception[0] the[0] tibetans[0] were[0] assured[0] of[0] choosing[0] a[0] boy[0] who[0] could[0] be[0] a[0] wise[0] perceptive[0] leader[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 from this point on , the boy is raised as the reincarnation of the lama's spirit and the future leader of a nation . 	 from this point on , the boy is raised as the reincarnation of the lama's spirit and the future leader of a nation .	1	-1	 from[0] this[0] point[0] on[0] the[0] boy[0] is[0] raised[0] as[0] the[0] reincarnation[0] of[0] the[0] lama's[0] spirit[0] and[0] the[0] future[0] leader[0] of[0] a[0] nation[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it is a great weight to put on the mind of a child . 	it is a great weight to put on the mind of a child .	3	-1	 it[0] is[0] a[0] great[2] weight[0] to[0] put[0] on[0] the[0] mind[0] of[0] a[0] child[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
in the u . s . it might be grounds for a call to social services . 	in the you .<br> s .<br> it might be grounds for a call to social services .	1	-1	 in[0] the[0] u[0] [[Sentence=-1,1=word max, 1-5]] s[0] [[Sentence=-1,1=word max, 1-5]] it[0] might[0] be[0] grounds[0] for[0] a[0] call[0] to[0] social[0] services[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but the young lama accepts his destiny without any apparent emotional damage . 	but the young lama accepts his destiny without any apparent emotional damage .	1	-2	 but[0] the[0] young[0] lama[0] accepts[0] his[0] destiny[0] without[0] any[0] apparent[0] emotional[-1] damage[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
neither the great power nor the awesome responsibility keeps him from becoming a genuinely likeable , well-rounded person . 	neither the great power nor the awesome responsibility keeps him from becoming a genuinely likeable , well-rounded person .	3	-1	 neither[0] the[0] great[2] power[0] nor[0] the[0] awesome[2] responsibility[0] keeps[0] him[0] from[0] becoming[0] a[0] genuinely[0] likeable[2] well[0] rounded[0] person[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
certain patterns take shape over the years . 	certain patterns take shape over the years .	1	-1	 certain[0] patterns[0] take[0] shape[0] over[0] the[0] years[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
for example , the dalai lama is fascinated by technology . 	for example , the dalai lama is fascinated by technology .	1	-1	 for[0] example[0] the[0] dalai[0] lama[0] is[0] fascinated[0] by[0] technology[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
radios , clocks , and telescopes are some of his favorite toys . 	radios , clocks , and telescopes are some of his favorite toys .	2	-1	 radios[0] clocks[0] and[0] telescopes[0] are[0] some[0] of[0] his[0] favorite[1] toys[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
when he is old enough to accept his leadership , he makes plans to modernize isolated tibet . 	when he is old enough to accept his leadership , he makes plans to modernize isolated tibet .	1	-2	 when[0] he[0] is[0] old[0] enough[0] to[0] accept[0] his[0] leadership[0] he[0] makes[0] plans[0] to[0] modernize[0] isolated[-1] tibet[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he also has a soft spot for creatures who are suffering or in pain , including herd animals . 	he also has a soft spot for creatures who are suffering or in pain , including herd animals .	1	-4	 he[0] also[0] has[0] a[0] soft[0] spot[0] for[0] creatures[0] who[0] are[0] suffering[-3] or[0] in[0] pain[-3] including[0] herd[0] animals[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
it's nearly a running gag that he will buy sheep to keep them from being herded to slaughter . 	it's nearly a running gag that he will buy sheep to keep them from being herded to slaughter .	1	-2	 it's[0] nearly[0] a[0] running[0] gag[0] that[0] he[0] will[0] buy[0] sheep[0] to[0] keep[0] them[0] from[0] being[0] herded[0] to[0] slaughter[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but the most ominous constant throughout his life is the presence and threat of tibet's gigantic neighbor , china . 	but the most ominous constant throughout his life is the presence and threat of tibet's gigantic neighbor , china .	1	-3	 but[0] the[0] most[0] ominous[-2] constant[0] throughout[0] his[0] life[0] is[0] the[0] presence[0] and[0] threat[-2] of[0] tibet's[0] gigantic[0] neighbor[0] china[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
tibet and its leaders prove correct in fearing china , as , first the propaganda , then the political pressure , and finally the armies , come across their common border . 	tibet and its leaders prove correct in fearing china , as , first the propaganda , then the political pressure , and finally the armies , come across their common border .	1	-3	 tibet[0] and[0] its[0] leaders[0] prove[0] correct[0] in[0] fearing[-2] china[0] as[0] first[0] the[0] propaganda[-1] then[0] the[0] political[0] pressure[-1] and[0] finally[0] the[0] armies[0] come[0] across[0] their[0] common[0] border[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the chinese invasion is so successful that the lama's life is in danger if he stays . 	the chinese invasion is so successful that the lama's life is in danger if he stays .	3	-2	 the[0] chinese[0] invasion[0] is[0] so[0] successful[2] that[0] the[0] lama's[0] life[0] is[0] in[0] danger[-1] if[0] he[0] stays[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the movie ends when , after much agonizing , the dalai lama leaves tibet for india . 	the movie ends when , after much agonizing , the dalai lama leaves tibet for india .	1	-4	 the[0] movie[0] ends[0] when[0] after[0] much[0] agonizing[-3] the[0] dalai[0] lama[0] leaves[0] tibet[0] for[0] india[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the story doesn't lead up to a cinematic climax as strongly as most feature films do . 	the story doesn't lead up to a cinematic climax as strongly as most feature films do .	1	-1	 the[0] story[0] doesn't[0] lead[0] up[0] to[0] a[0] cinematic[0] climax[0] as[0] strongly[0] as[0] most[0] feature[0] films[0] do[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it just doesn't fit that mold . 	it just doesn't fit that mold .	1	-1	 it[0] just[0] doesn't[0] fit[0] that[0] mold[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
if it were forced into such a shape it would have been a completely different movie ( perhaps more like seven years in tibet , which is good in its own right ) . 	if it were forced into such a shape it would have been a completely different movie ( perhaps more like seven years in tibet , which is good in its own right ) .	2	-1	 if[0] it[0] were[0] forced[0] into[0] such[0] a[0] shape[0] it[0] would[0] have[0] been[0] a[0] completely[0] different[0] movie[0] perhaps[0] more[0] like[1] seven[0] years[0] in[0] tibet[0] which[0] is[0] good[1] in[0] its[0] own[0] right[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the pacing of kundun is more calm and level than that . 	the pacing of kundun is more calm and level than that .	2	-1	 the[0] pacing[0] of[0] kundun[0] is[0] more[0] calm[1] and[0] level[0] than[0] that[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the structure of the film is made to fit the characters and events , not vice-versa . 	the structure of the film is made to fit the characters and events , not vice-versa .	2	-1	 the[0] structure[0] of[0] the[0] film[0] is[0] made[0] to[0] fit[0] the[0] characters[0] and[0] events[0] not[0] vice[-1][NegatedDueToPreviousWord] versa[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
perhaps because the pace is slower , we have more time to notice the beautiful art , vestments , and architecture of tibet . 	perhaps because the pace is slower , we have more time to notice the beautiful art , vestments , and architecture of tibet .	3	-1	 perhaps[0] because[0] the[0] pace[0] is[0] slower[0] we[0] have[0] more[0] time[0] to[0] notice[0] the[0] beautiful[2] art[0] vestments[0] and[0] architecture[0] of[0] tibet[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
a mandala , ( tibetan sand painting ) with beautiful , vibrant colors is shown throughout the movie . 	a mandala , ( tibetan sand painting ) with beautiful , vibrant colors is shown throughout the movie .	3	-1	 a[0] mandala[0] tibetan[0] sand[0] painting[0] with[0] beautiful[2] vibrant[0] colors[0] is[0] shown[0] throughout[0] the[0] movie[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the robes and hats of state are bright red and gold . 	the robes and hats of state are bright red and gold .	1	-1	 the[0] robes[0] and[0] hats[0] of[0] state[0] are[0] bright[0] red[0] and[0] gold[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the bricks are a rich reddish brown , not unlike the skin tone of the tibetans . 	the bricks are a rich reddish brown , not unlike the skin tone of the tibetans .	1	-1	 the[0] bricks[0] are[0] a[0] rich[0] reddish[0] brown[0] not[0] unlike[0] the[0] skin[0] tone[0] of[0] the[0] tibetans[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
even the touchstone pictures logo before the movie ( which is usually light blue ) is the red and gold of tibet . 	even the touchstone pictures logo before the movie ( which is usually light blue ) is the red and gold of tibet .	1	-1	 even[0] the[0] touchstone[0] pictures[0] logo[0] before[0] the[0] movie[0] which[0] is[0] usually[0] light[0] blue[0] is[0] the[0] red[0] and[0] gold[0] of[0] tibet[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
philip glass composed the music for kundun , and he was the perfect choice . 	philip glass composed the music for kundun , and he was the perfect choice .	2	-1	 philip[0] glass[0] composed[0] the[0] music[0] for[0] kundun[0] and[0] he[0] was[0] the[0] perfect[1] choice[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
for those who don't know of glass , his music is like a tibetan mandala . 	for those who don't know of glass , his music is like a tibetan mandala .	2	-1	 for[0] those[0] who[0] don't[0] know[0] of[0] glass[0] his[0] music[0] is[0] like[1] a[0] tibetan[0] mandala[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
his building blocks are lots of small notes , tiny grains of music , which are first grouped , then repeated in patterns . 	his building blocks are lots of small notes , tiny grains of music , which are first grouped , then repeated in patterns .	1	-2	 his[0] building[0] blocks[-1] are[0] lots[0] of[0] small[0] notes[0] tiny[0] grains[0] of[0] music[0] which[0] are[0] first[0] grouped[0] then[0] repeated[0] in[0] patterns[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
these patterns create interesting textures which are themselves part of a larger composition . 	these patterns create interesting textures which are themselves part of a larger composition .	2	-1	 these[0] patterns[0] create[0] interesting[1] textures[0] which[0] are[0] themselves[0] part[0] of[0] a[0] larger[0] composition[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
people won't be flocking to kundun for it's great ending , or talking about its outstanding plot , but it does have a lot to offer : an interesting lifetime , exotic sights , rich cinematography , and innovative music . 	people won't be flocking to kundun for it's great ending , or talking about its outstanding plot , but it does have a lot to offer : an interesting lifetime , exotic sights , rich cinematography , and innovative music .	3	-1	 people[0] won't[0] be[0] flocking[0] to[0] kundun[0] for[0] it's[0] great[2] ending[0] or[0] talking[0] about[0] its[0] outstanding[2] plot[0] but[0] it[0] does[0] have[0] a[0] lot[0] to[0] offer[0] an[0] interesting[1] lifetime[0] exotic[0] sights[0] rich[0] cinematography[0] and[0] innovative[0] music[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
it gives interesting insight into tibetan buddhism and takes a warm look at the dalai lama as a person . 	it gives interesting insight into tibetan buddhism and takes a warm look at the dalai lama as a person .	2	-1	 it[0] gives[0] interesting[1] insight[0] into[0] tibetan[0] buddhism[0] and[0] takes[0] a[0] warm[0] look[0] at[0] the[0] dalai[0] lama[0] as[0] a[0] person[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
on top of it all is the cinematic mastery of martin scorsese , who gives the film a strong , beautiful , consistent look . 	on top of it all is the cinematic mastery of martin scorsese , who gives the film a strong , beautiful , consistent look .	3	-1	 on[0] top[0] of[0] it[0] all[0] is[0] the[0] cinematic[0] mastery[0] of[0] martin[0] scorsese[0] who[0] gives[0] the[0] film[0] a[0] strong[0] beautiful[2] consistent[0] look[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
