while watching boiler room , i was constantly reminded of last year's masterpiece fight club . 	Translation	Positive	Negative	EmotionRationale
at this point , seth is left with the ultimate choice ; continue with the american dream and make millions or tell the authorities that something fishy is going on . 	at this point , seth is left with the ultimate choice ; continue with the american dream and make millions or tell the authorities that something fishy is going on .	1	-1	 at[0] this[0] point[0] seth[0] is[0] left[0] with[0] the[0] ultimate[0] choice[0] continue[0] with[0] the[0] american[0] dream[0] and[0] make[0] millions[0] or[0] tell[0] the[0] authorities[0] that[0] something[0] fishy[0] is[0] going[0] on[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
ribisi is believable as seth especially when he shares scenes with ron rifkin , playing seth's dad . 	ribisi is believable as seth especially when he shares scenes with ron rifkin , playing seth's dad .	2	-1	 ribisi[0] is[0] believable[0] as[0] seth[0] especially[0] when[0] he[0] shares[0] scenes[0] with[0] ron[0] rifkin[0] playing[1] seth's[0] dad[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the two have perfect chemistry as a troubled father and son trying to impress each other and simultaneously impress themselves . 	the two have perfect chemistry as a troubled father and son trying to impress each other and simultaneously impress themselves .	2	-2	 the[0] two[0] have[0] perfect[1] chemistry[0] as[0] a[0] troubled[-1] father[0] and[0] son[0] trying[0] to[0] impress[1] each[0] other[0] and[0] simultaneously[0] impress[1] themselves[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the transitions from anger to sympathy that these scenes contain are the standout segments of the entire film . 	the transitions from anger to sympathy that these scenes contain are the standout segments of the entire film .	1	-4	 the[0] transitions[0] from[0] anger[-3] to[0] sympathy[0] that[0] these[0] scenes[0] contain[0] are[0] the[0] standout[0] segments[0] of[0] the[0] entire[0] film[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the supporting cast of greedy co-workers is also flawless . 	the supporting cast of greedy co-workers is also flawless .	2	-3	 the[0] supporting[1] cast[0] of[0] greedy[-2] co[0] workers[0] is[0] also[0] flawless[1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
ben affleck shines in a short but sweet performance as a recruiter for the company , nicky katt is fabulous as the ostensibly friendly boss who eventually becomes extremely jealous of seth , and vin diesel gives his best performance of his career as the foil character of nicky katt . 	ben affleck shines in a short but sweet performance as a recruiter for the company , nicky katt is fabulous as the ostensibly friendly boss who eventually becomes extremely jealous of seth , and vin diesel gives his best performance of his career as the foil character of nicky katt .	3	-5	 ben[0] affleck[0] shines[0] in[0] a[0] short[0] but[0] sweet[1] performance[0] as[0] a[0] recruiter[0] for[0] the[0] company[0] nicky[0] katt[0] is[0] fabulous[2] as[0] the[0] ostensibly[0] friendly[1] boss[0] who[0] eventually[0] becomes[0] extremely[0] jealous[-2][-2 LastWordBoosterStrength] of[0] seth[0] and[0] vin[0] diesel[0] gives[0] his[0] best[1] performance[0] of[0] his[0] career[0] as[0] the[0] foil[0] character[0] of[0] nicky[0] katt[0] [[Sentence=-5,3=word max, 1-5]][[[3,-5 max of sentences]]]
the energy of the cast as a whole makes boiler room well paced and never boring . 	the energy of the cast as a whole makes boiler room well paced and never boring .	2	-1	 the[0] energy[0] of[0] the[0] cast[0] as[0] a[0] whole[0] makes[0] boiler[0] room[0] well[0] paced[0] and[0] never[0] boring[-1][NegatedDueToPreviousWord] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the only major error in the film is that nothing major happens . 	the only major error in the film is that nothing major happens .	1	-2	 the[0] only[0] major[0] error[-1] in[0] the[0] film[0] is[0] that[0] nothing[0] major[0] happens[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
there is no big plot twist or climatic point to make the film more memorable . 	there is no big plot twist or climatic point to make the film more memorable .	1	-1	 there[0] is[0] no[0] big[0] plot[0] twist[0] or[0] climatic[0] point[0] to[0] make[0] the[0] film[0] more[0] memorable[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
due to the lack of a major event , boiler room never finds a suitable genre to fit into . 	due to the lack of a major event , boiler room never finds a suitable genre to fit into .	1	-2	 due[0] to[0] the[0] lack[-1] of[0] a[0] major[0] event[0] boiler[0] room[0] never[0] finds[0] a[0] suitable[0] genre[0] to[0] fit[0] into[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the movie is not intense enough to be a thriller , the romantic segments involving seth and abby ( nia long ) are not properly finalized , and the dialogue isn't funny enough to make it a comedy . 	the movie is not intense enough to be a thriller , the romantic segments involving seth and aby ( nia long ) are not properly finalized , and the dialogue isn't funny enough to make it a comedy .	4	-2	 the[0] movie[0] is[0] not[0] intense[0] enough[0] to[0] be[0] a[0] thriller[1] the[0] romantic[3] segments[0] involving[0] seth[0] and[0] abby/aby[0] nia[0] long[0] are[0] not[0] properly[0] finalized[0] and[0] the[0] dialogue[0] isn't[0] funny[1][NegatedDueToPreviousWord] enough[0] to[0] make[0] it[0] a[0] comedy[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
in having trouble to characterize the movie as a whole , boiler room is slightly confused at times . 	in having trouble to characterize the movie as a whole , boiler room is slightly confused at times .	1	-2	 in[0] having[0] trouble[-1] to[0] characterize[0] the[0] movie[0] as[0] a[0] whole[0] boiler[0] room[0] is[0] slightly[0] confused[-1][--1 LastWordBoosterStrength] at[0] times[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it doesn't seem to know which category to fit itself into . 	it doesn't seem to know which category to fit itself into .	1	-1	 it[0] doesn't[0] seem[0] to[0] know[0] which[0] category[0] to[0] fit[0] itself[0] into[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
one satisfying concluding scene could have changed the whole film for the better . 	one satisfying concluding scene could have changed the whole film for the better .	2	-1	 one[0] satisfying[1] concluding[0] scene[0] could[0] have[0] changed[0] the[0] whole[0] film[0] for[0] the[0] better[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
otherwise , the movie is fun to watch thanks to its lively cast of young actors . 	otherwise , the movie is fun to watch thanks to its lively cast of young actors .	2	-1	 otherwise[0] the[0] movie[0] is[0] fun[1] to[0] watch[0] thanks[1] to[0] its[0] lively[1] cast[0] of[0] young[0] actors[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
