note : some may consider portions of the following text to be spoilers . 	Translation	Positive	Negative	EmotionRationale
sure , there've been moments of sweetness in his prior films -- the affectionate exchanges between the bruce willis and maria de madeiros characters in pulp fiction and the unflagging dedication shared by the characters of tim roth and amanda plummer , or even in reservoir dogs , where a deep , unspoken bond develops between the harvey keitel and tim roth characters -- but for the most part , mr . tarantino's films are typified by manic energy , unexpected outbursts of violence , and clever , often wordy , banter . 	sure , there've been moments of sweetness in his prior films - the affectionate exchanges between the bruce willis and maria de madeiros characters in pulp fiction and the unflagging dedication shared by the characters of tim roth and amanda plummer , or even in reservoir dogs , where a deep , unspoken bond develops between the harvey keitel and tim roth characters - but for the most part , mr .<br> tarantino's films are typified by manic energy , unexpected outbursts of violence , and clever , often wordy , banter .	3	-4	 sure[0] there've[0] been[0] moments[0] of[0] sweetness[2] in[0] his[0] prior[0] films[0] the[0] affectionate[2] exchanges[0] between[0] the[0] bruce[0] willis[0] and[0] maria[0] de[0] madeiros[0] characters[0] in[0] pulp[0] fiction[0] and[0] the[0] unflagging[0] dedication[0] shared[0] by[0] the[0] characters[0] of[0] tim[0] roth[0] and[0] amanda[0] plummer[0] or[0] even[0] in[0] reservoir[0] dogs[0] where[0] a[0] deep[0] unspoken[0] bond[0] develops[0] between[0] the[0] harvey[0] keitel[0] and[0] tim[0] roth[0] characters[0] but[0] for[0] the[0] most[0] part[0] mr[0] [[Sentence=-1,3=word max, 1-5]] tarantino's[0] films[0] are[0] typified[0] by[0] manic[0] energy[0] unexpected[0] outbursts[-1] of[0] violence[-3] and[0] clever[0] often[0] wordy[0] banter[0] [[Sentence=-4,1=word max, 1-5]][[[3,-4 max of sentences]]]
these staples of his work are all present in jackie brown , but what's new here is a different facet of his storytelling -- a willingness to imbue the film with a poignant emotional undercurrent , and a patience to draw out several scenes with great deliberation . 	these staples of his work are all present in jackie brown , but what's new here is a different facet of his storytelling - a willingness to imbue the film with a poignant emotional undercurrent , and a patience to draw out several scenes with great deliberation .	3	-2	 these[0] staples[0] of[0] his[0] work[0] are[0] all[0] present[0] in[0] jackie[0] brown[0] but[0] what's[0] new[0] here[0] is[0] a[0] different[0] facet[0] of[0] his[0] storytelling[0] a[0] willingness[0] to[0] imbue[0] the[0] film[0] with[0] a[0] poignant[0] emotional[-1] undercurrent[0] and[0] a[0] patience[0] to[0] draw[0] out[0] several[0] scenes[0] with[0] great[2] deliberation[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
this effective demonstration of range prohibits the pigeonholing of mr . tarantino as simply a helmer of slick , hip crime dramas with fast-talking lowlifes , and heralds him as a bonafide multifaceted talent ; he's the real deal . 	this effective demonstration of range prohibits the pigeonholing of mr .<br> tarantino as simply a helmer of slick , hip crime dramas with fast-talking lowlifes , and heralds him as a bonafide multifaceted talent ; he's the real deal .	2	-2	 this[0] effective[0] demonstration[0] of[0] range[0] prohibits[-1] the[0] pigeonholing[0] of[0] mr[0] [[Sentence=-2,1=word max, 1-5]] tarantino[0] as[0] simply[0] a[0] helmer[0] of[0] slick[0] hip[0] crime[-1] dramas[0] with[0] fast[0] talking[0] lowlifes[-1] and[0] heralds[0] him[0] as[0] a[0] bonafide[0] multifaceted[0] talent[1] he's[0] the[0] real[0] deal[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
this new aspect of mr . tarantino's storytelling is probably best embodied in a single character -- that of the world-weary , sensitive , and exceedingly-professional max cherry , whose unspoken attraction to jackie is touching . 	this new aspect of mr .<br> tarantino's storytelling is probably best embodied in a single character - that of the world-weary , sensitive , and exceedingly-professional max cherry , whose unspoken attraction to jackie is touching .	2	-1	 this[0] new[0] aspect[0] of[0] mr[0] [[Sentence=-1,1=word max, 1-5]] tarantino's[0] storytelling[0] is[0] probably[0] best[1] embodied[0] in[0] a[0] single[0] character[0] that[0] of[0] the[0] world[0] weary[0] sensitive[0] and[0] exceedingly[0] professional[0] max[0] cherry[0] whose[0] unspoken[0] attraction[1] to[0] jackie[0] is[0] touching[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
mr . forster's nuanced , understated performance is the best in the film ; he creates an amiable character of such poignancy that when he gazes at jackie , we smile along with him . 	mr .<br> forster's nuanced , understated performance is the best in the film ; he creates an amiable character of such poignancy that when he gazes at jackie , we smile along with him .	3	-1	 mr[0] [[Sentence=-1,1=word max, 1-5]] forster's[0] nuanced[0] understated[0] performance[0] is[0] the[0] best[1] in[0] the[0] film[0] he[0] creates[0] an[0] amiable[2] character[0] of[0] such[0] poignancy[0] that[0] when[0] he[0] gazes[0] at[0] jackie[0] we[0] smile[2] along[0] with[0] him[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
much press has been given about the casting of blaxploitation-era icon pam grier in the lead , with the wags buzzing that mr . tarantino may do for her what his pulp fiction did to bolster john travolta's then-sagging career . 	much press has been given about the casting of blaxploitation-era icon pam grier in the lead , with the wags buzing that mr .<br> tarantino may do for her what his pulp fiction did to bolster john travolta's then-sagging career .	1	-2	 much[0] press[0] has[0] been[0] given[0] about[0] the[0] casting[0] of[0] blaxploitation[0] era[0] icon[0] pam[0] grier[0] in[0] the[0] lead[0] with[0] the[0] wags[0] buzzing/buzing[0] that[0] mr[0] [[Sentence=-1,1=word max, 1-5]] tarantino[0] may[0] do[0] for[0] her[0] what[0] his[0] pulp[0] fiction[0] did[0] to[0] bolster[0] john[0] travolta's[0] then[0] sagging[-1] career[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
as it turns out , ms . grier is solid in the film's title role , although nothing here forces her to test her range . 	as it turns out , ms .<br> grier is solid in the film's title role , although nothing here forces her to test her range .	1	-1	 as[0] it[0] turns[0] out[0] ms[0] [[Sentence=-1,1=word max, 1-5]] grier[0] is[0] solid[0] in[0] the[0] film's[0] title[0] role[0] although[0] nothing[0] here[0] forces[0] her[0] to[0] test[0] her[0] range[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i do have to take exception to the claim that this film marks her career resurrection , though -- she's been working steadily over the years , often in direct-to-video action flicks , but also in such recent theatrical releases as tim burton's mars attacks ! 	i do have to take exception to the claim that this film marks her career resurrection , though - she's been working steadily over the years , often in direct-to-video action flicks , but also in such recent theatrical releases as tim burton's mars attacks !	1	-3	 i[0] do[0] have[0] to[0] take[0] exception[0] to[0] the[0] claim[0] that[0] this[0] film[0] marks[0] her[0] career[0] resurrection[0] though[0] she's[0] been[0] working[0] steadily[0] over[0] the[0] years[0] often[0] in[0] direct[0] to[0] video[0] action[0] flicks[0] but[0] also[0] in[0] such[0] recent[0] theatrical[0] releases[0] as[0] tim[0] burton's[0] mars[0] attacks[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
and larry cohen's original gangstas ( where she first teamed up with mr . forster . ) 	and larry cohen's original gangstas ( where she first teamed up with mr .<br> forster .<br> )	1	-1	 and[0] larry[0] cohen's[0] original[0] gangstas[0] where[0] she[0] first[0] teamed[0] up[0] with[0] mr[0] [[Sentence=-1,1=word max, 1-5]] forster[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
of course , it's true that her role here was a godsend -- a meaty a part as this is rarity for * any * actress , let alone one of her age and current status in the industry . 	of course , it's true that her role here was a godsend - a meaty a part as this is rarity for * any * actress , let alone one of her age and current status in the industry .	2	-1	 of[0] course[0] it's[0] true[1] that[0] her[0] role[0] here[0] was[0] a[0] godsend[0] a[0] meaty[0] a[0] part[0] as[0] this[0] is[0] rarity[0] for[0] any[0] actress[0] let[0] alone[0] one[0] of[0] her[0] age[0] and[0] current[0] status[0] in[0] the[0] industry[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
while jackie brown may disappoint those looking for another pulp fiction clone , it marks tremendous growth of mr . tarantino as a director whose horizons are rapidly expanding , and whose characterizations have never been better . 	while jackie brown may disappoint those looking for another pulp fiction clone , it marks tremendous growth of mr .<br> tarantino as a director whose horizons are rapidly expanding , and whose characterizations have never been better .	1	-1	 while[0] jackie[0] brown[0] may[0] disappoint[-1][--1 LastWordBoosterStrength] those[0] looking[0] for[0] another[0] pulp[0] fiction[0] clone[0] it[0] marks[0] tremendous[0] growth[0] of[0] mr[0] [[Sentence=-1,1=word max, 1-5]] tarantino[0] as[0] a[0] director[0] whose[0] horizons[0] are[0] rapidly[0] expanding[0] and[0] whose[0] characterizations[0] have[0] never[0] been[0] better[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and while the film's narrative doesn't really warrant a running time of 155 minutes , it's filled with such sumptuous riches , ranging from the brashness of the vivid soundtrack to entertaining , inconsequential conversations between the characters , that there wasn't an unengaging moment . 	and while the film's narrative doesn't really warrant a running time of 155 minutes , it's filled with such sumptuous riches , ranging from the brashness of the vivid soundtrack to entertaining , inconsequential conversations between the characters , that there wasn't an unengaging moment .	1	-1	 and[0] while[0] the[0] film's[0] narrative[0] doesn't[0] really[0] warrant[0] a[0] running[0] time[0] of[0] 155[0] minutes[0] it's[0] filled[0] with[0] such[0] sumptuous[0] riches[0] ranging[0] from[0] the[0] brashness[0] of[0] the[0] vivid[0] soundtrack[0] to[0] entertaining[0] inconsequential[0] conversations[0] between[0] the[0] characters[0] that[0] there[0] wasn't[0] an[0] unengaging[0] moment[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
with an impressive trio of feature films under his belt , it'll be interesting to see what he tries next . 	with an impressive trio of feature films under his belt , it'll be interesting to see what he tries next .	2	-1	 with[0] an[0] impressive[1] trio[0] of[0] feature[0] films[0] under[0] his[0] belt[0] it'll[0] be[0] interesting[1] to[0] see[0] what[0] he[0] tries[0] next[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
