if there is one thing that bothers me about hollywood films it's their predictable endings . 	Translation	Positive	Negative	EmotionRationale
after proving his worth for selecting juries ( and his perfect winning streak in court ) , the head of the firm , john milton ( al pacino ) , asks him to work permanently as a criminal lawyer . 	after proving his worth for selecting juries ( and his perfect winning streak in court ) , the head of the firm , john milton ( al pacino ) , asks him to work permanently as a criminal lawyer .	2	-2	 after[0] proving[0] his[0] worth[0] for[0] selecting[0] juries[0] and[0] his[0] perfect[1] winning[1] streak[0] in[0] court[0] the[0] head[0] of[0] the[0] firm[0] john[0] milton[0] al[0] pacino[0] asks[0] him[0] to[0] work[0] permanently[0] as[0] a[0] criminal[-1] lawyer[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
he graciously accepts , where he is treated almost as a god . 	he graciously accepts , where he is treated almost as a god .	2	-1	 he[0] graciously[1] accepts[0] where[0] he[0] is[0] treated[0] almost[0] as[0] a[0] god[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
he is given an incredible apartment ( which is bigger than my entire house now ) , and a hefty paycheck . 	he is given an incredible apartment ( which is bigger than my entire house now ) , and a hefty paycheck .	1	-1	 he[0] is[0] given[0] an[0] incredible[0] apartment[0] which[0] is[0] bigger[0] than[0] my[0] entire[0] house[0] now[0] and[0] a[0] hefty[0] paycheck[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
his life seems to be on the rise . 	his life seems to be on the rise .	1	-1	 his[0] life[0] seems[0] to[0] be[0] on[0] the[0] rise[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and of course , his life suddenly begins to waver and slowly decline . 	and of course , his life suddenly begins to waver and slowly decline .	1	-2	 and[0] of[0] course[0] his[0] life[0] suddenly[0] begins[0] to[0] waver[0] and[0] slowly[0] decline[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he is attracted to fellow employee christabella ( connie nielson ) , and his wife begins to feel very lonely in her large apartment . 	he is attracted to fellow employee christabella ( connie nielson ) , and his wife begins to feel very lonely in her large apartment .	2	-3	 he[0] is[0] attracted[1] to[0] fellow[0] employee[0] christabella[0] connie[0] nielson[0] and[0] his[0] wife[0] begins[0] to[0] feel[0] very[0] lonely[-1][-1 LastWordBoosterStrength] in[0] her[0] large[0] apartment[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
mary ann takes up a friendship with a neighbor who always gives advice , especially if it is not wanted . 	mary an takes up a friendship with a neighbor who always gives advice , especially if it is not wanted .	2	-1	 mary[0] ann/an[0] takes[0] up[0] a[0] friendship[1] with[0] a[0] neighbor[0] who[0] always[0] gives[0] advice[0] especially[0] if[0] it[0] is[0] not[0] wanted[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
meanwhile , kevin nabs a case surrounding alexander cullen ( craig t . nelson ) who apparently murdered three people . 	meanwhile , kevin nabs a case surrounding alexander cullen ( craig t .<br> nelson ) who apparently murdered three people .	1	-4	 meanwhile[0] kevin[0] nabs[0] a[0] case[0] surrounding[0] alexander[0] cullen[0] craig[0] t[0] [[Sentence=-1,1=word max, 1-5]] nelson[0] who[0] apparently[0] murdered[-3] three[0] people[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
he spends hours upon hours with this case , while forgetting his loving wife , who may or may not be going insane . 	he spends hours upon hours with this case , while forgetting his loving wife , who may or may not be going insane .	4	-2	 he[0] spends[0] hours[0] upon[0] hours[0] with[0] this[0] case[0] while[0] forgetting[0] his[0] loving[3] wife[0] who[0] may[0] or[0] may[0] not[0] be[0] going[0] insane[-1] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
all of this while john milton may or may not be the devil himself . 	all of this while john milton may or may not be the devil himself .	1	-2	 all[0] of[0] this[0] while[0] john[0] milton[0] may[0] or[0] may[0] not[0] be[0] the[0] devil[-1] himself[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
after a while , things turn completely upside-down , as kevin's wife claims to have seen monstrous images superimposed on her friends . 	after a while , things turn completely upside-down , as kevin's wife claims to have seen monstrous images superimposed on her friends .	2	-3	 after[0] a[0] while[0] things[0] turn[0] completely[0] upside[0] down[0] as[0] kevin's[0] wife[0] claims[0] to[0] have[0] seen[0] monstrous[-2] images[0] superimposed[0] on[0] her[0] friends[1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
a fellow employee is murdered in the park , and his mother ( judith ivey ) reveals information about kevin's real father . 	a fellow employee is murdered in the park , and his mother ( judith ivey ) reveals information about kevin's real father .	1	-4	 a[0] fellow[0] employee[0] is[0] murdered[-3] in[0] the[0] park[0] and[0] his[0] mother[0] judith[0] ivey[0] reveals[0] information[0] about[0] kevin's[0] real[0] father[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
is it all just a big nightmare ? 	is it all just a big nightmare ?	1	-3	 is[0] it[0] all[0] just[0] a[0] big[0] nightmare[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
or is john milton really satan , playing tricks with kevin's life ? 	or is john milton really satan , playing tricks with kevin's life ?	2	-4	 or[0] is[0] john[0] milton[0] really[0] satan[-2][-1 LastWordBoosterStrength] playing[1] tricks[-1] with[0] kevin's[0] life[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
the devil's advocate plays out fairly straight-forward , but for some odd reason , the screenwriters wanted to surprise everyone by giving us something we don't expect . 	the devil's advocate plays out fairly straight-forward , but for some odd reason , the screenwriters wanted to surprise everyone by giving us something we don't expect .	2	-2	 the[0] devil's[-1] advocate[0] plays[1] out[0] fairly[0] straight[0] forward[0] but[0] for[0] some[0] odd[0] reason[0] the[0] screenwriters[0] wanted[0] to[0] surprise[0] everyone[0] by[0] giving[0] us[0] something[0] we[0] don't[0] expect[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
is this surprise conclusion supposed to make us feel good and go home without feeling depressed or disturbed ? 	is this surprise conclusion supposed to make us feel good and go home without feeling depressed or disturbed ?	2	-4	 is[0] this[0] surprise[0] conclusion[0] supposed[0] to[0] make[0] us[0] feel[0] good[1] and[0] go[0] home[0] without[0] feeling[0] depressed[-3] or[0] disturbed[-1] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
if so , the devil's advocate messes up completely , and ironically , i felt more depressed because of the ending as is now , than i would have if it had ended ten minutes early . 	if so , the devil's advocate messes up completely , and ironically , i felt more depressed because of the ending as is now , than i would have if it had ended ten minutes early .	1	-4	 if[0] so[0] the[0] devil's[-1] advocate[0] messes[0] up[0] completely[0] and[0] ironically[-1] i[0] felt[0] more[0] depressed[-3] because[0] of[0] the[0] ending[0] as[0] is[0] now[0] than[0] i[0] would[0] have[0] if[0] it[0] had[0] ended[0] ten[0] minutes[0] early[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
i went into the devil's advocate expecting a shocking horror film , and that is exactly what i got . 	i went into the devil's advocate expecting a shocking horror film , and that is exactly what i got .	1	-5	 i[0] went[0] into[0] the[0] devil's[-1] advocate[0] expecting[0] a[0] shocking[-2] horror[-3][-1 MultiplePositiveWords] film[0] and[0] that[0] is[0] exactly[0] what[0] i[0] got[0] [[Sentence=-5,1=word max, 1-5]][[[1,-5 max of sentences]]]
i was settled in to be disturbed mentally and emotionally , and that is what i got . 	i was settled in to be disturbed mentally and emotionally , and that is what i got .	1	-2	 i[0] was[0] settled[0] in[0] to[0] be[0] disturbed[-1] mentally[0] and[0] emotionally[0] and[0] that[0] is[0] what[0] i[0] got[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but what was the most disturbing and horrible aspect of the movie is the poor ending ( did i mention that i didn't like the ending ? ) . 	but what was the most disturbing and horrible aspect of the movie is the poor ending ( did i mention that i didn't like the ending ?<br> ) .	2	-4	 but[0] what[0] was[0] the[0] most[0] disturbing[-1] and[0] horrible[-3] aspect[0] of[0] the[0] movie[0] is[0] the[0] poor[-1] ending[0] did[0] i[0] mention[0] that[0] i[0] didn't[0] like[1] the[0] ending[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
the producers of this film take you on a thrilling roller coaster ride and just as it is ending , they pull the rug out from under you . 	the producers of this film take you on a thrilling roller coaster ride and just as it is ending , they pull the rug out from under you .	4	-1	 the[0] producers[0] of[0] this[0] film[0] take[0] you[0] on[0] a[0] thrilling[3] roller[0] coaster[0] ride[0] and[0] just[0] as[0] it[0] is[0] ending[0] they[0] pull[0] the[0] rug[0] out[0] from[0] under[0] you[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
films like se7en and the usual suspects can survive with this surprise ending because it is expected , more or less . 	films like se7en and the usual suspects can survive with this surprise ending because it is expected , more or less .	2	-1	 films[0] like[1] se7en[0] and[0] the[0] usual[0] suspects[0] can[0] survive[0] with[0] this[0] surprise[0] ending[0] because[0] it[0] is[0] expected[0] more[0] or[0] less[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
we know it is going to end in an unpredictable way . 	we know it is going to end in an unpredictable way .	1	-1	 we[0] know[0] it[0] is[0] going[0] to[0] end[0] in[0] an[0] unpredictable[0] way[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the devil's advocate , on the other hand , ends unpredictably , not from us knowing a lot , but knowing nothing at all . 	the devil's advocate , on the other hand , ends unpredictably , not from us knowing a lot , but knowing nothing at all .	1	-2	 the[0] devil's[-1] advocate[0] on[0] the[0] other[0] hand[0] ends[0] unpredictably[0] not[0] from[0] us[0] knowing[0] a[0] lot[0] but[0] knowing[0] nothing[0] at[0] all[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
if that is confusing , i recommend watching the film , and then reading that again . 	if that is confusing , i recommend watching the film , and then reading that again .	1	-2	 if[0] that[0] is[0] confusing[-1] i[0] recommend[0] watching[0] the[0] film[0] and[0] then[0] reading[0] that[0] again[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
as for the film overall , i enjoyed the entire first two hours , being drawn in by a terrific character study and then adding the supernatural plot to increase the tension build from the character study . 	as for the film overall , i enjoyed the entire first two hours , being drawn in by a terrific character study and then adding the supernatural plot to increase the tension build from the character study .	4	-3	 as[0] for[0] the[0] film[0] overall[0] i[0] enjoyed[2] the[0] entire[0] first[0] two[0] hours[0] being[0] drawn[0] in[0] by[0] a[0] terrific[3] character[0] study[0] and[0] then[0] adding[0] the[0] supernatural[0] plot[0] to[0] increase[0] the[0] tension[-2] build[0] from[0] the[0] character[0] study[0] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
the film runs like a well-built clock , slowly building until finally exploding with a highly charged climax ( and an unpredictable one at that ) . 	the film runs like a well-built clock , slowly building until finally exploding with a highly charged climax ( and an unpredictable one at that ) .	2	-2	 the[0] film[0] runs[0] like[1] a[0] well[0] built[0] clock[0] slowly[0] building[0] until[0] finally[0] exploding[0] with[0] a[0] highly[0] charged[-1] climax[0] and[0] an[0] unpredictable[0] one[0] at[0] that[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
and then you settle in for a nice resolution , which does not occur . 	and then you settle in for a nice resolution , which does not occur .	2	-1	 and[0] then[0] you[0] settle[0] in[0] for[0] a[0] nice[1] resolution[0] which[0] does[0] not[0] occur[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it was at this point that i felt cheated . 	it was at this point that i felt cheated .	1	-3	 it[0] was[0] at[0] this[0] point[0] that[0] i[0] felt[0] cheated[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
taking us on a terror ride of intrigue , we follow kevin lomax around , as he is the centerpiece of the film . 	taking us on a terror ride of intrigue , we follow kevin lomax around , as he is the centerpiece of the film .	1	-2	 taking[0] us[0] on[0] a[0] terror[-1] ride[0] of[0] intrigue[0] we[0] follow[0] kevin[0] lomax[0] around[0] as[0] he[0] is[0] the[0] centerpiece[0] of[0] the[0] film[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
everything occurs from his perspective . 	everything occurs from his perspective .	1	-1	 everything[0] occurs[0] from[0] his[0] perspective[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he is our representation on screen ( sort of ) . 	he is our representation on screen ( sort of ) .	1	-1	 he[0] is[0] our[0] representation[0] on[0] screen[0] sort[0] of[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but we are forced to witness a conclusion which makes most of the film seem like a game . 	but we are forced to witness a conclusion which makes most of the film seem like a game .	2	-1	 but[0] we[0] are[0] forced[0] to[0] witness[0] a[0] conclusion[0] which[0] makes[0] most[0] of[0] the[0] film[0] seem[0] like[1] a[0] game[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i don't want to spoil the ending , so all i can say is go see the film and decide for yourself . 	i don't want to spoil the ending , so all i can say is go see the film and decide for yourself .	1	-2	 i[0] don't[0] want[0] to[0] spoil[-1] the[0] ending[0] so[0] all[0] i[0] can[0] say[0] is[0] go[0] see[0] the[0] film[0] and[0] decide[0] for[0] yourself[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
perhaps the most shocking thing about the devil's advocate is the extreme amount of everything . 	perhaps the most shocking thing about the devil's advocate is the extreme amount of everything .	1	-3	 perhaps[0] the[0] most[0] shocking[-2] thing[0] about[0] the[0] devil's[-1] advocate[0] is[0] the[0] extreme[0] amount[0] of[0] everything[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it earned its r rating for a reason . 	it earned its are rating for a reason .	1	-1	 it[0] earned[0] its[0] r[0] rating[0] for[0] a[0] reason[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there is plenty of nudity , sex , violence , gore , and then you have gore , violence , sex , and more nudity . 	there is plenty of nudity , sex , violence , gore , and then you have gore , violence , sex , and more nudity .	1	-4	 there[0] is[0] plenty[0] of[0] nudity[0] sex[0] violence[-3] gore[0] and[0] then[0] you[0] have[0] gore[0] violence[-3] sex[0] and[0] more[0] nudity[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
this film really isn't subtle about anything , showing us everything . 	this film really isn't subtle about anything , showing us everything .	1	-1	 this[0] film[0] really[0] isn't[0] subtle[0] about[0] anything[0] showing[0] us[0] everything[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it actually surprises me that this film did not receive an nc-17 rating , as it is quite harsh . 	it actually surprises me that this film did not receive an nc-17 rating , as it is quite harsh .	1	-2	 it[0] actually[0] surprises[0] me[0] that[0] this[0] film[0] did[0] not[0] receive[0] an[0] nc[0] -17[0] rating[0] as[0] it[0] is[0] quite[0] harsh[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
however , the movie does have its merits , and nudity and sex are among those . 	however , the movie does have its merits , and nudity and sex are among those .	2	-1	 however[0] the[0] movie[0] does[0] have[0] its[0] merits[1] and[0] nudity[0] and[0] sex[0] are[0] among[0] those[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i don't condone sex and nudity in films , but if its there , i might as well enjoy it . 	i don't condone sex and nudity in films , but if its there , i might as well enjoy it .	3	-1	 i[0] don't[0] condone[0] sex[0] and[0] nudity[0] in[0] films[0] but[0] if[0] its[0] there[0] i[0] might[0] as[0] well[0] enjoy[2] it[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the biggest merit of this film is also the most interesting to watch . 	the biggest merit of this film is also the most interesting to watch .	2	-1	 the[0] biggest[0] merit[1] of[0] this[0] film[0] is[0] also[0] the[0] most[0] interesting[1] to[0] watch[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the confrontations between kevin lomax and john milton are entertaining , but what stands out amidst this extreme hatred is the decline of the wife , mary ann . 	the confrontations between kevin lomax and john milton are entertaining , but what stands out amidst this extreme hatred is the decline of the wife , mary an .	1	-4	 the[0] confrontations[-2] between[0] kevin[0] lomax[0] and[0] john[0] milton[0] are[0] entertaining[0] but[0] what[0] stands[0] out[0] amidst[0] this[0] extreme[0] hatred[-3] is[0] the[0] decline[-1] of[0] the[0] wife[0] mary[0] ann/an[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
portrayed by the extremely effective charlize theron , mary ann's problems are incredibly intense , and i found myself wanting to witness her decline . 	portrayed by the extremely effective charlize theron , mary ann's problems are incredibly intense , and i found myself wanting to witness her decline .	1	-2	 portrayed[0] by[0] the[0] extremely[0] effective[0] charlize[0] theron[0] mary[0] ann's[0] problems[-1] are[0] incredibly[0] intense[0] and[0] i[0] found[0] myself[0] wanting[0] to[0] witness[0] her[0] decline[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this may sound uncaring , but i wanted to watch because i felt sorry for her . 	this may sound uncaring , but i wanted to watch because i felt sorry for her .	1	-2	 this[0] may[0] sound[0] uncaring[0] but[0] i[0] wanted[0] to[0] watch[0] because[0] i[0] felt[0] sorry[-1] for[0] her[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
she is the most interesting character on the screen , who is forced into a world where she is not wanted . 	she is the most interesting character on the screen , who is forced into a world where she is not wanted .	2	-1	 she[0] is[0] the[0] most[0] interesting[1] character[0] on[0] the[0] screen[0] who[0] is[0] forced[0] into[0] a[0] world[0] where[0] she[0] is[0] not[0] wanted[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
something the devil's advocate contained actually shocked me for reasons other than extreme violence and nudity , especially for a film of this nature . 	something the devil's advocate contained actually shocked me for reasons other than extreme violence and nudity , especially for a film of this nature .	1	-4	 something[0] the[0] devil's[-1] advocate[0] contained[0] actually[0] shocked[-2] me[0] for[0] reasons[0] other[0] than[0] extreme[0] violence[-3] and[0] nudity[0] especially[0] for[0] a[0] film[0] of[0] this[0] nature[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the story actually has something to say about humanity . 	the story actually has something to say about humanity .	1	-1	 the[0] story[0] actually[0] has[0] something[0] to[0] say[0] about[0] humanity[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in one of the last scenes , john milton explains to kevin lomax the game god plays with his children ( he is satan , of course ) . 	in one of the last scenes , john milton explains to kevin lomax the game god plays with his children ( he is satan , of course ) .	2	-3	 in[0] one[0] of[0] the[0] last[0] scenes[0] john[0] milton[0] explains[0] to[0] kevin[0] lomax[0] the[0] game[0] god[0] plays[1] with[0] his[0] children[0] he[0] is[0] satan[-2] of[0] course[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
he comments that it is human nature to lust and loathe in vanity . 	he comments that it is human nature to lust and loathe in vanity .	1	-2	 he[0] comments[0] that[0] it[0] is[0] human[0] nature[0] to[0] lust[0] and[0] loathe[0] in[0] vanity[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
then , god sets up rules which contradict human nature . 	then , god sets up rules which contradict human nature .	1	-2	 then[0] god[0] sets[0] up[0] rules[0] which[0] contradict[-1] human[0] nature[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this semi-religious bashing is more humorous than frightening . 	this semi-religious bashing is more humorous than frightening .	3	-4	 this[0] semi[0] religious[0] bashing[0] is[0] more[0] humorous[2] than[0] frightening[-3] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
what milton says is so true about our society that i found myself laughing out loud , partially thinking it was funny , but patially realizing it was true . 	what milton says is so true about our society that i found myself laughing out loud , partially thinking it was funny , but patially realizing it was true .	2	-1	 what[0] milton[0] says[0] is[0] so[0] true[1] about[0] our[0] society[0] that[0] i[0] found[0] myself[0] laughing[1] out[0] loud[0] partially[0] thinking[0] it[0] was[0] funny[1] but[0] patially[0] realizing[0] it[0] was[0] true[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
these moral dilemmas are present throughout the devil's advocate , giving it an added depth many films skip over in their writing ( but i'm sure they came straight from the novel it was based on ) . 	these moral dilemmas are present throughout the devil's advocate , giving it an added depth many films skip over in their writing ( but i'm sure they came straight from the novel it was based on ) .	1	-2	 these[0] moral[0] dilemmas[0] are[0] present[0] throughout[0] the[0] devil's[-1] advocate[0] giving[0] it[0] an[0] added[0] depth[0] many[0] films[0] skip[0] over[0] in[0] their[0] writing[0] but[0] i'm[0] sure[0] they[0] came[0] straight[0] from[0] the[0] novel[0] it[0] was[0] based[0] on[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
when a film has something to say about our society , it deserves to be watched . 	when a film has something to say about our society , it deserves to be watched .	1	-1	 when[0] a[0] film[0] has[0] something[0] to[0] say[0] about[0] our[0] society[0] it[0] deserves[0] to[0] be[0] watched[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the cast of the devil's advocate is one of the highlights , as we see memorable faces , and they put spins on those memorable faces we don't expect . 	the cast of the devil's advocate is one of the highlights , as we see memorable faces , and they put spins on those memorable faces we don't expect .	1	-2	 the[0] cast[0] of[0] the[0] devil's[-1] advocate[0] is[0] one[0] of[0] the[0] highlights[0] as[0] we[0] see[0] memorable[0] faces[0] and[0] they[0] put[0] spins[0] on[0] those[0] memorable[0] faces[0] we[0] don't[0] expect[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
heather matarazzo makes a brief appearance as the terrorized victim in the opening court case , and she does a great job . 	heather matarazo makes a brief appearance as the terrorized victim in the opening court case , and she does a great job .	3	-4	 heather[0] matarazzo/matarazo[0] makes[0] a[0] brief[0] appearance[0] as[0] the[0] terrorized[-2] victim[-2][-1 MultiplePositiveWords] in[0] the[0] opening[0] court[0] case[0] and[0] she[0] does[0] a[0] great[2] job[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
probably the big surprise of this film is keanu reeves . 	probably the big surprise of this film is keanu reeves .	1	-1	 probably[0] the[0] big[0] surprise[0] of[0] this[0] film[0] is[0] keanu[0] reeves[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he has proven himself an uneven actor ( successes such as speed and bombs such as johnny mnemonic ) , but he tops himself with this performance . 	he has proven himself an uneven actor ( successes such as speed and bombs such as johnny mnemonic ) , but he tops himself with this performance .	3	-2	 he[0] has[0] proven[0] himself[0] an[0] uneven[-1] actor[0] successes[2] such[0] as[0] speed[0] and[0] bombs[-1] such[0] as[0] johnny[0] mnemonic[0] but[0] he[0] tops[0] himself[0] with[0] this[0] performance[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
i have never seen him more believable to date . 	i have never seen him more believable to date .	1	-1	 i[0] have[0] never[0] seen[0] him[0] more[0] believable[0] to[0] date[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
