for those who associate italian cinema with fellini and " high art , " the son's room is an inventive , subtle alternative . 	Translation	Positive	Negative	EmotionRationale
the potency of the film lies in the recreation of the tiny details of everyday life that alter due to the death of a close relative , or that remind a depressed person of loss . 	the potency of the film lies in the recreation of the tiny details of everyday life that alter due to the death of a close relative , or that remind a depressed person of loss .	1	-4	 the[0] potency[0] of[0] the[0] film[0] lies[-2] in[0] the[0] recreation[0] of[0] the[0] tiny[0] details[0] of[0] everyday[0] life[0] that[0] alter[0] due[0] to[0] the[0] death[-2] of[0] a[0] close[0] relative[0] or[0] that[0] remind[0] a[0] depressed[-3] person[0] of[0] loss[-2] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
you start to take notice of the cracked dishes , ignored when familial bliss was in full swing . 	you start to take notice of the cracked dishes , ignored when familial bliss was in full swing .	5	-1	 you[0] start[0] to[0] take[0] notice[0] of[0] the[0] cracked[0] dishes[0] ignored[0] when[0] familial[0] bliss[4] was[0] in[0] full[0] swing[0] [[Sentence=-1,5=word max, 1-5]][[[5,-1 max of sentences]]]
you remember bonding during the routine jogs around the block , and not necessarily huge events like graduation . 	you remember bonding during the routine jogs around the block , and not necessarily huge events like graduation .	2	-2	 you[0] remember[0] bonding[0] during[0] the[0] routine[0] jogs[0] around[0] the[0] block[-1] and[0] not[0] necessarily[0] huge[0] events[0] like[1] graduation[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
even better are the role reversals that take place within the household . 	even better are the role reversals that take place within the household .	1	-1	 even[0] better[0] are[0] the[0] role[0] reversals[0] that[0] take[0] place[0] within[0] the[0] household[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
while giovanni and paola ( laura morante ) do check up on their daughter irene ( jasmine trinca ) , there is a sense of being on autopilot . 	while giovanni and paola ( laura morante ) do check up on their daughter irene ( jasmine trinca ) , there is a sense of being on autopilot .	1	-1	 while[0] giovanni[0] and[0] paola[0] laura[0] morante[0] do[0] check[0] up[0] on[0] their[0] daughter[0] irene[0] jasmine[0] trinca[0] there[0] is[0] a[0] sense[0] of[0] being[0] on[0] autopilot[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
not only does irene begin to take care of her own needs more , she'll make her parents breakfast in an attempt to crack their new shells to life around them . 	not only does irene begin to take care of her own needs more , she'll make her parents breakfast in an attempt to crack their new shells to life around them .	2	-1	 not[0] only[0] does[0] irene[0] begin[0] to[0] take[0] care[1] of[0] her[0] own[0] needs[0] more[0] she'll[0] make[0] her[0] parents[0] breakfast[0] in[0] an[0] attempt[0] to[0] crack[0] their[0] new[0] shells[0] to[0] life[0] around[0] them[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
these scenes provide interesting portrayals of various coping mechanisms , frequently crossing a boundary as to how much you can help yourself versus others during drastic , unexpected change . 	these scenes provide interesting portrayals of various coping mechanisms , frequently crossing a boundary as to how much you can help yourself versus others during drastic , unexpected change .	2	-1	 these[0] scenes[0] provide[0] interesting[1] portrayals[0] of[0] various[0] coping[0] mechanisms[0] frequently[0] crossing[0] a[0] boundary[0] as[0] to[0] how[0] much[0] you[0] can[0] help[0] yourself[0] versus[0] others[0] during[0] drastic[0] unexpected[0] change[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
respectfully , gender issues never enter the picture . 	respectfully , gender issues never enter the picture .	3	-1	 respectfully[2] gender[0] issues[0] never[0] enter[0] the[0] picture[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
self-propelled isolation is universal in terms of dealing , so moretti intelligently uses this tool to separate the family . 	self-propelled isolation is universal in terms of dealing , so moretti intelligently uses this tool to separate the family .	2	-2	 self[0] propelled[0] isolation[-1] is[0] universal[0] in[0] terms[0] of[0] dealing[0] so[0] moretti[0] intelligently[1] uses[0] this[0] tool[0] to[0] separate[0] the[0] family[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
though giovanni does stop paolo from discussing andrea at a party with friends , there is never a sense that he or she is more stoic , or more correct in the search to restore a sense of a balance to their lives . 	though giovanni does stop paolo from discussing andrea at a party with friends , there is never a sense that he or she is more stoic , or more correct in the search to restore a sense of a balance to their lives .	2	-1	 though[0] giovanni[0] does[0] stop[0] paolo[0] from[0] discussing[0] andrea[0] at[0] a[0] party[0] with[0] friends[1] there[0] is[0] never[0] a[0] sense[0] that[0] he[0] or[0] she[0] is[0] more[0] stoic[0] or[0] more[0] correct[0] in[0] the[0] search[0] to[0] restore[0] a[0] sense[0] of[0] a[0] balance[0] to[0] their[0] lives[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
most films that broach the topic of death utilize annoying melodrama , speeches , and conciliatory issues to get the waterworks flowing . 	most films that broach the topic of death utilize annoying melodrama , speeches , and conciliatory issues to get the waterworks flowing .	1	-3	 most[0] films[0] that[0] broach[0] the[0] topic[0] of[0] death[-2] utilize[0] annoying[-2] melodrama[0] speeches[0] and[0] conciliatory[0] issues[0] to[0] get[0] the[0] waterworks[0] flowing[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
in contrast , the son's room captures a more realistic depiction of the effects of death on a family by graciously flowing among the five stages of mourning ( denial , depression , anger , bargaining , acceptance ) through each of its main characters . 	in contrast , the son's room captures a more realistic depiction of the effects of death on a family by graciously flowing among the five stages of mourning ( denial , depression , anger , bargaining , acceptance ) through each of its main characters .	2	-5	 in[0] contrast[0] the[0] son's[0] room[0] captures[-1] a[0] more[0] realistic[0] depiction[0] of[0] the[0] effects[0] of[0] death[-2] on[0] a[0] family[0] by[0] graciously[1] flowing[0] among[0] the[0] five[0] stages[0] of[0] mourning[-2] denial[-1] depression[-3] anger[-3][-1 MultiplePositiveWords] bargaining[0] acceptance[0] through[0] each[0] of[0] its[0] main[0] characters[0] [[Sentence=-5,2=word max, 1-5]][[[2,-5 max of sentences]]]
it's not the most engaging 100 minutes , but it is certainly easy to relate to . 	it's not the most engaging 100 minutes , but it is certainly easy to relate to .	1	-1	 it's[0] not[0] the[0] most[0] engaging[0] 100[0] minutes[0] but[0] it[0] is[0] certainly[0] easy[0] to[0] relate[0] to[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
