the seasoned capt . dudley smith ( james cromwell ) questions his new protege , ed exley ( guy pearce ) about his political views when it comes to police work . 	Translation	Positive	Negative	EmotionRationale
all of the characters' levels of involvement are not immediately clear . 	all of the characters' levels of involvement are not immediately clear .	1	-1	 all[0] of[0] the[0] characters'[0] levels[0] of[0] involvement[0] are[0] not[0] immediately[0] clear[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
we watch with riveted fascination to learn more about why they are there and their stake in the case . 	we watch with riveted fascination to learn more about why they are there and their stake in the case .	1	-1	 we[0] watch[0] with[0] riveted[0] fascination[0] to[0] learn[0] more[0] about[0] why[0] they[0] are[0] there[0] and[0] their[0] stake[0] in[0] the[0] case[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
we sense a cross-pollination of clues that brings us , the audience , closer to the truth . 	we sense a cross-pollination of clues that brings us , the audience , closer to the truth .	2	-2	 we[0] sense[0] a[0] cross[-1] pollination[0] of[0] clues[0] that[0] brings[0] us[0] the[0] audience[0] closer[0] to[0] the[0] truth[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
we hope that the three detectives can throw away their spite for one another and can pull their resources together in order to untangle the intricately created web of mystery . 	we hope that the three detectives can throw away their spite for one another and can pull their resources together in order to untangle the intricately created web of mystery .	3	-4	 we[0] hope[2] that[0] the[0] three[0] detectives[0] can[0] throw[0] away[0] their[0] spite[-3] for[0] one[0] another[0] and[0] can[0] pull[0] their[0] resources[0] together[0] in[0] order[0] to[0] untangle[0] the[0] intricately[0] created[0] web[0] of[0] mystery[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
absorbing and affecting , this movie has all the necessary ingredients to create a terrific gourmet serving of film noir . 	absorbing and affecting , this movie has all the necessary ingredients to create a terrific gourmet serving of film noir .	4	-1	 absorbing[0] and[0] affecting[0] this[0] movie[0] has[0] all[0] the[0] necessary[0] ingredients[0] to[0] create[0] a[0] terrific[3] gourmet[0] serving[0] of[0] film[0] noir[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
it boasts mysterious figures in control , double-crosses , hard information from sleazy sources , dirty politicians , corrupt cops , haunting women , and hard-nosed cops experiencing moral ambiguity . 	it boasts mysterious figures in control , double-crosses , hard information from sleazy sources , dirty politicians , corrupt cops , haunting women , and hard-nosed cops experiencing moral ambiguity .	1	-3	 it[0] boasts[-1] mysterious[0] figures[0] in[0] control[0] double[0] crosses[0] hard[0] information[0] from[0] sleazy[-2] sources[-1] dirty[-1] politicians[0] corrupt[-2] cops[0] haunting[0] women[0] and[0] hard[0] nosed[0] cops[0] experiencing[0] moral[0] ambiguity[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the underlying mystery is compelling . 	the underlying mystery is compelling .	1	-1	 the[0] underlying[0] mystery[0] is[0] compelling[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the look and feel of the movie is gorgeous . 	the look and feel of the movie is gorgeous .	3	-1	 the[0] look[0] and[0] feel[0] of[0] the[0] movie[0] is[0] gorgeous[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the entire cast is crisp and wonderful to watch ( i wouldn't be surprised if cromwell received an oscar nomination for his performance ) . 	the entire cast is crisp and wonderful to watch ( i wouldn't be surprised if cromwell received an oscar nomination for his performance ) .	3	-1	 the[0] entire[0] cast[0] is[0] crisp[0] and[0] wonderful[2] to[0] watch[0] i[0] wouldn't[0] be[0] surprised[0] if[0] cromwell[0] received[0] an[0] oscar[0] nomination[0] for[0] his[0] performance[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
and , the dialogue is rich and memorable . 	and , the dialogue is rich and memorable .	1	-1	 and[0] the[0] dialogue[0] is[0] rich[0] and[0] memorable[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the best line of the movie is spoken when a key player dispenses advice to one of the detectives unsure of what to do . 	the best line of the movie is spoken when a key player dispenses advice to one of the detectives unsure of what to do .	2	-2	 the[0] best[1] line[0] of[0] the[0] movie[0] is[0] spoken[0] when[0] a[0] key[0] player[0] dispenses[-1] advice[0] to[0] one[0] of[0] the[0] detectives[0] unsure[0] of[0] what[0] to[0] do[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
 " don't start trying to do the right thing , boy-o , " says he . 	 " don't start trying to do the right thing , boy-o , " says he .	1	-1	 don't[0] start[0] trying[0] to[0] do[0] the[0] right[0] thing[0] boy[0] o[0] says[0] he[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " you haven't had the practice . " 	 " you haven't had the practice .<br> "	1	-1	 you[0] haven't[0] had[0] the[0] practice[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " l . a . confidential'' triumphantly achieves the rare gift of complexity and coherence while satisfying our desire for a good old-fashioned movie . 	 " l .<br> a .<br> confidential'' triumphantly achieves the rare gift of complexity and coherence while satisfying our desire for a good old-fashioned movie .	3	-1	 l[0] [[Sentence=-1,1=word max, 1-5]] a[0] [[Sentence=-1,1=word max, 1-5]] confidential''[0] triumphantly[2] achieves[0] the[0] rare[0] gift[0] of[0] complexity[0] and[0] coherence[0] while[0] satisfying[1] our[0] desire[0] for[0] a[0] good[1] old[0] fashioned[0] movie[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
